StudyID,Title,DOI,doi_key,title,doi,search_strings,repositories
23,GeQuPI: Quantum Program Improvement with Multi-Objective Genetic Programming,10.1016/j.jss.2024.112223,10.1016/j.jss.2024.112223,GeQuPI: Quantum Program Improvement with Multi-Objective Genetic Programming,10.1016/j.jss.2024.112223,ss6,sciencedirect
24,HetArch: Heterogeneous Microarchitectures for Superconducting Quantum Systems,10.1145/3613424.3614300,10.1145/3613424.3614300,HetArch: Heterogeneous Microarchitectures for Superconducting Quantum Systems,10.1145/3613424.3614300,ss6,acm
25,Hybrid (Quantum-Classical) Service Applications Deployment Configuration System,10.1007/978-981-96-7423-7_1,10.1007/978-981-96-7423-7_1,Hybrid (Quantum-Classical) Service Applications Deployment Configuration System,10.1007/978-981-96-7423-7_1,ss2;ss4;ss6,springer
26,Hybrid Classical-Quantum Software Services Systems: Exploration of the Rough Edges,10.1007/978-3-030-85347-1_17,10.1007/978-3-030-85347-1_17,Hybrid Classical-Quantum Software Services Systems: Exploration of the Rough Edges,10.1007/978-3-030-85347-1_17,ss2;ss4;ss6,springer
27,Implementing NChooseK on IBM Q Quantum Computer Systems,10.1007/978-3-030-21500-2_13,10.1007/978-3-030-21500-2_13,Implementing NChooseK on IBM Q Quantum Computer Systems,10.1007/978-3-030-21500-2_13,ss4,springer
28,Integrating quantum computing resources into scientific HPC ecosystems,10.1016/j.future.2024.06.058,10.1016/j.future.2024.06.058,Integrating quantum computing resources into scientific HPC ecosystems,10.1016/j.future.2024.06.058,ss4;ss6,sciencedirect
29,Integration of Classical and Quantum Services Using an Enterprise Service Bus,10.1007/978-3-031-49269-3_11,10.1007/978-3-031-49269-3_11,Integration of&#xa0;Classical and&#xa0;Quantum Services Using an&#xa0;Enterprise Service Bus,10.1007/978-3-031-49269-3_11,ss2;ss4;ss6,springer
30,iQuantum: A Case for Modeling and Simulation of Quantum Computing Environments,10.1109/QSW59989.2023.00013,10.1109/qsw59989.2023.00013,iQuantum: A Case for Modeling and Simulation of Quantum Computing Environments,10.1109/qsw59989.2023.00013,ss2;ss6,ieeexplore
31,iQuantum: A toolkit for modeling and simulation of quantum computing environments,10.1002/spe.3331,10.1002/spe.3331,iQuantum: A toolkit for modeling and simulation of quantum computing environments,10.1002/spe.3331,ss2;ss6,wiley
33,Ket Quantum Programming,10.1145/3474224,10.1145/3474224,Ket Quantum Programming,10.1145/3474224,ss6,acm
34,LinguaQuanta: Towards a Quantum Transpiler Between OpenQASM and Quipper,10.1007/978-3-031-62076-8_10,10.1007/978-3-031-62076-8_10,LinguaQuanta: Towards a&#xa0;Quantum Transpiler Between OpenQASM and&#xa0;Quipper,10.1007/978-3-031-62076-8_10,ss4;ss6,springer
36,"Metamodel and Formalization to Model, Transform, Deploy, and Execute Quantum Workflows",10.1007/978-3-031-68165-3_6,10.1007/978-3-031-68165-3_6,"Metamodel and&#xa0;Formalization to&#xa0;Model, Transform, Deploy, and&#xa0;Execute Quantum Workflows",10.1007/978-3-031-68165-3_6,ss2;ss4;ss6,springer
37,MQT Predictor: Automatic Device Selection with Device-Specific Circuit Compilation for Quantum Computing,10.1145/3673241,10.1145/3673241,MQT Predictor: Automatic Device Selection with Device-Specific Circuit Compilation for Quantum Computing,10.1145/3673241,ss6,acm
38,NordIQuEst: The Nordic-Estonian Quantum Computing e-Infrastructure Quest,10.1007/978-3-031-86240-3_8,10.1007/978-3-031-86240-3_8,NordIQuEst: The&#xa0;Nordic–Estonian Quantum Computing e–Infrastructure Quest,10.1007/978-3-031-86240-3_8,ss2;ss4;ss6,springer
39,One Nine Availability of a Photonic Quantum Computer on the Cloud Toward HPC Integration,10.1109/qce57702.2023.10193,10.1109/qce57702.2023.10193,One Nine Availability of a Photonic Quantum Computer on the Cloud Toward HPC Integration,10.1109/qce57702.2023.10193,ss2;ss6,ieeexplore
40,OpenMP-Q: Quantum Task Offloading in OpenMP,10.1007/978-3-032-06343-4_6,10.1007/978-3-032-06343-4_6,OpenMP-Q: Quantum Task Offloading in&#xa0;OpenMP,10.1007/978-3-032-06343-4_6,ss4;ss6,springer
41,OpenQL: A Portable Quantum Programming Framework for Quantum Accelerators,10.1145/3474222,10.1145/3474222,OpenQL: A Portable Quantum Programming Framework for Quantum Accelerators,10.1145/3474222,ss6,acm
42,Orchestrating Quantum-HPC Workflows with Distributed Quantum Circuit Cutting,10.1145/3731599.3767547,10.1145/3731599.3767547,Orchestrating Quantum-HPC Workflows with Distributed Quantum Circuit Cutting,10.1145/3731599.3767547,ss4;ss6,acm;ieeexplore
47,Q#: Enabling Scalable Quantum Computing and Development with a High-level DSL,10.1145/3183895.3183901,10.1145/3183895.3183901,Q#: Enabling Scalable Quantum Computing and Development with a High-level DSL,10.1145/3183895.3183901,ss6,acm
48,QCSHQD: Quantum Computing as a Service for Hybrid Classical-Quantum Software Development: A Vision,10.1145/3663531.3664751,10.1145/3663531.3664751,QCSHQD: Quantum Computing as a Service for Hybrid Classical-Quantum Software Development: A Vision,10.1145/3663531.3664751,ss2;ss6,acm
49,QFaaS: A Serverless Function-as-a-Service framework for Quantum computing,10.1016/j.future.2024.01.018,10.1016/j.future.2024.01.018,QFaaS: A Serverless Function-as-a-Service framework for Quantum computing,10.1016/j.future.2024.01.018,ss2;ss6,sciencedirect
51,QisDAX: An Open Source Bridge from Qiskit to Trapped-Ion Quantum Devices,10.1109/qce57702.2023.00097,10.1109/qce57702.2023.00097,QisDAX: An Open Source Bridge from Qiskit to Trapped-Ion Quantum Devices,10.1109/qce57702.2023.00097,ss6,ieeexplore
54,qlbm - A quantum lattice Boltzmann software framework,10.1016/j.cpc.2025.109699,10.1016/j.cpc.2025.109699,qlbm – A quantum lattice Boltzmann software framework,10.1016/j.cpc.2025.109699,ss4;ss6,sciencedirect
55,Qonductor: A Cloud Orchestrator for Quantum Computing,10.1145/3712285.3759785,10.1145/3712285.3759785,Qonductor: A Cloud Orchestrator for Quantum Computing,10.1145/3712285.3759785,ss6,acm
58,qSOA: Dynamic integration for hybrid quantum/Classical software systems,10.1016/j.jss.2024.112061,10.1016/j.jss.2024.112061,qSOA®: Dynamic integration for hybrid quantum/Classical software systems,10.1016/j.jss.2024.112061,ss2;ss4;ss6,sciencedirect
61,Quantum Computing with Differentiable Quantum Transforms,10.1145/3592622,10.1145/3592622,Quantum Computing with Differentiable Quantum Transforms,10.1145/3592622,ss6,acm
65,Quantum Services Generation and Deployment Process: A Quality-Oriented Approach,10.1007/978-3-031-43703-8_15,10.1007/978-3-031-43703-8_15,Quantum Services Generation and&#xa0;Deployment Process: A Quality-Oriented Approach,10.1007/978-3-031-43703-8_15,ss2;ss4;ss6,springer
69,QuantumPath: A quantum software development platform,10.1002/spe.3064,10.1002/spe.3064,QuantumPath: A quantum software development platform,10.1002/spe.3064,ss6,wiley
70,QuantumShare: Towards an Ontology for Bridging the Quantum Divide,10.1007/978-3-031-47262-6_22,10.1007/978-3-031-47262-6_22,QuantumShare: Towards an&#xa0;Ontology for&#xa0;Bridging the&#xa0;Quantum Divide,10.1007/978-3-031-47262-6_22,ss2;ss4;ss6,springer
72,Qubernetes: Towards a unified cloud-native execution platform for hybrid classic-quantum computing,10.1016/j.infsof.2024.107529,10.1016/j.infsof.2024.107529,Qubernetes: Towards a unified cloud-native execution platform for hybrid classic-quantum computing,10.1016/j.infsof.2024.107529,ss6,sciencedirect
73,QuCloudSim: A Customizable Discrete Event Simulator for Quantum Cloud Computing Enviroment,10.1109/QCNC64685.2025.00018,10.1109/qcnc64685.2025.00018,QuCloudSim: A Customizable Discrete Event Simulator for Quantum Cloud Computing Enviroment,10.1109/qcnc64685.2025.00018,ss2;ss6,ieeexplore
74,Quff: A Dynamically Typed Hybrid Quantum-Classical Programming Language,10.1145/3679007.3685063,10.1145/3679007.3685063,Quff: A Dynamically Typed Hybrid Quantum-Classical Programming Language,10.1145/3679007.3685063,ss6,acm
75,Quingo: A Programming Framework for Heterogeneous Quantum-Classical Computing with NISQ Features,10.1145/3483528,10.1145/3483528,Quingo: A Programming Framework for Heterogeneous Quantum-Classical Computing with NISQ Features,10.1145/3483528,ss6,acm
77,Quokka: A Service Ecosystem for Workflow-Based Execution of Variational Quantum Algorithms,10.1007/978-3-031-26507-5_35,10.1007/978-3-031-26507-5_35,Quokka: A Service Ecosystem for&#xa0;Workflow-Based Execution of&#xa0;Variational Quantum Algorithms,10.1007/978-3-031-26507-5_35,ss2;ss4;ss6,springer
78,Qutes: A High-Level Quantum Programming Language for Simplified Quantum Computing,10.1145/3731545.3744153,10.1145/3731545.3744153,Qutes: A High-Level Quantum Programming Language for Simplified Quantum Computing,10.1145/3731545.3744153,ss4;ss6,acm
79,ScaffCC: a framework for compilation and analysis of quantum computing programs,10.1145/2597917.2597939,10.1145/2597917.2597939,ScaffCC: a framework for compilation and analysis of quantum computing programs,10.1145/2597917.2597939,ss6,acm
80,Scaling Hybrid Quantum--HPC Applications with the Quantum Framework,10.1145/3731599.3767553,10.1145/3731599.3767553,Scaling Hybrid Quantum--HPC Applications with the Quantum Framework,10.1145/3731599.3767553,ss6,acm
81,Shaking Up Quantum Simulators with Fuzzing and Rigour,10.1145/3763100,10.1145/3763100,Shaking Up Quantum Simulators with Fuzzing and Rigour,10.1145/3763100,ss6,acm
85,Tetris: A Compilation Framework for VQA Applications in Quantum Computing,10.1109/isca59077.2024.00029,10.1109/isca59077.2024.00029,Tetris: A Compilation Framework for VQA Applications in Quantum Computing,10.1109/isca59077.2024.00029,ss4;ss6,acm;ieeexplore
86,The Arrow Calculus as a Quantum Programming Language,10.1007/978-3-642-02261-6_30,10.1007/978-3-642-02261-6_30,The Arrow Calculus as a Quantum Programming Language,10.1007/978-3-642-02261-6_30,ss4,springer
87,The NISQ Analyzer: Automating the Selection of Quantum Computers for Quantum Algorithms,10.1007/978-3-030-64846-6_5,10.1007/978-3-030-64846-6_5,The NISQ Analyzer: Automating the Selection of Quantum Computers for Quantum Algorithms,10.1007/978-3-030-64846-6_5,ss2;ss4,springer
89,Towards a user-centric HPC-QC environment,10.1145/3731599.3767549,10.1145/3731599.3767549,Towards a user-centric HPC-QC environment,10.1145/3731599.3767549,ss6,acm
91,Towards Quantum-algorithms-as-a-service,10.1145/3549036.3562056,10.1145/3549036.3562056,Towards Quantum-algorithms-as-a-service,10.1145/3549036.3562056,ss6,acm
94,Using Open API for the Development of Hybrid Classical-Quantum Services,10.1007/978-3-031-26507-5_34,10.1007/978-3-031-26507-5_34,Using Open API for&#xa0;the&#xa0;Development of&#xa0;Hybrid Classical-Quantum Services,10.1007/978-3-031-26507-5_34,ss2;ss4;ss6,springer
95,Weaver: A Retargetable Compiler Framework for FPQA Quantum Architectures,10.1145/3696443.3708965,10.1145/3696443.3708965,Weaver: A Retargetable Compiler Framework for FPQA Quantum Architectures,10.1145/3696443.3708965,ss6,acm
