StudyID,Title,DOI,doi_key,Publisher,Abstract_Normalized
39,One Nine Availability of a Photonic Quantum Computer on the Cloud Toward HPC Integration,10.1109/qce57702.2023.10193,,IEEE,the integration of quantum computers qc within highperformance computing hpc environments holds significant promise for solving realworld problems by leveraging the strengths of both computational paradigms however the integration of a complex qc platform in an hpc infrastructure poses several challenges such as operation stability in nonlaboratory like environments and scarce access for maintenance currently only a few fullyassembled qcs currently exist worldwide employing highly heterogeneous and cuttingedge technologies these platforms are mostly used for research purposes and often bear closer resemblance to laboratory assemblies rather than productionready stable and consistentlyperforming turnkey machines moreover public cloud services with access to such quantum computers are scarce and their availability is generally limited to few days per week in november 2022 we introduced the first cloudaccessible generalpurpose quantum computer based on single photons one of the key objectives was to maintain the platforms availability as high as possible while anticipating seamless compatibility with hpc hosting environment in this article we describe the design and implementation of our cloudaccessible quantum computing platform and demonstrate one nine availability 92 for external users during a sixmonth period higher than most online services this work lay the foundation for advancing quantum computing accessibility and usability in hybrid hpcqc infrastructures
41,OpenQL: A Portable Quantum Programming Framework for Quantum Accelerators,10.1145/3474222,,ACM,with the potential of quantum algorithms to solve intractable classical problems quantum computing is rapidly evolving and more algorithms are being developed and optimized expressing these quantum algorithms using a highlevel language and making them executable on a quantum processor while abstracting away hardware details is a challenging task first a quantum programming language should provide an intuitive programming interface to describe those algorithms then a compiler has to transform the program into a quantum circuit optimize it and map it to the target quantum processor respecting the hardware constraints such as the supported quantum operations the qubit connectivity and the control electronics limitations in this article we propose a quantum programming framework named openql which includes a highlevel quantum programming language and its associated quantum compiler we present the programming interface of openql we describe the different layers of the compiler and how we can provide portability over different qubit technologies our experiments show that openql allows the execution of the same highlevel algorithm on two different qubit technologies namely superconducting qubits and sispin qubits besides the executable code openql also produces an intermediate quantum assembly code which is technology independent and can be simulated using the qx simulator
42,Orchestrating Quantum-HPC Workflows with Distributed Quantum Circuit Cutting,10.1145/3731599.3767547,,ACM,most quantum computers today are constrained by hardware limitations particularly the number of available qubits causing significant challenges for executing largescale quantum algorithms circuit cutting has emerged as a key technique to overcome these limitations by decomposing large quantum circuits into smaller subcircuits that can be executed independently and later reconstructed in this work we introduce qdislib a distributed and flexible library for quantum circuit cutting designed to seamlessly integrate with hybrid quantumclassical highperformance computing hpc systems qdislib employs a graphbased representation of quantum circuits to enable efficient partitioning manipulation and execution supporting both wire cutting and gate cutting techniques the library is compatible with multiple quantum computing libraries including qiskit and qibo and leverages distributed computing frameworks to execute subcircuits across cpus gpus and quantum processing units qpus in a fully parallelized manner we present a proof of concept demonstrating how qdislib enables the distributed execution of quantum circuits across heterogeneous computing resources showcasing its potential for scalable quantumclassical workflowsccs concepts• computingmethodologies → distributedcomputingmethodologies parallel computing methodologies
47,Q#: Enabling Scalable Quantum Computing and Development with a High-level DSL,10.1145/3183895.3183901,,ACM,quantum computing exploits quantum phenomena such as superposition and entanglement to realize a form of parallelism that is not available to traditional computing it offers the potential of significant computational speedups in quantum chemistry materials science cryptography and machine learning the dominant approach to programming quantum computers is to provide an existing highlevel language with libraries that allow for the expression of quantum programs this approach can permit computations that are meaningless in a quantum context prohibits succint expression of interaction between classical and quantum logic and does not provide important constructs that are required for quantum programming we present q a quantumfocused domainspecific language explicitly designed to correctly clearly and completely express quantum algorithms q provides a type system a tightly constrained environment to safely interleave classical and quantum computations specialized syntax symbolic code manipulation to automatically generate correct transformations of quantum operations and powerful functional constructs which aid composition
48,QCSHQD: Quantum Computing as a Service for Hybrid Classical-Quantum Software Development: A Vision,10.1145/3663531.3664751,,ACM,quantum computing qc is transitioning from theoretical frameworks to an indispensable powerhouse of computational capability resulting in extensive adoption across both industrial and academic domains qc presents exceptional advantages including unparalleled processing speed and the potential to solve complex problems beyond the capabilities of classical computers nevertheless academic researchers and industry practitioners encounter various challenges in harnessing the benefits of this technology the limited accessibility of qc resources for classical developers and a general lack of domain knowledge and expertise represent insurmountable barrier hence to address these challenges we introduce a framework quantum computing as a service for hybrid classicalquantum software development qcshqd which leverages serviceoriented strategies our framework comprises three principal components an integrated development environment ide for user interaction an abstraction layer dedicated to orchestrating quantum services and a service provider responsible for executing services on quantum computer this study presents a blueprint for qcshqd designed to democratize access to qc resources for classical developers who want to seamless harness qc power the vision of qcshqd paves the way for groundbreaking innovations by addressing key challenges of hybridization between classical and quantum computers
51,QisDAX: An Open Source Bridge from Qiskit to Trapped-Ion Quantum Devices,10.1109/qce57702.2023.00097,,IEEE,quantum computing has become widely available to researchers via cloudhosted devices with different technologies using a multitude of software development frameworks the vertical stack behind such solutions typically features quantum language abstraction and highlevel translation frameworks that tend to be open source down to pulselevel programming however the lowerlevel mapping to the control electronics such as controls for laser and microwave pulse generators remains closed source for contemporary commercial cloudhosted quantum devices one exception is the artiq advanced realtime infrastructure for quantum physics opensource library for trappedion control electronics this stack has been complemented by the duke artiq extensions dax to provide modularity and better abstraction it however remains disconnected from the wealth of features provided by popular quantum computing languages this paper contributes qisdax a bridge between qiskit and dax that fills this gap qisdax provides interfaces for python programs written using ibms qiskit and transpiles them to the dax abstraction this allows users to generically interface to the artiq control systems accessing trappedion quantum devices consequently the algorithms expressed in qiskit become available to an opensource quantum software stack this provides the first opensource endtoend fullstack pipeline for remote submission of quantum programs for trappedion quantum systems in a noncommercial setting
55,Qonductor: A Cloud Orchestrator for Quantum Computing,10.1145/3712285.3759785,,ACM,we describe qonductor a cloud orchestrator for hybrid quantumclassical applications that run on heterogeneous hybrid resources qonductor abstracts away the complexity of hybrid programming and resource management by exposing the qonductor api a highlevel and hardwareagnostic api the resource estimator strategically balances quantum and classical resources to mitigate resource contention and the effects of hardware noise the hybrid scheduler automates job scheduling on hybrid resources and balances the tradeoff between users’ objectives of qos and the cloud operator’s objective of resource efficiency we implement an opensource prototype and evaluate qonductor using more than 7000 real quantum runs on the ibm quantum cloud to simulate real cloud workloads qonductor achieves up to 54 lower job completion times jcts while sacrificing 3 execution quality balances the load across qpu which increases quantum resource utilization by up to 66 and scales with growing system sizes and loads
56,QOPS: a compiler framework for quantum circuit simulation acceleration with profile-guided optimizations,10.1007/s11227-025-07157-2,,Springer-Verlag,quantum circuit simulation is important in the evolution of quantum software and hardware novel algorithms can be developed and evaluated by performing quantum circuit simulations on classical computers before physical quantum computers are available unfortunately compared with a physical quantum computer a prolonged simulation time hampers the rapid development of quantum algorithms inspired by the feedbackdirected optimization scheme used by classical compilers to improve the generated code this work proposes a quantum compiler framework qops to enable profileguided optimization pgo for quantum circuit simulation acceleration the qops compiler instruments a quantum simulator to collect performance data during the circuit simulation and it then generates the optimized version of the quantum circuit based on the collected data experimental results show the pgo can effectively shorten the simulation time on our tested benchmark programs especially the simulatorspecific pgo virtual swap can be applied to the benchmarks to accelerate the simulation speed by a factor of 119 as for the hardwareindependent pgo compared with the brute force mechanism turning on all available compilation flags which achieves 21 performance improvement against the nonoptimized version the pgo can achieve 16 speedup with a factor of 63 less compilation time than the brute force approach our framework is opensource at httpsgithubcomnckuasrlabqops
60,QuaCiDe: A General Purpose Quantum Circuit Design and Simulation Interface,10.1145/3665870.3665874,,ACM,a circuit design interface for simulation of quantum circuits is presented this simple but powerful tool aims to enable and improve experimentation in the field of quantum computing either for professional or amateur usage it provides an intuitive automated easytouse environment for building algorithms using the circuit model of quantum computation while freeing the experimenter from technical procedures such as coding or program installations it provides a wide range of tools to the user from a universal gateset to custom gate definitions postselected measurements complex compositions of subcircuits in a recursive way good modularity and nice output results moreover it is combined with popular backend simulators due to its circuitparsing capabilities
61,Quantum Computing with Differentiable Quantum Transforms,10.1145/3592622,,ACM,we present a framework for differentiable quantum transforms such transforms are metaprograms capable of manipulating quantum programs in a way that preserves their differentiability we highlight their potential with a set of relevant examples across quantum computing gradient computation circuit compilation and error mitigation and implement them using the transform framework of pennylane a software library for differentiable quantum programming in this framework the transforms themselves are differentiable and can be parametrized and optimized which opens up the possibility of improved quantum resource requirements across a spectrum of tasks
63,Quantum Mini-Apps: A Framework for Developing and Benchmarking Quantum-HPC Applications,10.1145/3659996.3660036,,ACM,with the increasing maturity and scale of quantum hardware and its integration into hpc systems there is a need to develop robust techniques for developing characterizing and benchmarking quantumhpc applications and middleware systems this requires a better understanding of interaction coupling and common execution patterns between quantum and classical workload tasks and components this paper identifies six quantumhpc execution motifsrecurring execution patterns characterized by distinct coupling and interaction modes these motifs provide the basis for a suite of quantum miniapps simplified application prototypes that encapsulate essential characteristics of production systems to support these developments we introduce a miniapp framework that offers the necessary abstractions for creating and executing miniapps across heterogeneous quantumhpc infrastructure making it a valuable tool for performance characterizations and middleware development
66,Quantum Software Ecosystem Design,10.1007/978-3-031-64136-7_7,,Springer-Verlag,the rapid advancements in quantum computing necessitate a scientific and rigorous approach to the construction of a corresponding software ecosystem a topic underexplored and primed for systematic investigation this chapter takes an important step in this direction it presents scientific considerations essential for building a quantum software ecosystem that makes quantum computing available for scientific and industrial problem solving central to this discourse is the concept of hardwaresoftware codesign which fosters a bidirectional feedback loop from the application layer at the top of the software stack down to the hardware this approach begins with compilers and lowlevel software that are specifically designed to align with the unique specifications and constraints of the quantum processor proceeds with algorithms developed with a clear understanding of underlying hardware and computational model features and extends to applications that effectively leverage the capabilities to achieve a quantum advantage we analyze the ecosystem from two critical perspectives the conceptual view focusing on theoretical foundations and the technical infrastructure addressing practical implementations around real quantum devices necessary for a functional ecosystem this approach ensures that the focus is towards promising applications with optimized algorithmcircuit synergy while ensuring a userfriendly design an effective data management and an overall orchestration our chapter thus offers a guide to the essential concepts and practical strategies necessary for developing a scientifically grounded quantum software ecosystem
71,QUASIM: Quantum Computing Enhanced Service Ecosystem for Simulation in Manufacturing,10.1007/s13218-024-00860-x,,Springer-Verlag,quantum computing qc and machine learning ml taken individually or combined into quantumassisted ml qml are ascending computing paradigms whose calculations come with huge potential for speedup increase in precision and resource reductions likely improvements for numerical simulations in engineering imply the possibility of a strong economic impact on the manufacturing industry in this project report we propose a framework for a quantum computingenhanced service ecosystem for simulation in manufacturing consisting of various layers ranging from hardware to algorithms to service and organizational layers in addition we give insight into the current state of the art of applications research based on qc and qml both from a scientific and an industrial point of view we further analyze two highvalue use cases with the aim of a quantitative evaluation of these new computing paradigms for industrially relevant settings
73,QuCloudSim: A Customizable Discrete Event Simulator for Quantum Cloud Computing Enviroment,10.1109/QCNC64685.2025.00018,,IEEE,current quantum computing service providers operate in a cloudbased model hosting expensive quantum computers in data centers for remote access however in the noisy intermediatescale quantum nisq era quantum hardware is limited in terms of qubit count and connectivity to address scalability challenges future quantum cloud infrastructures will likely adopt a modular architecture where quantum processing units qpus are interconnected via quantum networks using various hardware technologies in such systems challenges like resource management scheduling and placement become critical yet there is currently a gap in simulation tools capable of modeling quantum computers connected via quantum networks to address this we propose qucloudsim a quantum cloud simulator that adopts a modular design to model various hardware components within a quantum cloud environment it employs discrete event simulation to replicate realworld scenarios with concurrent user requests and our evaluation of different scheduling and placement methods demonstrates that qucloudsim effectively models modular quantum cloud systems while providing valuable insights for developing scalable quantum cloud infrastructures
74,Quff: A Dynamically Typed Hybrid Quantum-Classical Programming Language,10.1145/3679007.3685063,,ACM,current strategies for quantum software development still exhibit complexity on top of the alreadyintricate nature of quantum mechanics quantum programming languages are either restricted to lowlevel gatebased operations appended to classical objects for circuit generation or require modelling of quantum state transformations in hilbert space through algebraic representation this paper presents the quff language which is a highlevel dynamically typed quantumclassical programming language the quff compiler and runtime system facilitates quantum software development with highlevel expression abstracted across the quantumclassical paradigms quff is constructed on top of the truffle framework which aids the implementation and efficiency of the stack while reusing the jvm infrastructure the presented comparisons display that quff lends itself as an effective easytouse solution for the development of executable quantum programs with automatic circuit generation and efficient computation
75,Quingo: A Programming Framework for Heterogeneous Quantum-Classical Computing with NISQ Features,10.1145/3483528,,ACM,the increasing control complexity of noisy intermediatescale quantum nisq systems underlines the necessity of integrating quantum hardware with quantum software while mapping heterogeneous quantumclassical computing hqcc algorithms to nisq hardware for execution we observed a few dissatisfactions in quantum programming languages qpls including difficult mapping to hardware limited expressiveness and counterintuitive code in addition noisy qubits require repeatedly performed quantum experiments which explicitly operate lowlevel configurations such as pulses and timing of operations this requirement is beyond the scope or capability of most existing qpls we summarize three execution models to depict the quantumclassical interaction of existing qpls based on the refined hqcc model we propose the quingo framework to integrate and manage quantumclassical software and hardware to provide the programmability over hqcc applications and map them to nisq hardware we propose a sixphase quantum program lifecycle model matching the refined hqcc model which is implemented by a runtime system we also propose the quingo programming language an external domainspecific language highlighting timerbased timing control and opaque operation definition which can be used to describe quantum experiments we believe the quingo framework could contribute to the clarification of key techniques in the design of future hqcc systems
76,Qunicorn: A Middleware for the Unified Execution Across Heterogeneous Quantum Cloud Offerings,10.1109/q-se66736.2025.00009,,IEEE,quantum computers are available via a variety of different quantum cloud offerings these offerings are heterogeneous and differ in features such as pricing models or types of access to quantum computers furthermore quantum circuits can be implemented using different quantum programming languages which are typically only supported by a small subset of quantum cloud offerings as a consequence using a specific quantum programming language for implementing the application at hand can limit the set of compatible quantum cloud offerings and cause a vendor lockin therefore selecting a suitable quantum cloud offering and a corresponding quantum programming language requires knowledge about their features in this paper we i analyze the available quantum cloud offerings and extract their features moreover we ii introduce the architecture for a unification middleware that facilitates accessing quantum computers available via different quantum cloud offerings by automatically translating between various quantum circuit and result formats to showcase the practical feasibility of our approach we iii present a prototypical implementation and validate it for three exemplary application scenarios
