Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Hyperbolic Dovetailing,Algorithms - ESA 2009,,,,10.1007/978-3-642-04128-0_46,David Kirkpatrick,2009,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_46,Conference paper
Fuzzy Two-Stage Supply Chain Problem and Its Intelligent Algorithm,Advances in Neural Networks – ISNN 2009,,,,10.1007/978-3-642-01510-6_3,Guoli WangYankui LiuMingfa Zheng,2009,https://link.springer.com/chapter/10.1007/978-3-642-01510-6_3,Conference paper
Variational Graph Embedding for Globally and Locally Consistent Feature Extraction,Machine Learning and Knowledge Discovery in Databases,,,,10.1007/978-3-642-04174-7_35,Shuang-Hong YangHongyuan ZhaS. Kevin ZhouBao-Gang Hu,2009,https://link.springer.com/chapter/10.1007/978-3-642-04174-7_35,Conference paper
Hybridizing Evolutionary Negative Selection Algorithm and Local Search for Large-Scale Satisfiability Problems,Advances in Computation and Intelligence,,,,10.1007/978-3-642-04843-2_27,Peng GuoWenjian LuoZhifang LiHoujun LiangXufa Wang,2009,https://link.springer.com/chapter/10.1007/978-3-642-04843-2_27,Conference paper
Reasoning about General Quantum Programs over Mixed States,Formal Methods: Foundations and Applications,,,,10.1007/978-3-642-10452-7_22,Juliana Kaizer VizzottoGiovani Rubert LibrelottoAmr Sabry,2009,https://link.springer.com/chapter/10.1007/978-3-642-10452-7_22,Conference paper
"Pipelining Memetic Algorithms, Constraint Satisfaction, and Local Search for Course Timetabling",MICAI 2009: Advances in Artificial Intelligence,,,,10.1007/978-3-642-05258-3_36,Santiago E. Conant-PablosDulce J. Magaña-LozanoHugo Terashima-Marín,2009,https://link.springer.com/chapter/10.1007/978-3-642-05258-3_36,Conference paper
OCD: Online Convergence Detection for Evolutionary Multi-Objective Algorithms Based on Statistical Testing,Evolutionary Multi-Criterion Optimization,,,,10.1007/978-3-642-01020-0_19,Tobias WagnerHeike TrautmannBoris Naujoks,2009,https://link.springer.com/chapter/10.1007/978-3-642-01020-0_19,Conference paper
Tentative Exploration on Reinforcement Learning Algorithms for Stochastic Rewards,Hybrid Artificial Intelligence Systems,,,,10.1007/978-3-642-02319-4_40,Luis PeñaAntonio LaTorreJosé-María PeñaSascha Ossowski,2009,https://link.springer.com/chapter/10.1007/978-3-642-02319-4_40,Conference paper
A Mathematica Package for Simulation of Quantum Computation,Computer Algebra in Scientific Computing,,,,10.1007/978-3-642-04103-7_11,Vladimir P. GerdtRobert KraglerAlexander N. Prokopenya,2009,https://link.springer.com/chapter/10.1007/978-3-642-04103-7_11,Conference paper
One Is Not Enough: A Hybrid Approach for IT Change Planning,"Integrated Management of Systems, Services, Processes and People in IT",,,,10.1007/978-3-642-04989-7_5,Sebastian HagenNigel EdwardsLawrence WilcockJohannes KirschnickJerry Rolia,2009,https://link.springer.com/chapter/10.1007/978-3-642-04989-7_5,Conference paper
A Compendium of Heuristic Methods for Scheduling in Computational Grids,Intelligent Data Engineering and Automated Learning - IDEAL 2009,,,,10.1007/978-3-642-04394-9_92,Fatos XhafaAjith Abraham,2009,https://link.springer.com/chapter/10.1007/978-3-642-04394-9_92,Conference paper
A Novel Modelling and Optimisation Technique for Business Processes: An Evolutionary Computing Based Approach,Applications of Soft Computing,,,,10.1007/978-3-540-88079-0_8,Mark StellingRajkumar RoyAshutosh Tiwari,2009,https://link.springer.com/chapter/10.1007/978-3-540-88079-0_8,Conference paper
Entropy-Based Static Index Pruning,Advances in Information Retrieval,,,,10.1007/978-3-642-00958-7_72,Lei ZhengIngemar J. Cox,2009,https://link.springer.com/chapter/10.1007/978-3-642-00958-7_72,Conference paper
Pareto-Based Multi-output Model Type Selection,Hybrid Artificial Intelligence Systems,,,,10.1007/978-3-642-02319-4_53,Dirk GorissenIvo CouckuytKarel CrombecqTom Dhaene,2009,https://link.springer.com/chapter/10.1007/978-3-642-02319-4_53,Conference paper
Towards a Generalised Hybrid Path-Planning and Motion Control System with Auto-calibration for Animated Characters in 3D Environments,Advances in Neuro-Information Processing,,,,10.1007/978-3-642-02490-0_131,Antony P. GerdelanNapoleon H. Reyes,2009,https://link.springer.com/chapter/10.1007/978-3-642-02490-0_131,Conference paper
YAO: A Software for Variational Data Assimilation Using Numerical Models,Computational Science and Its Applications – ICCSA 2009,,,,10.1007/978-3-642-02457-3_53,Luigi NardiCharles SorrorFouad BadranSylvie Thiria,2009,https://link.springer.com/chapter/10.1007/978-3-642-02457-3_53,Conference paper
Computing the Longest Common Transposition-Invariant Subsequence with GPU,Man-Machine Interactions,,,,10.1007/978-3-642-00563-3_58,Sebastian Deorowicz,2009,https://link.springer.com/chapter/10.1007/978-3-642-00563-3_58,Conference paper
Bandwidth-Limited Optimal Deployment of Eventually-Serializable Data Services,Integration of AI and OR Techniques in Constraint Programming for Combinatorial Optimization Problems,,,,10.1007/978-3-642-01929-6_15,Laurent MichelPascal Van HentenryckElaine SondereggerAlexander ShvartsmanMartijn Moraal,2009,https://link.springer.com/chapter/10.1007/978-3-642-01929-6_15,Conference paper
Improving the Security of Quantum Protocols via Commit-and-Open,Advances in Cryptology - CRYPTO 2009,,,,10.1007/978-3-642-03356-8_24,Ivan DamgårdSerge FehrCarolin LunemannLouis SalvailChristian Schaffner,2009,https://link.springer.com/chapter/10.1007/978-3-642-03356-8_24,Conference paper
A Hybrid Algorithm for LTL Games,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-540-78163-9_26,Saqib SohailFabio SomenziKavita Ravi,2008,https://link.springer.com/chapter/10.1007/978-3-540-78163-9_26,Conference paper
Supply Chain Coordination in Hospitals,Leveraging Knowledge for Innovation in Collaborative Networks,,,,10.1007/978-3-642-04568-4_13,Nazaré RegoJorge Pinho de Sousa,2009,https://link.springer.com/chapter/10.1007/978-3-642-04568-4_13,Conference paper
Research on Streaming Data Integration System about Security Threat Monitor,Advances in Security Technology,,,,10.1007/978-3-642-10240-0_6,Aiping LiJiajia MiaoYan Jia,2009,https://link.springer.com/chapter/10.1007/978-3-642-10240-0_6,Conference paper
A Fast and Flexible Sorting Algorithm with CUDA,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-642-03095-6_28,Shifu ChenJing QinYongming XieJunping ZhaoPheng-Ann Heng,2009,https://link.springer.com/chapter/10.1007/978-3-642-03095-6_28,Conference paper
NePaLTM: Design and Implementation of Nested Parallelism for Transactional Memory Systems,ECOOP 2009 – Object-Oriented Programming,,,,10.1007/978-3-642-03013-0_7,Haris VolosAdam WelcAli-Reza Adl-TabatabaiTatiana ShpeismanXinmin TianRavi Narayanaswamy,2009,https://link.springer.com/chapter/10.1007/978-3-642-03013-0_7,Conference paper
Portable Real Time Needs Expression for People with Communication Disabilities,Intelligent Interactive Assistance and Mobile Multimedia Computing,,,,10.1007/978-3-642-10263-9_8,Lau Bee Theng,2009,https://link.springer.com/chapter/10.1007/978-3-642-10263-9_8,Conference paper
A Coverage and Energy Aware Cluster-Head Selection Algorithm in Wireless Sensor Networks,Emerging Intelligent Computing Technology and Applications,,,,10.1007/978-3-642-04070-2_75,Thao P. NghiemJong Hyun KimSun Ho LeeTae Ho Cho,2009,https://link.springer.com/chapter/10.1007/978-3-642-04070-2_75,Conference paper
Scaling CFL-Reachability-Based Points-To Analysis Using Context-Sensitive Must-Not-Alias Analysis,ECOOP 2009 – Object-Oriented Programming,,,,10.1007/978-3-642-03013-0_6,Guoqing XuAtanas RountevManu Sridharan,2009,https://link.springer.com/chapter/10.1007/978-3-642-03013-0_6,Conference paper
A Preliminar Analysis of CO2RBFN in Imbalanced Problems,Bio-Inspired Systems: Computational and Ambient Intelligence,,,,10.1007/978-3-642-02478-8_8,M. D. Pérez-GodoyA. J. RiveraA. FernándezM. J. del JesusF. Herrera,2009,https://link.springer.com/chapter/10.1007/978-3-642-02478-8_8,Conference paper
Computing a Solution for the Subset Sum Problem with a Light Based Device,Optical SuperComputing,,,,10.1007/978-3-642-10442-8_9,Md. Raqibul HasanM. Sohel Rahman,2009,https://link.springer.com/chapter/10.1007/978-3-642-10442-8_9,Conference paper
Pareto-Based Multi-output Metamodeling with Active Learning,Engineering Applications of Neural Networks,,,,10.1007/978-3-642-03969-0_36,Dirk GorissenIvo CouckuytEric LaermansTom Dhaene,2009,https://link.springer.com/chapter/10.1007/978-3-642-03969-0_36,Conference paper
Bicriteria Service Scheduling with Dynamic Instantiation for Workflow Execution on Grids,Advances in Grid and Pervasive Computing,,,,10.1007/978-3-642-01671-4_17,Luiz F. BittencourtCarlos R. SennaEdmundo R. M. Madeira,2009,https://link.springer.com/chapter/10.1007/978-3-642-01671-4_17,Conference paper
Multi-objective Oriented Search Algorithm for Multi-objective Reactive Power Optimization,Emerging Intelligent Computing Technology and Applications. With Aspects of Artificial Intelligence,,,,10.1007/978-3-642-04020-7_25,Xuexia ZhangWeirong Chen,2009,https://link.springer.com/chapter/10.1007/978-3-642-04020-7_25,Conference paper
Solution of Large-Scale Problems of Global Optimization on the Basis of Parallel Algorithms and Cluster Implementation of Computing Processes,Parallel Computing Technologies,,,,10.1007/978-3-642-03275-2_12,Vladimir KoshurDmitriy KuzminAleksandr LegalovKirill Pushkaryov,2009,https://link.springer.com/chapter/10.1007/978-3-642-03275-2_12,Conference paper
Multiobjective Algorithms Hybridization to Optimize Broadcasting Parameters in Mobile Ad-Hoc Networks,Bio-Inspired Systems: Computational and Ambient Intelligence,,,,10.1007/978-3-642-02478-8_91,Sandra GarcíaCristóbal LuqueAlejandro CervantesInés M. Galván,2009,https://link.springer.com/chapter/10.1007/978-3-642-02478-8_91,Conference paper
A Hybrid Approach for Improving Prediction Coverage of Collaborative Filtering,Artificial Intelligence Applications and Innovations III,,,,10.1007/978-1-4419-0221-4_57,Manolis G. VozalisAngelos I. MarkosKonstantinos G. Margaritis,2009,https://link.springer.com/chapter/10.1007/978-1-4419-0221-4_57,Conference paper
Diversity Control and Multi-Parent Recombination for Evolutionary Graph Coloring Algorithms,Evolutionary Computation in Combinatorial Optimization,,,,10.1007/978-3-642-01009-5_11,Daniel Cosmin PorumbelJin-Kao HaoPascale Kuntz,2009,https://link.springer.com/chapter/10.1007/978-3-642-01009-5_11,Conference paper
A Hybrid Constraint Model for the Routing and Wavelength Assignment Problem,Principles and Practice of Constraint Programming - CP 2009,,,,10.1007/978-3-642-04244-7_11,Helmut Simonis,2009,https://link.springer.com/chapter/10.1007/978-3-642-04244-7_11,Conference paper
Situation Awareness in Systems of Systems Ad-Hoc Environments,"Global Security, Safety, and Sustainability",,,,10.1007/978-3-642-04062-7_4,Abdullahi AraboQi ShiMadjid Merabti,2009,https://link.springer.com/chapter/10.1007/978-3-642-04062-7_4,Conference paper
Scheduling of Tasks in Multiprocessor System Using Hybrid Genetic Algorithms,Applications of Soft Computing,,,,10.1007/978-3-540-88079-0_7,Betzy VarghesAlamgir HossainKeshav Dahal,2009,https://link.springer.com/chapter/10.1007/978-3-540-88079-0_7,Conference paper
Uncertainty in Partner Selection for Virtual Enterprises,Leveraging Knowledge for Innovation in Collaborative Networks,,,,10.1007/978-3-642-04568-4_34,José CrispimJorge Pinho de Sousa,2009,https://link.springer.com/chapter/10.1007/978-3-642-04568-4_34,Conference paper
Auto-Clustering Using Particle Swarm Optimization and Bacterial Foraging,Agents and Data Mining Interaction,,,,10.1007/978-3-642-03603-3_6,Jakob R. OlesenJorge Cordero H.Yifeng Zeng,2009,https://link.springer.com/chapter/10.1007/978-3-642-03603-3_6,Conference paper
Using Oriented Random Search to Provide a Set of Alternative Solutions to the Capacitated Vehicle Routing Problem,Operations Research and Cyber-Infrastructure,,,,10.1007/978-0-387-88843-9_17,Angel A. JuanJavier FaulinRubén RuizBarry BarriosMiquel GilibertXavier Vilajosana,2009,https://link.springer.com/chapter/10.1007/978-0-387-88843-9_17,Conference paper
Graph-Based Analysis of Nasopharyngeal Carcinoma with Bayesian Network Learning Methods,Graph-Based Representations in Pattern Recognition,,,,10.1007/978-3-642-02124-4_6,Alex AussemSergio Rodrigues de MoraisMarilys CorbexJoël Favrel,2009,https://link.springer.com/chapter/10.1007/978-3-642-02124-4_6,Conference paper
Integrated Recommender Systems Based on Ontology and Usage Mining,Active Media Technology,,,,10.1007/978-3-642-04875-3_16,Liang WeiSong Lei,2009,https://link.springer.com/chapter/10.1007/978-3-642-04875-3_16,Conference paper
A Hybrid Evolutionary Approach for the Protein Classification Problem,"Computational Collective Intelligence. Semantic Web, Social Networks and Multiagent Systems",,,,10.1007/978-3-642-04441-0_55,Denise F. TsunodaHeitor S. LopesAlex A. Freitas,2009,https://link.springer.com/chapter/10.1007/978-3-642-04441-0_55,Conference paper
Compositional Synthesis of Reactive Systems from Live Sequence Chart Specifications,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-642-00768-2_9,Hillel KuglerItai Segall,2009,https://link.springer.com/chapter/10.1007/978-3-642-00768-2_9,Conference paper
Transition-Based Directed Model Checking,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-642-00768-2_19,Martin WehrleSebastian KupferschmidAndreas Podelski,2009,https://link.springer.com/chapter/10.1007/978-3-642-00768-2_19,Conference paper
Classification of Petroleum Well Drilling Operations with a Hybrid Particle Swarm/Ant Colony Algorithm,Next-Generation Applied Intelligence,,,,10.1007/978-3-642-02568-6_31,Adriane B. S. SerapiãoJosé Ricardo P. Mendes,2009,https://link.springer.com/chapter/10.1007/978-3-642-02568-6_31,Conference paper
Acquiring Semantic Relations Using the Web for Constructing Lightweight Ontologies,Advances in Knowledge Discovery and Data Mining,,,,10.1007/978-3-642-01307-2_26,Wilson WongWei LiuMohammed Bennamoun,2009,https://link.springer.com/chapter/10.1007/978-3-642-01307-2_26,Conference paper
Extracting Research Communities by Improved Maximum Flow Algorithm,Knowledge-Based and Intelligent Information and Engineering Systems,,,,10.1007/978-3-642-04592-9_59,Toshihiko HoriikeYouhei TakahashiTetsuji KuboyamaHiroshi Sakamoto,2009,https://link.springer.com/chapter/10.1007/978-3-642-04592-9_59,Conference paper
An Immune Inspired Algorithm for Solving Dynamic Vehicle Dispatching Problem in a Port Container Terminal,Artificial Immune Systems,,,,10.1007/978-3-642-03246-2_30,N. M. Y. LeeH. Y. K. LauA. W. Y. Ko,2009,https://link.springer.com/chapter/10.1007/978-3-642-03246-2_30,Conference paper
The Application of Evolution-Branching Algorithm on Earth-Mars Transfer Trajectory,Computational Intelligence and Intelligent Systems,,,,10.1007/978-3-642-04962-0_29,Jing LiuGuangming Dai,2009,https://link.springer.com/chapter/10.1007/978-3-642-04962-0_29,Conference paper
An Efficient Hybrid Algorithm for Optimization of Discrete Structures,Simulated Evolution and Learning,,,,10.1007/978-3-540-89694-4_63,Amitay IsaacsTapabrata RayWarren Smith,2008,https://link.springer.com/chapter/10.1007/978-3-540-89694-4_63,Conference paper
Solving Norm Form Equations over Number Fields,Algebraic Informatics,,,,10.1007/978-3-642-03564-7_8,Paraskevas AlvanosDimitrios Poulakis,2009,https://link.springer.com/chapter/10.1007/978-3-642-03564-7_8,Conference paper
On Using Digital Speech Processing Techniques for Synchronization in Heterogeneous Teleconferencing,Quality of Service in Heterogeneous Networks,,,,10.1007/978-3-642-10625-5_43,Hsiao-Pu LinHung-Yun Hsieh,2009,https://link.springer.com/chapter/10.1007/978-3-642-10625-5_43,Conference paper
"CA-LOD: Collision Avoidance Level of Detail for Scalable, Controllable Crowds",Motion in Games,,,,10.1007/978-3-642-10347-6_2,Sébastien ParisAnton GerdelanCarol O’Sullivan,2009,https://link.springer.com/chapter/10.1007/978-3-642-10347-6_2,Conference paper
A Novel PSO-DE-Based Hybrid Algorithm for Global Optimization,Advanced Intelligent Computing Theories and Applications. With Aspects of Artificial Intelligence,,,,10.1007/978-3-540-85984-0_20,Ben NiuLi Li,2008,https://link.springer.com/chapter/10.1007/978-3-540-85984-0_20,Conference paper
Pairwise Constrained Clustering for Sparse and High Dimensional Feature Spaces,Advances in Knowledge Discovery and Data Mining,,,,10.1007/978-3-642-01307-2_61,Su YanHai WangDongwon LeeC. Lee Giles,2009,https://link.springer.com/chapter/10.1007/978-3-642-01307-2_61,Conference paper
A GRASP–VNS Hybrid for the Fuzzy Vehicle Routing Problem with Time Windows,Computer Aided Systems Theory - EUROCAST 2009,,,,10.1007/978-3-642-04772-5_106,J. BritoF. J. MartínezJ. A. MorenoJ. L. Verdegay,2009,https://link.springer.com/chapter/10.1007/978-3-642-04772-5_106,Conference paper
Hybrid Evolutionary Algorithm for Solving Global Optimization Problems,Hybrid Artificial Intelligence Systems,,,,10.1007/978-3-642-02319-4_37,Radha ThangarajMillie PantAjith AbrahamYouakim Badr,2009,https://link.springer.com/chapter/10.1007/978-3-642-02319-4_37,Conference paper
Experimental Investigation of Three Machine Learning Algorithms for ITS Dataset,Future Generation Information Technology,,,,10.1007/978-3-642-10509-8_34,J. L. YearwoodB. H. KangA. V. Kelarev,2009,https://link.springer.com/chapter/10.1007/978-3-642-10509-8_34,Conference paper
Structure Design of the 3-D Braided Composite Based on a Hybrid Optimization Algorithm,Artificial Intelligence and Computational Intelligence,,,,10.1007/978-3-642-05253-8_29,Ke Zhang,2009,https://link.springer.com/chapter/10.1007/978-3-642-05253-8_29,Conference paper
An Improved Two-Stage Camera Calibration Method Based on Particle Swarm Optimization,Emerging Intelligent Computing Technology and Applications. With Aspects of Artificial Intelligence,,,,10.1007/978-3-642-04020-7_86,Hongwei GaoBen NiuYang YuLiang Chen,2009,https://link.springer.com/chapter/10.1007/978-3-642-04020-7_86,Conference paper
Cryptanalysis of the Square Cryptosystems,Advances in Cryptology – ASIACRYPT 2009,,,,10.1007/978-3-642-10366-7_27,Olivier BilletGilles Macario-Rat,2009,https://link.springer.com/chapter/10.1007/978-3-642-10366-7_27,Conference paper
Optimization of the Damping of the Rectangular 3-D Braided Composite Based on PSO Algorithm,Advances in Computation and Intelligence,,,,10.1007/978-3-642-04843-2_48,Ke Zhang,2009,https://link.springer.com/chapter/10.1007/978-3-642-04843-2_48,Conference paper
Cosine Policy Iteration for Solving Infinite-Horizon Markov Decision Processes,MICAI 2009: Advances in Artificial Intelligence,,,,10.1007/978-3-642-05258-3_7,Juan Frausto-SolisElizabeth SantiagoJaime Mora-Vargas,2009,https://link.springer.com/chapter/10.1007/978-3-642-05258-3_7,Conference paper
An Efficient Quantum Algorithm for the Hidden Subgroup Problem in Nil-2 Groups,LATIN 2008: Theoretical Informatics,,,,10.1007/978-3-540-78773-0_65,Gábor IvanyosLuc SanselmeMiklos Santha,2008,https://link.springer.com/chapter/10.1007/978-3-540-78773-0_65,Conference paper
