Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
$$&lt;\hbox {w}|\hbox {b}&gt;$$ : A&#xa0;Quantum Emulation Workbench for&#xa0;Benchmark Construction and&#xa0;Application Development,Euro-Par 2024: Parallel Processing Workshops,,,,10.1007/978-3-031-90200-0_2,Elise JenningsMartin RüfenachtStefan Kister,2025,https://link.springer.com/chapter/10.1007/978-3-031-90200-0_2,Conference paper
QCEDA: Using Quantum Computers for&#xa0;EDA,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-78380-7_3,Matthias JungSven O. KrumkeChristof SchrothElisabeth LobeWolfgang Mauerer,2025,https://link.springer.com/chapter/10.1007/978-3-031-78380-7_3,Conference paper
Designing Hybrid Quantum-Classical Web Applications Across the&#xa0;Computing Continuum,Web Engineering,,,,10.1007/978-3-031-97207-2_36,Álvaro M. Aparicio-MoralesEnrique MoguelJose Garcia-Alonso,2026,https://link.springer.com/chapter/10.1007/978-3-031-97207-2_36,Conference paper
Quantum Service-Oriented Computing: A&#xa0;Practical Introduction to&#xa0;Quantum Web Services and&#xa0;Quantum Workflows,Web Engineering,,,,10.1007/978-3-031-62362-2_45,Martin BeiselJose Garcia-AlonsoJuan M. MurilloBenjamin Weder,2024,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_45,Conference paper
Validating Quantum State Preparation Programs,Programming Languages and Systems,,,,10.1007/978-3-032-22720-1_16,Liyi LiAnshu SharmaZoukarneini Difaizi TagbaSean FrettAlex Potanin,2026,https://link.springer.com/chapter/10.1007/978-3-032-22720-1_16,Conference paper
Quantum Computing Through Artificial Intelligence,Recent Trends in Artificial Intelligence and IoT,,,,10.1007/978-3-032-06198-0_23,Sulekh KumarMd. Shamsher AlamJeevan KumarYogendra KumarKumari SonamRahul Ranjan,2025,https://link.springer.com/chapter/10.1007/978-3-032-06198-0_23,Conference paper
Using Open API for&#xa0;the&#xa0;Development of&#xa0;Hybrid Classical-Quantum Services,Service-Oriented Computing – ICSOC 2022 Workshops,,,,10.1007/978-3-031-26507-5_34,Javier Romero-ÁlvarezJaime Alvarado-ValienteEnrique MoguelJosé García-AlonsoJuan M. Murillo,2023,https://link.springer.com/chapter/10.1007/978-3-031-26507-5_34,Conference paper
Integration of&#xa0;Classical and&#xa0;Quantum Services Using an&#xa0;Enterprise Service Bus,Product-Focused Software Process Improvement,,,,10.1007/978-3-031-49269-3_11,Javier BonillaEnrique MoguelJosé García-AlonsoCarlos Canal,2024,https://link.springer.com/chapter/10.1007/978-3-031-49269-3_11,Conference paper
Software Flow for&#xa0;Quantum Computing,Computational Technologies and Electronics,,,,10.1007/978-3-031-81981-0_18,Debjyoti BhattacharjeeAmit SahaJunde LiKoustubh PhalakAvimita ChatterjeeJeremie PopeSwaroop GhoshAnupam Chattopadhyay,2025,https://link.springer.com/chapter/10.1007/978-3-031-81981-0_18,Conference paper
Computational Monogamy of&#xa0;Entanglement and&#xa0;Non-interactive Quantum Key Distribution,Theory of Cryptography,,,,10.1007/978-3-032-12296-4_2,Alex B. GriloGiulio MalavoltaMichael WalterTianwei Zhang,2026,https://link.springer.com/chapter/10.1007/978-3-032-12296-4_2,Conference paper
Hybrid (Quantum-Classical) Service Applications Deployment Configuration System,Service-Oriented Computing – ICSOC 2024 Workshops,,,,10.1007/978-981-96-7423-7_1,Álvaro M. Aparicio-MoralesJose Garcia-AlonsoJavier CámaraJuan M. Murillo,2026,https://link.springer.com/chapter/10.1007/978-981-96-7423-7_1,Conference paper
Quantum Curiosity: Quantum Curious Feature Selection,Quantum AI and NLP,,,,10.1007/978-3-032-13883-5_17,James Bryan GravesGoren Gordon,2026,https://link.springer.com/chapter/10.1007/978-3-032-13883-5_17,Conference paper
Calibration-Aware Bit-Flip Averaging For Quantum Error Mitigation,Soft Computing Models in Industrial and Environmental Applications,,,,10.1007/978-3-032-29254-4_33,Damian Choptiany,2026,https://link.springer.com/chapter/10.1007/978-3-032-29254-4_33,Conference paper
Quantum AIXI: Universal Intelligence via&#xa0;Quantum Information,Artificial General Intelligence,,,,10.1007/978-3-032-00800-8_6,Elija Perrier,2026,https://link.springer.com/chapter/10.1007/978-3-032-00800-8_6,Conference paper
NordIQuEst: The&#xa0;Nordic–Estonian Quantum Computing e–Infrastructure Quest,Nordic e-Infrastructure Tomorrow,,,,10.1007/978-3-031-86240-3_8,Costantino CarugnoJake MuffMikael P. JohanssonSven KarlssonAlberto Lanzanova,2025,https://link.springer.com/chapter/10.1007/978-3-031-86240-3_8,Conference paper
Quantum-Circuit Inspired Hybrid QCNN for&#xa0;UAV Based Crop Classification,Computer Vision and Image Processing,,,,10.1007/978-3-031-93694-4_32,Ipsit SinghAshis BaidyaUmar FarooqParvinder Singh,2026,https://link.springer.com/chapter/10.1007/978-3-031-93694-4_32,Conference paper
A Systematic Mapping Study on&#xa0;Toolchain Support for&#xa0;Quantum Computing as&#xa0;a&#xa0;Service,SEET—Software Engineering for Emerging Technologies,,,,10.1007/978-3-032-08977-9_31,Maryam Tavassoli Sabzevari,2026,https://link.springer.com/chapter/10.1007/978-3-032-08977-9_31,Conference paper
Q-TEE: A Service-Oriented Tool for&#xa0;Assessing the&#xa0;Trainability and Expressivity of Variational Quantum Circuits,Service-Oriented Computing – ICSOC 2024 Workshops,,,,10.1007/978-981-96-7423-7_3,Sergio Hernández LópezDanel Arias ÁlamoJavier Lázaro GonzálezJavier Ibarra VeganzonesAitor Morais MiñambresIker Pastor LópezPablo Garcia Bringas,2026,https://link.springer.com/chapter/10.1007/978-981-96-7423-7_3,Conference paper
Towards Quantum-Safe Cryptography in&#xa0;5G Networks,Innovative Security Solutions for Information Technology and Communications,,,,10.1007/978-3-032-17443-7_7,Lucía Muñoz-SolanasJosé Álvaro Fernández-Carrasco,2026,https://link.springer.com/chapter/10.1007/978-3-032-17443-7_7,Conference paper
A Web-Based Demonstrator for&#xa0;Quantum Circuit Programming Education,Web Engineering,,,,10.1007/978-3-032-29372-5_35,Bernhard SchenkenfelderRaphael ZeffererManuel Wimmer,2026,https://link.springer.com/chapter/10.1007/978-3-032-29372-5_35,Conference paper
Quantum Delta Encoding: Optimizing Data Storage on&#xa0;Quantum Computers with&#xa0;Resource Efficiency,Euro-Par 2025: Parallel Processing,,,,10.1007/978-3-031-99872-0_8,Jiale ZhangXilong CheYuzhe FanJuncheng Hu,2026,https://link.springer.com/chapter/10.1007/978-3-031-99872-0_8,Conference paper
Quantum Algorithms for Optimization Problems,"Internet of Things, Smart Spaces, and Next Generation Networks and Systems",,,,10.1007/978-3-031-95296-8_17,Dilnoz MuhamediyevaRustamjon RaximovShavkat Urokov,2026,https://link.springer.com/chapter/10.1007/978-3-031-95296-8_17,Conference paper
On Encoding Big Knowledge Graphs as Quantum States and&#xa0;on Running Grover’s Algorithm,Knowledge Graphs,,,,10.1007/978-981-95-5009-8_37,Giorgos TheodorakisMichalis TouloupakisYannis Tzitzikas,2026,https://link.springer.com/chapter/10.1007/978-981-95-5009-8_37,Conference paper
Generating Property-Based Tests for Quantum Algorithms,Service-Oriented Computing – ICSOC 2024 Workshops,,,,10.1007/978-981-96-7423-7_2,Antonio García de la BarreraManuel Ángel SerranoIgnacio García-Rodríguez de GuzmánMacario PoloMario Piattini,2026,https://link.springer.com/chapter/10.1007/978-981-96-7423-7_2,Conference paper
Quantum Patches for&#xa0;Efficient Learning,Multi-disciplinary Trends in Artificial Intelligence,,,,10.1007/978-981-95-4957-3_8,Ban Q. TranChuong K. LuongSusan Mengel,2026,https://link.springer.com/chapter/10.1007/978-981-95-4957-3_8,Conference paper
Quantum First-Order Logics and&#xa0;Quantum Natural Deduction,Fundamentals of Computation Theory,,,,10.1007/978-3-032-04700-7_31,Tomoyuki Yamakami,2026,https://link.springer.com/chapter/10.1007/978-3-032-04700-7_31,Conference paper
Quantum Computing in&#xa0;Prenatal Care: Enhancing Fetal Ultrasound Image Classification with&#xa0;Quantum Neural Networks,Pattern Recognition and Image Analysis,,,,10.1007/978-3-031-99568-2_19,Asmae ZanbouaaNabila ZriraSaad SlimaniIbtissam BenmiloudEl Houssine Bouyakhf,2026,https://link.springer.com/chapter/10.1007/978-3-031-99568-2_19,Conference paper
Patterns of&#xa0;Quantum Cognition I: From Chronomorphisms to&#xa0;Quantum Propagators,Artificial General Intelligence,,,,10.1007/978-3-032-00686-8_19,Ben Goertzel,2026,https://link.springer.com/chapter/10.1007/978-3-032-00686-8_19,Conference paper
Solving Capacitated Vehicle Routing Problem with&#xa0;Equal Demand Using Quantum Approximate Optimization Algorithm on&#xa0;Superconducting Quantum Computer,Soft Computing Models in Industrial and Environmental Applications,,,,10.1007/978-3-032-29254-4_35,Miłosz BiałczakDominik NikrewiczMariusz Uchroński,2026,https://link.springer.com/chapter/10.1007/978-3-032-29254-4_35,Conference paper
Performance Analysis of Quantum Machine Learning for Malware Detection,"Information Security, Privacy and Digital Forensics",,,,10.1007/978-981-95-2196-8_33,Harsha DudejaChirag Modi,2026,https://link.springer.com/chapter/10.1007/978-981-95-2196-8_33,Conference paper
On Quantum Money and&#xa0;Evasive Obfuscation,Advances in Cryptology – EUROCRYPT 2025,,,,10.1007/978-3-031-91131-6_7,Mark Zhandry,2025,https://link.springer.com/chapter/10.1007/978-3-031-91131-6_7,Conference paper
Quantum Computing for Machine Learning Applications,Soft Computing and Its Engineering Applications,,,,10.1007/978-3-032-22059-2_6,T. ShreekumarK. M. RashmiRavinarayanaB. S. Pradeep,2026,https://link.springer.com/chapter/10.1007/978-3-032-22059-2_6,Conference paper
A Digital Quantum Simulation Framework for&#xa0;Entanglement Distribution in&#xa0;Noisy Quantum Channels,Intelligent Networked Things,,,,10.1007/978-981-95-1103-7_5,Jia-Cheng HuoCong CaoRu ZhangWen-Sheng Yu,2026,https://link.springer.com/chapter/10.1007/978-981-95-1103-7_5,Conference paper
Quantum Convolutional Neural Networks with&#xa0;Residual Learning: Advancing Quantum Model Architectures,"Computer Vision, Pattern Recognition, Image Processing, and Graphics",,,,10.1007/978-3-032-08511-5_33,Meghanshu VermaKrishna AroraPiyush KumarKrishiv TrivediJyoti YadavSumit Kumar Pandey,2026,https://link.springer.com/chapter/10.1007/978-3-032-08511-5_33,Conference paper
DeepQUBO: Quantum-Optimized Route Planning for&#xa0;Carpooling Service,Service-Oriented Computing,,,,10.1007/978-981-95-5015-9_27,Zifeng LiuYuzhuo ZhaoXiaofeng GaoKun Tian,2026,https://link.springer.com/chapter/10.1007/978-981-95-5015-9_27,Conference paper
Overview of&#xa0;QuantumCLEF 2025: The Second Quantum Computing Challenge for&#xa0;Information Retrieval and&#xa0;Recommender Systems at&#xa0;CLEF,"Experimental IR Meets Multilinguality, Multimodality, and Interaction",,,,10.1007/978-3-032-04354-2_22,Andrea PasinMaurizio Ferrari DacremaWashington CunhaMarcos André GonçalvesPaolo CremonesiNicola Ferro,2026,https://link.springer.com/chapter/10.1007/978-3-032-04354-2_22,Conference paper
Knowledge Graphs and&#xa0;Quantum Computing: First Blood,Knowledge Graphs,,,,10.1007/978-981-95-5009-8_1,Yannis TzitzikasHaridimos Kondylakis,2026,https://link.springer.com/chapter/10.1007/978-981-95-5009-8_1,Conference paper
Post-Quantum Email: A Practical Implementation of Lattice-Based Cryptography with Crystals-Dilithium for Advanced Email Encryption,Computational Intelligence in Data Science,,,,10.1007/978-3-031-98364-1_12,V. KavithaV. P. HarishA. RavindarG. P. Sivasaran,2026,https://link.springer.com/chapter/10.1007/978-3-031-98364-1_12,Conference paper
The Round Complexity of&#xa0;Black-Box Post-quantum Secure Computation,Advances in Cryptology – CRYPTO 2025,,,,10.1007/978-3-032-01884-7_1,Rohit ChatterjeeXiao LiangOmkant PandeyTakashi Yamakawa,2025,https://link.springer.com/chapter/10.1007/978-3-032-01884-7_1,Conference paper
Comprehensive Classification and Analysis of Cyber Attack Surface on Quantum Key Distribution Networks,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94445-1_20,Ivan CvitićDragan PerakovićJosip Vladava,2026,https://link.springer.com/chapter/10.1007/978-3-031-94445-1_20,Conference paper
Graph Rewriting Language as&#xa0;a&#xa0;Platform for&#xa0;Quantum Diagrammatic Calculi,Practical Aspects of Declarative Languages,,,,10.1007/978-3-032-15981-6_4,Kayo TeiHaruto MishinaNaoki YamamotoKazunori Ueda,2026,https://link.springer.com/chapter/10.1007/978-3-032-15981-6_4,Conference paper
Strategies to&#xa0;Reduce Memory Consumption in&#xa0;Software Quantum Computing Simulators,High Performance Computing,,,,10.1007/978-3-031-80084-9_16,Gilberto DíazLuiz SteffenelCarlos BarriosJean Couturier,2025,https://link.springer.com/chapter/10.1007/978-3-031-80084-9_16,Conference paper
Benchmarking Post-quantum Cryptography in&#xa0;Ethereum-Based Blockchains,Computer Security. ESORICS 2024 International Workshops,,,,10.1007/978-3-031-82349-7_23,Patxi JuaristiIsaac AgudoRuben RiosLaura Ricci,2025,https://link.springer.com/chapter/10.1007/978-3-031-82349-7_23,Conference paper
AutoQ&#xa0;2.0: From Verification of Quantum Circuits to Verification of Quantum Programs,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-031-90660-2_5,Yu-Fang ChenKai-Min ChungMin-Hsiu HsiehWei-Jia HuangOndřej LengálJyun-Ao LinWei-Lun Tsai,2025,https://link.springer.com/chapter/10.1007/978-3-031-90660-2_5,Conference paper
Towards a&#xa0;Computational Quantum Logic,"Crossroads of Computability and Logic: Insights, Inspirations, and Innovations",,,,10.1007/978-3-031-95908-0_3,Alejandro Díaz-Caro,2025,https://link.springer.com/chapter/10.1007/978-3-031-95908-0_3,Conference paper
Quantum AGI: Ontological Foundations,Artificial General Intelligence,,,,10.1007/978-3-032-00800-8_8,Elija PerrierMichael Timothy Bennett,2026,https://link.springer.com/chapter/10.1007/978-3-032-00800-8_8,Conference paper
Quantum E-voting System Using QKD and Enhanced Quantum Oracles,Cybersecurity and Human Capabilities Through Symbiotic Artificial Intelligence,,,,10.1007/978-3-031-82031-1_4,Viduranga Shenal Landers,2025,https://link.springer.com/chapter/10.1007/978-3-031-82031-1_4,Conference paper
Quantum Services: A Tutorial on&#xa0;the&#xa0;Technology and&#xa0;the&#xa0;Process,Service-Oriented Computing – ICSOC 2023 Workshops,,,,10.1007/978-981-97-0989-2_29,Javier Romero-ÁlvarezJaime Alvarado-ValienteEnrique MoguelJosé Garcia-AlonsoJuan M. Murillo,2024,https://link.springer.com/chapter/10.1007/978-981-97-0989-2_29,Conference paper
Quantum Compilation Process: A&#xa0;Survey,Euro-Par 2024: Parallel Processing Workshops,,,,10.1007/978-3-031-90200-0_9,F. Javier CardamaJorge Vázquez-PérezTomás F. PenaJuan C. PichelAndrés Gómez,2025,https://link.springer.com/chapter/10.1007/978-3-031-90200-0_9,Conference paper
Load Balancing Using Quantum Computers on Cloud,"Sustainable Development through Machine Learning, AI and IoT",,,,10.1007/978-3-032-19239-4_4,Rajiv ChopraKapila MalhotraRitu SibalRishav Kumar,2026,https://link.springer.com/chapter/10.1007/978-3-032-19239-4_4,Conference paper
Quantum Diagnosis: Revolutionizing Skin Tumors Classification with Quantum Machine Learning,Data Science and Exploration in Artificial Intelligence,,,,10.1007/978-3-032-19318-6_6,B. U. KarthikM. S. MrutyunjayaK. R. Varalakshmi,2026,https://link.springer.com/chapter/10.1007/978-3-032-19318-6_6,Conference paper
Enhancing Neural Network with Quantum Computing,Proceedings of International Conference on Computing Systems and Intelligent Applications,,,,10.1007/978-981-96-8350-5_11,Sonia Maria D’SouzaR. Ramesh PrasadChethan S. ReddyP. Dhiran Kumar ReddyS. P. ChethanM. S. Sushruth,2026,https://link.springer.com/chapter/10.1007/978-981-96-8350-5_11,Conference paper
Error-Tolerant Quantum State Discrimination: Optimization and Quantum Circuit Synthesis,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-032-22749-2_22,Chien-Kai MaBo-Hung ChenTian-Fu ChenDah-Wei ChiouJie-Hong R. Jiang,2026,https://link.springer.com/chapter/10.1007/978-3-032-22749-2_22,Conference paper
Quantum-Inspired Fermionic Operator Representation for Interpreting Human Cognition Through Smile Classification,"Advanced Technologies in Electronics, Communications and Signal Processing",,,,10.1007/978-3-031-94280-8_32,S. Mahaboob HussainGodi AmulyaPedamallu Krishna MadhuriV. V. R. Maheswara RaoM. P. V. S. GopinadhKappara Lakshmi Sindhu,2026,https://link.springer.com/chapter/10.1007/978-3-031-94280-8_32,Conference paper
Investigation of&#xa0;Quantum Key Distribution Protocols Under Trojan Horse Side-Channel Attack,Asia Pacific Advanced Network,,,,10.1007/978-3-032-18319-4_3,S. KirubakaranR. PriyadharshiniAswani AshokDeepika RajanPaventhan Arumugam,2026,https://link.springer.com/chapter/10.1007/978-3-032-18319-4_3,Conference paper
Towards Understanding the&#xa0;Developer Experience in&#xa0;Quantum Software Development,Product-Focused Software Process Improvement,,,,10.1007/978-3-032-12089-2_39,Ronja HeikkinenMajid HaghparastTommi Mikkonen,2026,https://link.springer.com/chapter/10.1007/978-3-032-12089-2_39,Conference paper
2-bit Multiplication Quantum Circuit with Addition,Information Technologies and Their Applications,,,,10.1007/978-3-031-73417-5_1,Saadi AndishmandSedat Akleylek,2025,https://link.springer.com/chapter/10.1007/978-3-031-73417-5_1,Conference paper
Q-SafeML: Safety Assessment of&#xa0;Quantum Machine Learning via&#xa0;Quantum Distance Metrics,Model-Based Safety and Assessment,,,,10.1007/978-3-032-05073-1_23,Oliver DunnKoorosh AslansefatYiannis Papadopoulos,2026,https://link.springer.com/chapter/10.1007/978-3-032-05073-1_23,Conference paper
QRAT: A Reachability Analysis Tool for&#xa0;Quantum Programs,"Software Fault Prevention, Verification, and Validation",,,,10.1007/978-981-95-6032-5_2,Canh Minh DoKazuhiro Ogata,2026,https://link.springer.com/chapter/10.1007/978-981-95-6032-5_2,Conference paper
Formal Verification of&#xa0;Measurement-Based Quantum Computation in&#xa0;Maude,"Software Fault Prevention, Verification, and Validation",,,,10.1007/978-981-95-6032-5_11,Ryuichi NagoshiTsubasa Takagi,2026,https://link.springer.com/chapter/10.1007/978-981-95-6032-5_11,Conference paper
Hard-to-Find Bugs in&#xa0;a&#xa0;Post-Quantum Age,Innovative Security Solutions for Information Technology and Communications,,,,10.1007/978-3-032-17443-7_9,Matteo SteinbachPeter B. RønneJohann Großschädl,2026,https://link.springer.com/chapter/10.1007/978-3-032-17443-7_9,Conference paper
Quantum Bisimulation-Based Acceleration Method for&#xa0;Quantum Cryptographic Protocol Verification,Information Security and Cryptology,,,,10.1007/978-981-95-6206-0_19,Min GuanJuan XuJian Lei,2026,https://link.springer.com/chapter/10.1007/978-981-95-6206-0_19,Conference paper
Quantum-Enhanced Wi-Fi Sensing: A Hybrid Quantum Machine Learning Framework for&#xa0;Human Activity Recognition,Intelligent Human Computer Interaction,,,,10.1007/978-3-032-26349-0_32,Nihar RautYash SitaparaSruthi PenmetsaSiba K. Udgata,2026,https://link.springer.com/chapter/10.1007/978-3-032-26349-0_32,Conference paper
Quantum-Resilient Edge Computing Cryptography for Resource-Limited Medical IoT,Emerging Trends in Scientific Computing and Theoretical Computer Science,,,,10.1007/978-3-032-22211-4_17,Rubayat KhanSaif NirzhorDon Roosan,2026,https://link.springer.com/chapter/10.1007/978-3-032-22211-4_17,Conference paper
Task Manager of&#xa0;Quantum Web Services Through a&#xa0;Load Balancing Solution,Web Engineering,,,,10.1007/978-3-031-62362-2_24,Jaime Alvarado-ValienteJavier Romero-ÁlvarezEnrique MoguelJosé Garcia-AlonsoJuan M. Murillo,2024,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_24,Conference paper
QSeqSim: A Symbolic Simulator for&#xa0;Qiskit While Loops Using Sequential Quantum Circuits (Long Tool Paper),Formal Methods,,,,10.1007/978-3-032-26204-2_30,Zihao LiJi GuanMingsheng Ying,2026,https://link.springer.com/chapter/10.1007/978-3-032-26204-2_30,Conference paper
Investigating the Use of Quantum Computing and Quantum Machine Learning in Speech Recognition Systems: A Comprehensive Survey of Recent Advancements,Emerging Trends in Scientific Computing and Theoretical Computer Science,,,,10.1007/978-3-032-22211-4_34,Paramita Basak UpamaParama SrideviShoumili DuttaSoheni DuttaAmity AliSheikh Iqbal Ahamed,2026,https://link.springer.com/chapter/10.1007/978-3-032-22211-4_34,Conference paper
Quantum Interactive Oracle Proofs,Theory of Cryptography,,,,10.1007/978-3-032-12296-4_14,Baocheng SunThomas Vidick,2026,https://link.springer.com/chapter/10.1007/978-3-032-12296-4_14,Conference paper
Life Beings: Living Quantum Art,"Artificial Intelligence in Music, Sound, Art and Design",,,,10.1007/978-3-032-24350-8_19,Alain LioretKamal HennouFlorentin Eraud,2026,https://link.springer.com/chapter/10.1007/978-3-032-24350-8_19,Conference paper
Benchmarks of&#xa0;the&#xa0;Quantum Inner Product as&#xa0;the&#xa0;BLAS Solver in&#xa0;the&#xa0;Multiple Quantum-Related Scenarios,Quantum Computation,,,,10.1007/978-981-95-4791-3_9,Kaifan PanWenhao LiangFangqiu XuLianhua HeYingjin Ma,2026,https://link.springer.com/chapter/10.1007/978-981-95-4791-3_9,Conference paper
Collusion-Resistant Quantum Secure Key Leasing Beyond Decryption,Advances in Cryptology – EUROCRYPT 2026,,,,10.1007/978-3-032-25291-3_20,Fuyuki KitagawaRyo NishimakiNikhil Pappu,2026,https://link.springer.com/chapter/10.1007/978-3-032-25291-3_20,Conference paper
"Precision, Trust and&#xa0;Order—The Invisible Ruler of&#xa0;Quantum Computing Systems",Quantum Computation,,,,10.1007/978-981-95-4791-3_11,Yan Yang,2026,https://link.springer.com/chapter/10.1007/978-981-95-4791-3_11,Conference paper
Topological Quantum Computing for&#xa0;Engineers,Artificial Intelligence and Knowledge Processing,,,,10.1007/978-3-031-73477-9_12,Srinjoy GangulyShalini DevendrababuHasan MustafaPrateek JainLuis Gerardo Ayala Bertel,2025,https://link.springer.com/chapter/10.1007/978-3-031-73477-9_12,Conference paper
Toward Crypto Agility: Automated Analysis of&#xa0;Quantum-Vulnerable TLS via&#xa0;Packet Inspection,"Security, Privacy, and Applied Cryptography Engineering",,,,10.1007/978-3-032-16342-4_7,Subeen ChoYulim HyoungHagyeong KimMinjoo SimAnupam ChattopadhyayHwajeong SeoHyunji Kim,2026,https://link.springer.com/chapter/10.1007/978-3-032-16342-4_7,Conference paper
Efficiently Verifying Quantum Programs with&#xa0;Few T Gates,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-032-15700-3_3,Youngchan ChoRobert Rand,2026,https://link.springer.com/chapter/10.1007/978-3-032-15700-3_3,Conference paper
Navigating Post-quantum Blockchain: Resilient Cryptography in Quantum Threats,Cyber Security and Digital Forensics,,,,10.1007/978-981-96-3284-8_1,Anupam TiwariNeha Sharma,2025,https://link.springer.com/chapter/10.1007/978-981-96-3284-8_1,Conference paper
PQ-DPoL: An Efficient Post-Quantum Blockchain Consensus Algorithm,Information Security Applications,,,,10.1007/978-981-99-8024-6_24,Wonwoong KimYeajun KangHyunji KimKyungbae JangHwajeong Seo,2024,https://link.springer.com/chapter/10.1007/978-981-99-8024-6_24,Conference paper
Pioneering Quantum-Safe Cryptography: Securing the Future of Data Privacy,Computational Intelligence and Soft Computing,,,,10.1007/978-981-95-7289-2_10,Siva Krishna Jampani,2026,https://link.springer.com/chapter/10.1007/978-981-95-7289-2_10,Conference paper
Round-Efficient Composable Two-Party Quantum Computation,Advances in Cryptology – ASIACRYPT 2025,,,,10.1007/978-981-95-5125-5_12,Vipul GoyalXiao LiangOmkant PandeyYuhao TangTakashi Yamakawa,2026,https://link.springer.com/chapter/10.1007/978-981-95-5125-5_12,Conference paper
Lattice-Based Encryption in Building Post Quantum-Resistant Algorithms for Next-Generation Security,Emerging Trends in Scientific Computing and Theoretical Computer Science,,,,10.1007/978-3-032-22211-4_15,Rubayat KhanSaif NirzhorTiffany KhouDon Roosan,2026,https://link.springer.com/chapter/10.1007/978-3-032-22211-4_15,Conference paper
Post Quantum Cryptographic Schemes and&#xa0;Libraries Selection,Database and Expert Systems Applications,,,,10.1007/978-3-032-02088-8_26,Shubhro RoyMangesh GharotePankaj SahuSutapa MondalM. A. RajanSachin Lodha,2026,https://link.springer.com/chapter/10.1007/978-3-032-02088-8_26,Conference paper
Quantum Implementation of&#xa0;SHA-1,Information Security Applications,,,,10.1007/978-981-95-6857-4_14,Seyoung YoonGyeongju SongKyungbae JangSangmin ChaHwajeong Seo,2026,https://link.springer.com/chapter/10.1007/978-981-95-6857-4_14,Conference paper
