StudyID,Title,DOI
49,QFaaS: A Serverless Function-as-a-Service framework for Quantum computing,10.1016/j.future.2024.01.018
50,Qibo: a framework for quantum simulation with hardware acceleration,10.1088/2058-9565/ac39f5
51,QisDAX: An Open Source Bridge from Qiskit to Trapped-Ion Quantum Devices,10.1109/qce57702.2023.00097
52,"QISKit, Awesome SDK for Quantum Programming in Python",10.1007/978-1-4842-4218-6_4
53,"Qiskit, Awesome SDK for Quantum Programming in Python",10.1007/978-1-4842-9991-3_6
54,qlbm - A quantum lattice Boltzmann software framework,10.1016/j.cpc.2025.109699
55,Qonductor: A Cloud Orchestrator for Quantum Computing,10.1145/3712285.3759785
56,QOPS: a compiler framework for quantum circuit simulation acceleration with profile-guided optimizations,10.1007/s11227-025-07157-2
57,QSandbox: The Agile Quantum Software Sandbox,10.1007/978-3-031-64136-7_4
58,qSOA: Dynamic integration for hybrid quantum/Classical software systems,10.1016/j.jss.2024.112061
59,Qsun: an open-source platform towards practical quantum machine learning applications,10.1088/2632-2153/ac5997
60,QuaCiDe: A General Purpose Quantum Circuit Design and Simulation Interface,10.1145/3665870.3665874
61,Quantum Computing with Differentiable Quantum Transforms,10.1145/3592622
62,Quantum Inspire: QuTech's platform for co-development and collaboration in quantum computing,10.1117/12.2551853
63,Quantum Mini-Apps: A Framework for Developing and Benchmarking Quantum-HPC Applications,10.1145/3659996.3660036
64,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,10.1201/9788770046336
65,Quantum Services Generation and Deployment Process: A Quality-Oriented Approach,10.1007/978-3-031-43703-8_15
66,Quantum Software Ecosystem Design,10.1007/978-3-031-64136-7_7
67,Quantum software framework: a tentative study,10.1007/s11704-012-2168-x
68,Quantum++: A modern C++ quantum computing library,10.1371/journal.pone.0208073
69,QuantumPath: A quantum software development platform,10.1002/spe.3064
70,QuantumShare: Towards an Ontology for Bridging the Quantum Divide,10.1007/978-3-031-47262-6_22
71,QUASIM: Quantum Computing Enhanced Service Ecosystem for Simulation in Manufacturing,10.1007/s13218-024-00860-x
72,Qubernetes: Towards a unified cloud-native execution platform for hybrid classic-quantum computing,10.1016/j.infsof.2024.107529
73,QuCloudSim: A Customizable Discrete Event Simulator for Quantum Cloud Computing Enviroment,10.1109/QCNC64685.2025.00018
74,Quff: A Dynamically Typed Hybrid Quantum-Classical Programming Language,10.1145/3679007.3685063
75,Quingo: A Programming Framework for Heterogeneous Quantum-Classical Computing with NISQ Features,10.1145/3483528
76,Qunicorn: A Middleware for the Unified Execution Across Heterogeneous Quantum Cloud Offerings,10.1109/q-se66736.2025.00009
77,Quokka: A Service Ecosystem for Workflow-Based Execution of Variational Quantum Algorithms,10.1007/978-3-031-26507-5_35
78,Qutes: A High-Level Quantum Programming Language for Simplified Quantum Computing,10.1145/3731545.3744153
79,ScaffCC: a framework for compilation and analysis of quantum computing programs,10.1145/2597917.2597939
80,Scaling Hybrid Quantum--HPC Applications with the Quantum Framework,10.1145/3731599.3767553
81,Shaking Up Quantum Simulators with Fuzzing and Rigour,10.1145/3763100
82,Software for Massively Parallel Quantum Computing,10.1007/978-3-031-37966-6_6
83,Strawberry Fields: A Software Platform for Photonic Quantum Computing,10.22331/q-2019-03-11-129
84,t|ket>: a retargetable compiler for NISQ devices,10.1088/2058-9565/ab8e92
85,Tetris: A Compilation Framework for VQA Applications in Quantum Computing,10.1109/isca59077.2024.00029
86,The Arrow Calculus as a Quantum Programming Language,10.1007/978-3-642-02261-6_30
87,The NISQ Analyzer: Automating the Selection of Quantum Computers for Quantum Algorithms,10.1007/978-3-030-64846-6_5
88,Toolchain for faster iterations in quantum software development,10.1007/s00607-025-01450-x
89,Towards a user-centric HPC-QC environment,10.1145/3731599.3767549
90,Towards Higher-Level Abstractions for Quantum Computing,10.1145/3511616.3513106
91,Towards Quantum-algorithms-as-a-service,10.1145/3549036.3562056
92,Trusted Execution Environments for Quantum Computers,10.1145/3658644.3690855
93,tweedledum: a compiler companion for quantum computing,10.23919/DATE54114.2022.9774510
94,Using Open API for the Development of Hybrid Classical-Quantum Services,10.1007/978-3-031-26507-5_34
95,Weaver: A Retargetable Compiler Framework for FPQA Quantum Architectures,10.1145/3696443.3708965
96,XACC: a system-level software infrastructure for heterogeneous quantum–classical computing,10.1088/2058-9565/ab6bf6
97,"Yao.jl: Extensible, Efficient Framework for Quantum Algorithm Design",10.22331/q-2020-10-11-341
