ID,ENTRYTYPE,author,title,year,doi,url,abstract,journal,booktitle,volume,number,pages,publisher,keywords,series,location,numpages,address,isbn,articleno,month,issn,issue_date,note
10.1145/3733814.3765492,inproceedings,"Koranga, Aditya",Saving 5G Core from Cryptocrastination,2026,10.1145/3733814.3765492,https://doi.org/10.1145/3733814.3765492,"The emergence of quantum computing poses significant threats to the cryptographic foundations of 5G core networks, yet the telecommunications industry faces widespread cryptocrastination—the systematic procrastination of migration from classical cryptography to post-quantum cryptography despite imminent quantum threats. Current implementations rely heavily on classical asymmetric cryptography, including RSA and Elliptic Curve Cryptography (ECC), which are vulnerable to quantum attacks via Shor’s algorithm. This paper presents a comprehensive post-quantum cryptography (PQC) implementation across all 5G core network functions and interfaces to address this critical security challenge.The research demonstrates a complete migration framework from classical to quantum-resistant cryptographic algorithms, covering Service-Based Interface (SBI) communications, user plane security, authentication mechanisms, and subscriber identity protection. The implementation integrates NIST-standardized algorithms including ML-KEM for key encapsulation, ML-DSA for digital signatures, and enhanced symmetric encryption using AES-256. Performance benchmarking on 80-core systems reveals ML-KEM-512 achieving over 4 million operations per second, while GPU acceleration with NVIDIA GH200 reaches up to 20 million operations per second. Detailed technical approaches are provided for securing N2, N3, and N4 interfaces using post-quantum enhanced DTLS and quantum-resistant IPSec protocols.The research contributes to advancing quantum-safe telecommunications infrastructure by demonstrating practical migration pathways with measured performance impacts showing only 27-35% overhead for critical operations, remaining within 3GPP specifications. This work provides telecommunications operators with concrete strategies to overcome cryptocrastination and deploy quantum-safe networks.",,Proceedings of the 1st Free5GC World Forum 2025,,,,Association for Computing Machinery,"Post-Quantum Cryptography, 5G Security, ML-KEM, ML-DSA, Quantum-Safe Networks, Cryptocrastination, QRNG, Network Function Security",free5GC '25,,8,"New York, NY, USA",9798400719035,4,,,,
10.1145/3716368.3735264,inproceedings,"Lu, Chao and Telang, Esha and Aysu, Aydin and Basu, Kanad",Quantum Leak: Timing Side-Channel Attacks on Cloud-Based Quantum Services,2025,10.1145/3716368.3735264,https://doi.org/10.1145/3716368.3735264,"Quantum computing offers significant acceleration capabilities over its classical counterpart in various application domains. Consequently, there has been substantial focus on improving quantum computing capabilities. However, to date, the security implications of these quantum computing platforms have been largely overlooked. With the emergence of cloud-based quantum computing services, it is critical to investigate the extension of classical computer security threats to the realm of quantum computing.In this study, we investigated timing-based side-channel vulnerabilities within IBM’s cloud-based quantum service. The proposed attack effectively subverts the confidentiality of the executed quantum algorithm, using a more realistic threat model compared to existing approaches. Our experimental results, conducted using IBM’s quantum cloud service, demonstrate that with just 10 measurements, it is possible to identify the underlying quantum computer that executed the circuit. Moreover, when evaluated using the popular Grover circuit, we showcase the ability to leak the quantum oracle with a mere 500 measurements. These findings underline the pressing need to address timing-based vulnerabilities in quantum computing platforms and advocate for enhanced security measures to safeguard sensitive quantum algorithms and data.",,Proceedings of the Great Lakes Symposium on VLSI 2025,,,252–257,Association for Computing Machinery,,GLSVLSI '25,,6,"New York, NY, USA",9798400714962,,,,,
10.1145/3803686.3803706,inproceedings,"Dong, Jian and Huang, Kailin and Zhang, Xuegang",Construction and Application Research of Quantum Secure Communication Model for Intelligent Education--A Fusion Architecture Based on Artificial Intelligence and Quantum Key Negotiation,2026,10.1145/3803686.3803706,https://doi.org/10.1145/3803686.3803706,"Aiming at the dual pain points of high security demand for teaching data transmission and insufficient supply of personalized services in intelligent education systems, this paper proposes a dual-drive fusion architecture of ""Artificial Intelligence (AI) + Quantum Secure Communication"". The architecture constructs an interdisciplinary knowledge graph through an improved TransE algorithm, completes learner profile modeling based on a hierarchical Bayesian model, and realizes personalized teaching service recommendation by combining a collaborative filtering-content hybrid recommendation algorithm. It adopts the improved BB84 Quantum Key Distribution (QKD) protocol and Quantum Secure Direct Communication (QSDC) technology to build an end-to-end secure channel for educational data transmission, and designs a collaborative interface between the AI model and the quantum security module. Through Matlab simulation, Python empirical testing, and stress testing under real-world scenario constraints, the results show that the proposed model achieves a key generation rate of 2.34 kbps (transmission distance ≤ 50 km), a data transmission Bit Error Rate (BER) ≤ 1.2\texttimes{}10–6, and a recommendation algorithm accuracy of 89.7%. Under high concurrency (1000 QPS), the interface response time maintains ≤ 50 ms with a normal distribution (mean = 32 ms, variance = 8.5 ms); the JSON data compression ratio reaches 3.2:1 via GZIP algorithm. Compared with traditional architectures, the security is improved by three orders of magnitude, and the anti-interference performance outperforms classical OFDM technology under multipath effects (BER = 1.8\texttimes{}10–6 vs. 3.5\texttimes{}10–5). This research provides technical support for the secure and personalized development of intelligent education, and the relevant models and algorithms can be directly adapted to the application of university intelligent teaching platforms.",,Proceedings of the 2026 International Conference on Artificial Intelligence and Digital Services,,,120–125,Association for Computing Machinery,"Intelligent Education, Knowledge Graph, Learner Profile, Personalized Recommendation, Quantum Key Distribution, Quantum Secure Communication",ICADS '26,,6,"New York, NY, USA",9798400723452,,,,,
10.1145/3749096.3750036,inproceedings,"Matos, Diogo Filipe and Romero, Juan Jos\'{e} and Ortiz, Laura and Martin, Vicente and Pinto, Armando Nolasco",Quantum-Enabled Secure Computation Medical Service,2025,10.1145/3749096.3750036,https://doi.org/10.1145/3749096.3750036,"This work presents the implementation of a quantum-enabled Secure Multi-Party Computation (SMC) service applied to two medical use cases and demonstrated on a Quantum Key Distribution (QKD) network deployed in Aveiro, utilizing both research and commercial QKD devices. We show the integration of quantum resources into the execution of SMC protocols by using quantum-generated oblivious keys, and also an overview of the generic framework for deploying SMC services. At the end, the results demonstrate the feasibility of the proposed use cases, highlighting the need for continued research into the integration of quantum Oblivious Transfer (OT) and SMC services within QKD networks.",,Proceedings of the 2nd Workshop on Quantum Networks and Distributed Quantum Computing,,,42–48,Association for Computing Machinery,"Genomics Medicine, Multi-Party Computation, Oblivious Keys, Oblivious Transfer, Quantum Key Distribution, Quantum Key Distribution Infrastructure",QuNet '25,"Coimbra, Portugal",7,"New York, NY, USA",9798400720970,,,,,
10.1145/3685767.3685777,inproceedings,"Abdalla, Hemn Barzan and Awlla, Ardalan Hussein and Kumar, Yulia and Cheraghy, Maryam","Big Data: Past, Present, and Future Insights",2024,10.1145/3685767.3685777,https://doi.org/10.1145/3685767.3685777,"This paper presents a comprehensive analysis of the historical progression, current trends, and prospects of Big Data. It explores the technological advancements that have established Big Data as a critical element of contemporary analytics, its extensive impact across various sectors, and the ethical challenges it poses. Beginning with the early recognition of Big Data's potential in the 2000s, the paper traces the development of foundational technologies such as Hadoop and the subsequent diversification of tools and methods. It delves into the integration of advanced analytics and machine learning, the rise of cloud-based Big Data services, and the transformative effects on sectors including healthcare, finance, agriculture, and education. The study also examines ethical considerations such as privacy, bias, transparency, and regulatory compliance, emphasizing the need for robust governance frameworks. It investigates the potential of emerging technologies like AI, IoT, and quantum computing to enhance Big Data capabilities further. It highlights future directions, including decentralized data ecosystems, advanced analytical techniques, and enhanced data privacy measures. By providing a panoramic view of Big Data's development, this paper aims to showcase its potential to revolutionize decision-making processes, improve operational efficiency, and drive innovation across industries; it underscores the importance of balancing technological innovation with ethical responsibility to ensure positive societal advancement and global progress. To add a novelty to the discussion, an AI agent Big D was created to provide a relevant analysis of trends in Big Data. The agent uses a multimodal ChatGPT-4o Large Language Model (LLM) from OpenAI and provides its review based on uploaded files and LLM knowledge.",,"Proceedings of the 2024 Asia Pacific Conference on Computing Technologies, Communications and Networking",,,60–70,Association for Computing Machinery,,CTCNet '24,"Chengdu, China",11,"New York, NY, USA",9798400709609,,,,,
10.1145/3716368.3735240,inproceedings,"Roy, Rupshali and Ghosh, Archisman and Ghosh, Swaroop",Forensics of Transpiled Quantum Circuits,2025,10.1145/3716368.3735240,https://doi.org/10.1145/3716368.3735240,"There is a steady growth in research and demand for real quantum hardware in the Noisy Intermediate-Scale Quantum (NISQ) era of quantum computing. This prompts many third-party cloud providers to set up quantum hardware as a service that includes a wide range of qubit technologies and architectures to maximize performance at minimal cost. Different backends vary in terms of noise behavior, the basis gate set, coupling architecture and speed, among other factors. However, there is little to no visibility on where the execution of the circuit is actually taking place. The success of the user program is highly reliant on the backend that was used for execution. Besides, the third-party provider and/or tools (e.g., hardware mapper and allocator) may be untrustworthy and execute the quantum circuits on less efficient and more error-prone hardware to conserve resources and maximize profit. As such, gaining visibility on the backend from various aspects of the computing e.g., transpilation, execution and outcomes will be extremely valuable. Towards this goal, we introduce the problem of forensics in the domain of quantum computing where the objective is to trace the hardware and its properties where the quantum program has been transpiled and executed. Effective forensics can have many applications including establishing trust in the quantum cloud services. In this work, we focus on tracing the coupling map of the hardware (from the transpiled program) where the transpilation of the circuit took place. Next, we extracted the coupling map of the whole backend using as little as 3 transpiled circuits, both for user-based and transpiler-based (using auto-assignment feature) logical to physical mapping of the qubits. Finally, we addressed the problem of tracing the backends in a suite of backends using a pool of transpiled quantum circuits of varied sizes.",,Proceedings of the Great Lakes Symposium on VLSI 2025,,,354–359,Association for Computing Machinery,"Quantum Forensics, Quantum Compilers, Quantum errors",GLSVLSI '25,,6,"New York, NY, USA",9798400714962,,,,,
10.1145/3733812.3765539,inproceedings,"Kannwischer, Matthias J.",Keynote: mlkem-native &amp; mldsa-native: Open-source High-Speed High-Assurance PQC,2025,10.1145/3733812.3765539,https://doi.org/10.1145/3733812.3765539,"This talk describes mlkem-native1 and mldsa-native2, C/Assembly implementations of the ML-KEM and ML-DSA post-quantum cryptography standards. Both implementations are developed in collaboration with Amazon Web Services and belong to the Post-Quantum Code Package - a sub-project of the Post-Quantum Cryptography Alliance3. mlkem-native and mldsa-native prioritize both performance and trustworthiness. For performance, we employ (super-)optimized assembly in performance-critical components - mlkem-native achieves state-of-the-art performance on Arm64 and x86_64 platforms, while mldsa-native is under active development. For trustworthiness, we apply formal verification: All C code is proved memory-safe and type-safe using CBMC4, and Arm64 assembly in mlkem-native is proved functionally correct using HOL-Light5. Additionally, we ensure protection against timing side-channels through extensive constant-time testing using Valgrind (including a patch allowing detection of secret-dependent divisions from the KyberSlash6 paper), fully integrated into our CI pipeline. Through formal verification and rigorous testing, these implementations enable the confident adoption of highly complex code that would otherwise be difficult to gain trust in.",,Proceedings of the 2025 Cloud Computing Security Workshop,,,96,Association for Computing Machinery,"Post-quantum cryptography, Lattice-based cryptography, ML-KEM, ML-DSA, SLOTHY, high-assurance cryptography, high-speed cryptography, CBMC, HOL-Light",CCSW '25,,1,"New York, NY, USA",9798400719011,,,,,
10.1145/3712255.3734364,inproceedings,"Farhani, Yousra and Arbaoui, Taha and Benatchba, Karima",Manual vs. Automated QUBO Formulations for Flow Shop Scheduling: A Comparative Study on D-Wave and InfinityQ,2025,10.1145/3712255.3734364,https://doi.org/10.1145/3712255.3734364,"Flow Shop Scheduling Problems (FSP) represent a challenging class of combinatorial optimization tasks with significant relevance across diverse domains ranging from manufacturing and logistics to service operations. Recent advances in quantum annealing and quantum-inspired approaches have opened avenues for tackling such problems via Quadratic Unconstrained Binary Optimization models. However, their performance depends strongly on how the problem is encoded as a QUBO. In this study, we perform a comparative evaluation of manually formulated QUBOs versus those automatically produced by the AutoQUBO framework. We test both formulations on D-Wave's hybrid and qbsolv solvers and the InfinityQ solver, exploring the effect of QUBO-solver-specific behaviors and sensitivity, and fine-tuning strategies on the quality of the solution. While carefully crafted manual QUBOs typically yield stronger solution fidelity, they demand greater domain expertise and computational overhead. In contrast, automated approaches greatly expedite modeling at the cost of certain performance trade-offs. We further observe that solver fine-tuning and hardware selection substantially shape outcomes, with certain solvers favoring domain-tailored encodings. These insights demonstrate the necessity of solver-aware QUBO design, offering practical guidance on QUBO construction and solver choice to solve the FSP using quantum and quantum-inspired hardware.",,Proceedings of the Genetic and Evolutionary Computation Conference Companion,,,2424–2432,Association for Computing Machinery,"quantum annealing, AutoQUBO framework, flowshop scheduling problem, InfinityQ ising machine, D-wave quantum annealer",GECCO '25 Companion,"NH Malaga Hotel, Malaga, Spain",9,"New York, NY, USA",9798400714641,,,,,
10.1145/3672608.3707897,inproceedings,"Maia, Adriano and Freire, Marcus and Mello, Thiago and Rodrigues-Filho, Roberto and Almeida, Eduardo and Prazeres, Cassio and Figueiredo, Gustavo and Peixoto, Maycon",Q-Edge: Leveraging Quantum Computing for Enhanced Software Engineering in Vehicular Networks,2025,10.1145/3672608.3707897,https://doi.org/10.1145/3672608.3707897,"Connected autonomous vehicles (CAVs) require extensive data processing to make real-time decisions such as obstacle detection, collision avoidance, and route optimization. To enable fast and accurate decision-making in CAVs, services traditionally executed in cloud data centers are being moved to the edge to minimize data transfer from vehicles to the cloud. We present a framework called Q-Edge that utilizes quantum computing at the network edge to improve the speed and effectiveness of data analysis for CAVs. By integrating quantum computing principles such as superposition, entanglement, and teleportation with edge computing, we propose a solution to address the latency and bandwidth issues inherent in traditional cloud computing methods. This approach, leveraging quantum software engineering practices, enables realtime decision-making, optimizing CAV performance and enhancing traffic management, urban mobility, and road safety.",,Proceedings of the 40th ACM/SIGAPP Symposium on Applied Computing,,,1457–1467,Association for Computing Machinery,"quantum computing, quantum software engineering, edge computing, quantum edge and data analysis",SAC '25,"Catania International Airport, Catania, Italy",11,"New York, NY, USA",9798400706295,,,,,
10.1145/3600160.3605038,inproceedings,"Malina, Lukas and Dobias, Patrik and Hajny, Jan and Choo, Kim-Kwang Raymond",On Deploying Quantum-Resistant Cybersecurity in Intelligent Infrastructures,2023,10.1145/3600160.3605038,https://doi.org/10.1145/3600160.3605038,"As quantum-safe algorithms are increasingly implemented in security protocols used in current and emerging digital services, there is also a corresponding need to map the current state of security protocols and applications and their preparedness for the post-quantum era. In this paper, we review current security recommendations, existing security libraries, and the support of Post-Quantum Cryptography (PQC) in widely-used security protocols. We also present a practical assessment of recently selected PQC algorithms by the National Institute of Standards and Technologies (NIST) PQC standardization on typical platforms that can be deployed in intelligent infrastructures (e.g., smartphones and single-boards), and recently recommended hash-based signatures for software/firmware signing. Finally, we discuss how incoming post-quantum migration affects selected areas in intelligent infrastructures.",,"Proceedings of the 18th International Conference on Availability, Reliability and Security",,,,Association for Computing Machinery,"Applied Cryptography, Assessment, Performance, Post-Quantum Cryptography, Security Protocols, Security Recommendations",ARES '23,"Benevento, Italy",10,"New York, NY, USA",9798400707728,131,,,,
10.1145/3723178.3723269,inproceedings,"Miah, Md Saef Ullah and Islam, Saima Sharleen and Bhowmik, Abhijit",From Theory to Reality: Tracing the Milestones of Quantum Information Systems,2025,10.1145/3723178.3723269,https://doi.org/10.1145/3723178.3723269,"This paper provides a comprehensive historical exploration of the development of quantum information systems (QIS), tracing the foundational concepts and seminal discoveries that have significantly advanced this revolutionary field. Starting with early 20th-century breakthroughs in quantum mechanics, it highlights key milestones such as the elucidation of the EPR paradox, the introduction of quantum error correction, and the development of groundbreaking algorithms like Shor’s and Grover’s. The paper also addresses notable experimental achievements that have transitioned QIS from theoretical frameworks to practical applications, including quantum teleportation and fault-tolerant quantum computation. Additionally, the manuscript discusses current limitations and research challenges, including the fragility of qubits, error correction complexities, scalability issues, and the need for advanced quantum algorithms. The potential applications of QIS in various fields such as pharmaceuticals, financial services, climate modeling, energy, healthcare, defense, and manufacturing are explored, demonstrating its far-reaching implications. By chronicling the remarkable progress and future opportunities in QIS, this paper offers valuable insights into the transformative potential of quantum technologies for information processing, cryptography, and beyond.",,Proceedings of the 3rd International Conference on Computing Advancements,,,693–698,Association for Computing Machinery,"quantum information system, QIS, History of QIS",ICCA '24,,6,"New York, NY, USA",9798400713828,,,,,
10.1145/3750555.3811889,inproceedings,"Mallick, Tushin and Kundu, Ashish and Kompella, Ramana and Nita-Rotaru, Cristina",Classifying Implementations of Cryptographic Primitives and Protocols that Use Post-Quantum Algorithms,2026,10.1145/3750555.3811889,https://doi.org/10.1145/3750555.3811889,"Classification techniques can analyze system behaviors, network protocols, and cryptographic primitives based on identifiable traits. While valuable for defense, they can also be exploited by adversaries to infer configurations, detect vulnerabilities, and mount targeted attacks such as denial-of-service, key recovery, or downgrade attacks. In this paper, we study the feasibility of classifying post-quantum (PQ) algorithms by analyzing implementations of key exchange and digital signatures, their use within secure protocols, and their integration into SNARK generation libraries. We examine two PQ libraries, liboqsl and CIRCL, evaluating their implementations of TLS, SSH, QUIC, OpenVPN, and OpenID Connect (OIDC) across Windows, Ubuntu, and macOS, and analyze two SNARK libraries, pysnark and lattice_zksnark, on Ubuntu. Our results show that, depending on workload, we can: (1) distinguish classical from PQ key exchange and digital signatures with 98% and 100% accuracy; (2) identify the specific PQ algorithm with 97% and 86% accuracy, respectively; (3) differentiate implementations of the same algorithm between liboqsl and CIRCL with 97% and 100% accuracy; and (4) within CIRCL, distinguish PQ and hybrid key exchange implementations with 97% accuracy. For secure protocols, we can determine whether key exchange is classical or PQ and identify the specific PQ algorithm. SNARK generation and verification in pysnark and lattice_zksnark are distinguishable with 100% accuracy. We also show practicality by applying our methods to the Tranco dataset to identify domains using PQ key exchange in TLS and by integrating them into QUARTZ, an open-source risk and threat analyzer developed by Cisco.",,Proceedings of the 31st ACM Symposium on Access Control Models and Technologies,,,137–148,Association for Computing Machinery,"post-quantum cryptography, classification",SACMAT '26,Canada,12,"New York, NY, USA",9798400721076,,,,,
10.1145/3716368.3735191,inproceedings,"Das, Subrata and Ghosh, Swaroop",Impact of Error Rate Misreporting on Resource Allocation in Multi-tenant Quantum Computing and Defense,2025,10.1145/3716368.3735191,https://doi.org/10.1145/3716368.3735191,"Cloud-based quantum service providers allow multiple users to run programs on shared hardware concurrently to maximize resource utilization and minimize operational costs. This multi-tenant computing (MTC) model relies on the error parameters of the hardware for fair qubit allocation and scheduling, as error-prone qubits can degrade computational accuracy asymmetrically for users sharing the hardware. To maintain low error rates, quantum providers perform periodic hardware calibration, often relying on third-party calibration services. If an adversary within this calibration service misreports error rates, the allocator can be misled into making suboptimal decisions even when the physical hardware remains unchanged. We demonstrate such an attack model in which an adversary strategically misreports qubit error rates to reduce hardware throughput, and probability of successful trial (PST) for two previously proposed allocation frameworks, i.e. Greedy and Community-Based Dynamic Allocation Partitioning (COMDAP) [12, 18]. Experimental results show that adversarial misreporting increases execution latency by 24% and reduces PST by 7.8%. We also propose to identify inconsistencies in reported error rates by analyzing statistical deviations in error rates across calibration cycles.",,Proceedings of the Great Lakes Symposium on VLSI 2025,,,155–160,Association for Computing Machinery,"Quantum Computing, Security, Calibration, Multi-tenant Computing",GLSVLSI '25,,6,"New York, NY, USA",9798400714962,,,,,
10.1145/3712256.3726474,inproceedings,"de Queiroz, Thiago Alves and Iori, Manuel and Locatelli, Alberto and Parizy, Matthieu",Solving the Cubic Knapsack Problem using the Quantum-Inspired Digital Annealer Technology,2025,10.1145/3712256.3726474,https://doi.org/10.1145/3712256.3726474,"This study investigates the effectiveness of quantum methods in tackling the cubic knapsack problem (CKP). The CKP is not only NP-hard but also extremely difficult to solve in practice. Benchmark instances of small size (including some with only 60 items) remain unsolved to proven optimality. We solve the CKP using the latest Digital Annealer (DA) prototype, an extended Ising machine available through the Quantum-Inspired Integrated Optimization (QIIO) service on Fujitsu's Kozuchi platform. Specifically, we propose two formulations: a higher-order unconstrained binary optimization (HUBO) and a quadratic unconstrained binary optimization. The latter is derived by reformulating the HUBO model into an equivalent quadratic form. These models are solved using the QIIO solver and compared with three state-of-the-art algorithms, a greedy heuristic, and two mixed integer programs. Additionally, we introduce a postprocessing heuristic to ensure the feasibility of solutions generated by the DA solver, as within short time limits, it does not always produce feasible solutions. Computational experiments are conducted on instances with up to 200 items and varying densities of nonzero objective coefficients. The results indicate that the HUBO formulation is highly competitive with state-of-the-art algorithms, achieving the best new solutions for six large instances.",,Proceedings of the Genetic and Evolutionary Computation Conference,,,890–897,Association for Computing Machinery,"cubic knapsack problem, quantum computing, digital annealer, HUBO, QUBO",GECCO '25,"NH Malaga Hotel, Malaga, Spain",8,"New York, NY, USA",9798400714658,,,,,
10.1145/3676536.3676811,inproceedings,"Wu, Jindi and Hu, Tianjie and Li, Qun",Detecting Fraudulent Services on Quantum Cloud Platforms via Dynamic Fingerprinting,2025,10.1145/3676536.3676811,https://doi.org/10.1145/3676536.3676811,"Noisy Intermediate-Scale Quantum (NISQ) devices, while accessible via cloud platforms, face challenges due to limited availability and suboptimal quality. These challenges raise the risk of cloud providers offering fraudulent services. This emphasizes the need for users to detect such fraud to protect their investments and ensure computational integrity. This study introduces a novel dynamic fingerprinting method for detecting fraudulent service provision on quantum cloud platforms, specifically targeting machine substitution and profile fabrication attacks. The dynamic fingerprint is constructed using a single probing circuit to capture the unique error characteristics of quantum devices, making this approach practical because of its trivial computational costs. When the user examines the service, the execution results of the probing circuit act as the device-side fingerprint of the quantum device providing the service. The user then generates the user-side fingerprint by estimating the expected execution result, assuming the correct device is in use. We propose an algorithm for users to construct the user-side fingerprint with linear complexity. By comparing the device-side and user-side fingerprints, users can effectively detect fraudulent services. Our experiments on the IBM Quantum platform, involving seven devices with varying capabilities, confirm the method's effectiveness.",,Proceedings of the 43rd IEEE/ACM International Conference on Computer-Aided Design,,,,Association for Computing Machinery,"quantum computing, quantum cloud platforms, service integrity",ICCAD '24,"Newark Liberty International Airport Marriott, New York, NY, USA",8,"New York, NY, USA",9798400710773,43,,,,
10.1145/3649601.3698732,inproceedings,"Oh, Kyungeun and Hong, Jiman and An, Seongmo and Kim, Hangyeol",Random Number Generators for Baseboard Management Controllers,2025,10.1145/3649601.3698732,https://doi.org/10.1145/3649601.3698732,"With1 the advent of quantum computers, encryption technologies such as RSA and ECC, which currently protect data integrity, are at risk of being compromised with ease. This development poses significant threats to the security of cloud computing and data centers. Additionally, the Random Number Generators (RNGs) that form the foundation of existing encryption systems may also become predictable under quantum computer attacks, necessitating the introduction of new RNGs. This paper introduces four widely used Pseudorandom Number Generators (PRNGs) and three Quantum Random Number Generators (QRNGs), evaluating their randomness, speed, and data range using TestU01 and other analytical tools. The evaluation results demonstrate that the strengths and weaknesses of RNGs differ in terms of speed, randomness, and implementation complexity, emphasizing the importance of selecting the appropriate RNG based on the priority factors of each service.",,Proceedings of the International Conference on Research in Adaptive and Convergent Systems,,,173–176,Association for Computing Machinery,"baseboard management controller(BMC), RNG, quantum random number generator(QRNG)",RACS '24,"HABITA79 Pompeii, Pompei, Italy",4,"New York, NY, USA",9798400706066,,,,,
10.1145/3663531.3664751,inproceedings,"Tavassoli Sabzevari, Maryam and Esposito, Matteo and Taibi, Davide and Khan, Arif Ali",QCSHQD: Quantum Computing as a Service for Hybrid Classical-Quantum Software Development: A Vision,2024,10.1145/3663531.3664751,https://doi.org/10.1145/3663531.3664751,"Quantum Computing (QC) is transitioning from theoretical frameworks to an indispensable powerhouse of computational capability, resulting in extensive adoption across both industrial and academic domains. QC presents exceptional advantages, including unparalleled processing speed and the potential to solve complex problems beyond the capabilities of classical computers. Nevertheless, academic researchers and industry practitioners encounter various challenges in harnessing the benefits of this technology. The limited accessibility of QC resources for classical developers, and a general lack of domain knowledge and expertise, represent insurmountable barrier, hence to address these challenges, we introduce a framework- Quantum Computing as a Service for Hybrid Classical-Quantum Software Development (QCSHQD), which leverages service-oriented strategies. Our framework comprises three principal components: an Integrated Development Environment (IDE) for user interaction, an abstraction layer dedicated to orchestrating quantum services, and a service provider responsible for executing services on quantum computer. This study presents a blueprint for QCSHQD, designed to democratize access to QC resources for classical developers who want to seamless harness QC power. The vision of QCSHQD paves the way for groundbreaking innovations by addressing key challenges of hybridization between classical and quantum computers.",,Proceedings of the 1st ACM International Workshop on Quantum Software Engineering: The Next Evolution,,,7–10,Association for Computing Machinery,"Framework, Hybrid Quantum Computing, Quantum Computing, Quantum Services",QSE-NE 2024,"Porto de Galinhas, Brazil",4,"New York, NY, USA",9798400706738,,,,,
10.1145/3663531.3664755,inproceedings,"Zohaib, Muhammad and Altuwaijri, Fahad S. and Hyrynsalmi, Sami","Integrating Quantum Computing and Blockchain: Building the Foundations of Secure, Efficient 6G Technology",2024,10.1145/3663531.3664755,https://doi.org/10.1145/3663531.3664755,"This research presents a modern framework that combine quantum computing and blockchain technologies to transform city management in provision for the 6G era. Quantum computing is recognized for its extraordinary processing power, while blockchain is known for its security, privacy, and transparency. these modern technologies can leverage from the 6G technologies capabilities like high speed, low latency, high bandwidth with giant connectivity. The idea of the study comes due to the few comprehensive standards and frameworks that facilitate the effective employment of these advanced technologies in the context of 6G. The proposed Quantum-Blockchain-6G (QBG) Framework main objective to leverage these emerging technologies with 6G capabilities to bridge the gap by providing the proper guidelines and framework to manage city management infrastructure with the help of efficient delivery of the required services. we used mixed method as interviews with expert, systematic literature review and case studies for this study to explore the challenges for integration of blockchain and quantum computing in 6g technology context and developed strategic framework for these challenges and evaluate its impact in the management activities in city management. This research will highlight critical challenges, relate to the quantum computing such as the complexity and cost and blockchain scalability. Furthermore, the study will investigate the integration the threads of advanced cryptographic measurement to mitigate quantum threats. This framework is precisely designed to empower cities management by utilizing the power of these emerging technologies that use 6G to meet the future connectivity demands in city management to make it smarter, faster, secure and trustworthy for the society.",,Proceedings of the 1st ACM International Workshop on Quantum Software Engineering: The Next Evolution,,,27–34,Association for Computing Machinery,"6G Smart Cities, 6G Technology, Blockchain, Quantum Computing, Quantum-Blockchain-6G",QSE-NE 2024,"Porto de Galinhas, Brazil",8,"New York, NY, USA",9798400706738,,,,,
10.1145/3660829.3661031,inproceedings,"Mousavi, Mohammad Reza",Property-Based Testing and Debugging of Quantum Programs (Keynote),2024,10.1145/3660829.3661031,https://doi.org/10.1145/3660829.3661031,"We are witnessing the increased availability of powerful quantum computing facilities as a service; also, there are promising prospects of applying quantum computing in fields such as material- and drug discovery, as well as scheduling, and optimisation. With these promising prospects comes an inherent challenge of quality assurance of complex quantum programs. Quantum programs and programming frameworks are becoming more complex and this complexity creates a gap, calling for novel and rigorous testing and debugging frameworks. In this talk, we address this gap and propose, to our knowledge, the first applications of property-based testing and automated debugging to quantum programs. (Based on joint work with: Shahin Honarvar, Raja Nagarajan, and Gabriel Pontolillo)",,"Companion Proceedings of the 8th International Conference on the Art, Science, and Engineering of Programming",,,117,Association for Computing Machinery,,Programming '24,"Lund, Sweden",1,"New York, NY, USA",9798400706349,,,,,
10.1145/3634737.3661138,inproceedings,"Stebila, Douglas and Wilson, Spencer",Quantum-Safe Account Recovery for WebAuthn,2024,10.1145/3634737.3661138,https://doi.org/10.1145/3634737.3661138,"WebAuthn is a passwordless authentication protocol which allows users to authenticate to online services using public-key cryptography. Users prove their identity by signing a challenge with a private key, which is stored on a device such as a cell phone or a USB security token. This approach avoids many of the common security problems with password-based authentication.WebAuthn's reliance on proof-of-possession leads to a usability issue, however: a user who loses access to their authenticator device either loses access to their accounts or is required to fall back on a weaker authentication mechanism. To solve this problem, Yubico has proposed a protocol which allows a user to link two tokens in such a way that one (the primary authenticator) can generate public keys on behalf of the other (the backup authenticator). With this solution, users authenticate with a single token, only relying on their backup token if necessary for account recovery. However, Yubico's protocol relies on the hardness of the discrete logarithm problem for its security and hence is vulnerable to an attacker with a powerful enough quantum computer.We present a WebAuthn recovery protocol which can be instantiated with quantum-safe primitives. We also critique the security model used in previous analysis of Yubico's protocol and propose a new framework which we use to evaluate the security of both the group-based and the quantum-safe protocol. This leads us to uncover a weakness in Yubico's proposal which escaped detection in prior work but was revealed by our model. In our security analysis, we require the cryptographic primitives underlying the protocols to satisfy a number of novel security properties such as KEM unlinkability, which we formalize. We prove that well-known quantum-safe algorithms, including CRYSTALS-Kyber, satisfy the properties required for analysis of our quantum-safe protocol.",,Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,,,1814–1830,Association for Computing Machinery,"account recovery, FIDO2, post-quantum, quantum-safe, WebAuthn",ASIA CCS '24,"Singapore, Singapore",17,"New York, NY, USA",9798400704826,,,,,
