ID,ENTRYTYPE,title,author,year,journal,booktitle,doi,url,keywords,month,note,abstract,issn,address,publisher,series,location,numpages,pages,isbn,articleno,number,volume,issue_date,editor
10.1145/3799827.3816688,inproceedings,"Developing Games as ""Translation Devices"" for Quantum Annealing and Validating its Social Implementation","Hirai, Nobuyuki and Ookawa, Takuto and Kanai, Keita and Kuramoto, Ko",2026,,Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Appy Hour,10.1145/3799827.3816688,https://doi.org/10.1145/3799827.3816688,"Quantum Computing, Quantum Annealing, Game Design, Human-Computer Interaction, Combinatorial Optimization",,,"This research positions interactive games as ""translation devices"" to facilitate the social implementation of quantum computing. We implemented a hybrid framework connecting a Unity-based game engine with a backend quantum annealing machine, transforming quantum optimization outputs into immediate evasive body motions during gameplay. Unlike existing quantum games that primarily use quantum systems as sources of randomness, our system deploys quantum annealing as a goal-oriented computational engine for real-time NPC posture optimization. The resulting emergent movements—often fragmented, acrobatic, and comical—visually externalize the otherwise invisible behavior of constrained optimization under discrete state spaces. This approach explores how embodied interaction and gamification can foster intuitive understanding of quantum computation while introducing new forms of strategic gameplay driven by optimization-based behaviors.",,"New York, NY, USA",Association for Computing Machinery,SIGGRAPH Appy Hour '26,,3,,9798400725500,1,,,,
10.1145/3725728,article,An Automata-Based Framework for Verification and Bug Hunting in Quantum Circuits,"Chen, Yu-Fang and Chung, Kai-Min and Leng\'{a}l, Ond\v{r}ej and Lin, Jyun-Ao and Tsai, Wei-Lun and Yen, Di-De",2025,Commun. ACM,,10.1145/3725728,https://doi.org/10.1145/3725728,,June,,"As quantum computing hardware advances, the demand for scalable, precise, and fully automated verification techniques for quantum circuits grows. This paper introduces a novel automata-based framework tailored for the verification of quantum circuits. In our approach, the problem is framed as a triple {P}C{S} and the question is whether, given a set P of quantum states on the input of a circuit C, the set of quantum states on the output is equal to (or included in) a set S. Our framework leverages tree automata to compactly represent sets of quantum states and we develop transformers to implement the semantics of quantum gates over this representation. We implemented the proposed approach in a prototype tool and evaluated its performance against various benchmarks from the literature. The evaluation shows that our approach is quite scalable, for example, we managed to verify a large circuit with 40 qubits and 141,527 gates, or catch bugs injected into a circuit with 320 qubits and 1,758 gates, where all tools we compared with failed. Additionally, our work bridges quantum program verification and automata, opening new possibilities to exploit the richness of automata theory in quantum computing.",0001-0782,"New York, NY, USA",Association for Computing Machinery,,,9,85–93,,,6,68,June 2025,
10.1145/3716368.3735240,inproceedings,Forensics of Transpiled Quantum Circuits,"Roy, Rupshali and Ghosh, Archisman and Ghosh, Swaroop",2025,,Proceedings of the Great Lakes Symposium on VLSI 2025,10.1145/3716368.3735240,https://doi.org/10.1145/3716368.3735240,"Quantum Forensics, Quantum Compilers, Quantum errors",,,"There is a steady growth in research and demand for real quantum hardware in the Noisy Intermediate-Scale Quantum (NISQ) era of quantum computing. This prompts many third-party cloud providers to set up quantum hardware as a service that includes a wide range of qubit technologies and architectures to maximize performance at minimal cost. Different backends vary in terms of noise behavior, the basis gate set, coupling architecture and speed, among other factors. However, there is little to no visibility on where the execution of the circuit is actually taking place. The success of the user program is highly reliant on the backend that was used for execution. Besides, the third-party provider and/or tools (e.g., hardware mapper and allocator) may be untrustworthy and execute the quantum circuits on less efficient and more error-prone hardware to conserve resources and maximize profit. As such, gaining visibility on the backend from various aspects of the computing e.g., transpilation, execution and outcomes will be extremely valuable. Towards this goal, we introduce the problem of forensics in the domain of quantum computing where the objective is to trace the hardware and its properties where the quantum program has been transpiled and executed. Effective forensics can have many applications including establishing trust in the quantum cloud services. In this work, we focus on tracing the coupling map of the hardware (from the transpiled program) where the transpilation of the circuit took place. Next, we extracted the coupling map of the whole backend using as little as 3 transpiled circuits, both for user-based and transpiler-based (using auto-assignment feature) logical to physical mapping of the qubits. Finally, we addressed the problem of tracing the backends in a suite of backends using a pool of transpiled quantum circuits of varied sizes.",,"New York, NY, USA",Association for Computing Machinery,GLSVLSI '25,,6,354–359,9798400714962,,,,,
10.1145/3750720.3757285,inproceedings,Support SIMD Optimization with Post Quantum Cryptography Validation on Move Language,"Su, ChiaHui and Hung, Hsuan-Yun and Wang, LiangNi and Chen, I-An and Lee, Jenq-Kuen",2025,,Workshop Proceedings of the 54th International Conference on Parallel Processing,10.1145/3750720.3757285,https://doi.org/10.1145/3750720.3757285,"Post-Quantum Cryptography, SIMD, Dilithium, Move Language, Blockchain",,,"Move, a novel blockchain programming language originally developed by Facebook’s Libra (now Diem) project, is designed with a strong emphasis on security, flexibility, and performance. Its type-safe and resource-oriented programming model ensures that digital assets, such as tokens or smart contracts, cannot be accidentally duplicated or deleted—significantly enhancing the security of blockchain applications. While type safety plays a crucial role at the language level, the increasing capabilities of quantum computing have significantly undermined the security of cryptographic schemes based on prime factorization. As a result, such schemes are becoming inadequate in protecting user keys and signatures against quantum attacks. Post-quantum cryptographic algorithms enhance the Move language’s resilience against quantum attacks; however, their increased computational complexity often leads to performance degradation. Despite this overhead, authentication within the Move ecosystem remains crucial even on resource-constrained embedded systems. This is especially relevant in decentralized environments where lightweight nodes—such as mobile wallets or IoT devices—must independently verify transactions without relying on trusted intermediaries. In this work, we integrate post-quantum cryptography into the Move infrastructure and further leverage hardware acceleration techniques on both server-class systems (x86 with AVX2) and embedded platforms (AArch64 with NEON and RISC-V with the V extension). We conduct experiments across these platforms and observe speedups ranging from 2.4 \texttimes{} to 3.06 \texttimes{} on server-class systems. For embedded platforms, we observe speedups ranging from 7.35 \texttimes{} to 11.15 \texttimes{} on AArch64, and from 3.86 \texttimes{} to 4.47 \texttimes{} on RISC-V.",,"New York, NY, USA",Association for Computing Machinery,ICPP Workshops '25,,10,44–53,9798400721090,,,,,
10.1145/3754598.3754608,inproceedings,Q-GEAR: Improving quantum simulation framework,"Guo, Ziqing and Balewski, Jan and Pan, Ziwen",2025,,Proceedings of the 54th International Conference on Parallel Processing,10.1145/3754598.3754608,https://doi.org/10.1145/3754598.3754608,"Quantum Circuit, High Performance Computing, Image Encoding.",,,"The rapid execution of complex quantum circuit simulations is essential for validating theoretical algorithms, thereby facilitating their successful implementation on quantum hardware. Although mainstream CPU-based platforms for circuit simulations are well established, they tend to be slower. Conversely, the adoption of GPU platforms remains limited because of the necessity for specialized quantum simulation frameworks tailored to different hardware architectures, each requiring distinct implementation and optimization strategies. Therefore, we introduced Q-Gear, a platform-agnostic framework that transforms Qiskit quantum circuits into Cuda-Q kernels. By leveraging Cuda-Q seamless execution on GPUs, Q-Gear accelerates both CPU- and GPU-based simulations by two orders of magnitude and ten times, respectively, with minimal coding effort. Furthermore, Q-Gear leverages the Cuda-Q configuration to interconnect the memory of GPUs, allowing the execution of much larger circuits beyond the memory limit set by a single GPU or CPU node. Additionally, we created and deployed a Podman container and Shifter image at Perlmutter (NERSC/LBNL), both derived from an NVIDIA public image. These public NERSC containers were optimized for the Slurm job scheduler, allowing approximately 100% utilization of up to 1,024 GPUs. We present various benchmarks for Q-Gear to demonstrate the efficiency of our computational paradigm.",,"New York, NY, USA",Association for Computing Machinery,ICPP '25,,10,638–647,9798400720741,,,,,
10.1145/3696630.3731624,inproceedings,Quantum Secure DevOps (QSecOps): Integrating Quantum-Based Security Checks into CI/CD Pipelines: Next-Generation Software Security,"Akbar, Muhammad Azeem and Rafi, Saima and Khan, Arif and Ye, Boshuai",2025,,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,10.1145/3696630.3731624,https://doi.org/10.1145/3696630.3731624,"DevOps, ISO/IEC 25010:2023, software product quality, quantum software, CI/CD pipelines, security, challenges",,,"Quantum computing presents both opportunities and risks for modern software security, particularly in DevOps and CI/CD pipelines, which rely on traditional cryptographic mechanisms. As quantum threats become imminent, Quantum Secure DevOps (QSecOps) aims to integrate quantum-resistant security measures into software deployment workflows. However, its adoption remains challenging due to various technical and operational constraints. This study identifies and analyzes the key challenges in implementing QSecOps and develops a theoretical framework to assess their impact on DevOps security and performance. To conduct this study, we use literature survey approach to explore the challenge of QSec-Ops reported by the existing literature. By conducting the literature survey, we have identified 13 core challenges that could negatively impact the QSecOps. Addressing these challenges is essential for ensuring quantum-secure CI/CD pipelines. Further, a theoretical framework was developed based on the impact of identified challenging factors. The proposed framework provides practical insights for software engineers, security professionals, and DevOps teams to enhance quantum security integration and future-proof software deployment.",,"New York, NY, USA",Association for Computing Machinery,FSE Companion '25,"Clarion Hotel Trondheim, Trondheim, Norway",10,1732–1741,9798400712760,,,,,
10.1145/3675172,article,Hardware Acceleration for High-Volume Operations of CRYSTALS-Kyber and CRYSTALS-Dilithium,"Carril, Xavier and Kardaris, Charalampos and Ribes-Gonz\'{a}Lez, Jordi and Farr\`{a}s, Oriol and Hernandez, Carles and Kostalabros, Vatistas and Gonz\'{a}lez-Jim\'{e}nez, Joel Ulises and Moret\'{o}, Miquel",2024,ACM Trans. Reconfigurable Technol. Syst.,,10.1145/3675172,https://doi.org/10.1145/3675172,"Post-quantum cryptography, CRYSTALS-Kyber, CRYSTALS-Dilithium, high-level synthesis design, FPGA, hardware accelerators, software-hardware co-design",September,,"Many high-demand digital services need to perform several cryptographic operations, such as key exchange or security credentialing, in a concise amount of time. In turn, the security of some of these cryptographic schemes is threatened by advances in quantum computing, as quantum computer could break their security in the near future. Post-quantum cryptography (PQC) is an emerging field that studies cryptographic algorithms that resist such attacks. The National Institute of Standards and Technology (NIST) has selected the CRYSTALS-Kyber Key Encapsulation Mechanism and the CRYSTALS-Dilithium Digital Signature algorithm as primary PQC standards. In this article, we present field-programmable gate array (FPGA)-based hardware accelerators for high-volume operations of both schemes. We apply high-level synthesis (HLS) for hardware optimization, leveraging a batch processing approach to maximize the memory throughput and applying custom HLS logic to specific algorithmic components. Using reconfigurable FPGAs, we show that our hardware accelerators achieve speedups between 3 (times)  and 9 (times) over software baseline implementations, even over ones leveraging CPU vector architectures. Furthermore, the methods used in this study can also be extended to the new CRYSTALS-based NIST FIPS drafts, ML-KEM and ML-DSA, with similar acceleration results.",1936-7406,"New York, NY, USA",Association for Computing Machinery,,,26,,,41,3,17,September 2024,
10.1145/3750720.3757302,inproceedings,Q-GEAR: Improving quantum simulation framework,"Guo, Ziqing and Balewski, Jan and Pan, Ziwen",2025,,Workshop Proceedings of the 54th International Conference on Parallel Processing,10.1145/3750720.3757302,https://doi.org/10.1145/3750720.3757302,"Quantum Circuit, High Performance Computing, Image Encoding.",,,"The rapid execution of complex quantum circuit simulations is essential for validating theoretical algorithms, thereby facilitating their successful implementation on quantum hardware. Although mainstream CPU-based platforms for circuit simulations are well established, they tend to be slower. Conversely, the adoption of GPU platforms remains limited because of the necessity for specialized quantum simulation frameworks tailored to different hardware architectures, each requiring distinct implementation and optimization strategies. Therefore, we introduced Q-Gear, a platform-agnostic framework that transforms Qiskit quantum circuits into Cuda-Q kernels. By leveraging Cuda-Q seamless execution on GPUs, Q-Gear accelerates both CPU- and GPU-based simulations by two orders of magnitude and ten times, respectively, with minimal coding effort. Furthermore, Q-Gear leverages the Cuda-Q configuration to interconnect the memory of GPUs, allowing the execution of much larger circuits beyond the memory limit set by a single GPU or CPU node. Additionally, we created and deployed a Podman container and Shifter image at Perlmutter (NERSC/LBNL), both derived from an NVIDIA public image. These public NERSC containers were optimized for the Slurm job scheduler, allowing approximately 100% utilization of up to 1,024 GPUs. We present various benchmarks for Q-Gear to demonstrate the efficiency of our computational paradigm.",,"New York, NY, USA",Association for Computing Machinery,ICPP Workshops '25,,10,200–209,9798400721090,,,,,
10.1145/3737887,article,QuL: Programming Library for Computational Cooling of Qubits,"Difranco, Giuliano and Oftelie, Lindsay Bassman",2025,ACM Transactions on Quantum Computing,,10.1145/3737887,https://doi.org/10.1145/3737887,"Computational cooling, qubit cooling, quantum circuits, quantum thermodynamics",July,,"A key hurdle to the success of quantum computers is the ability to initialize qubits into a pure state, which can be achieved by cooling qubits down to very low temperatures. Computational cooling of qubits, whereby a subset of the qubits is cooled at the expense of heating the other qubits via the application of special sets of logic gates, offers a route to effectively cool qubits. Here, we present QuL, a programming library which can be used to generate, analyze, and test quantum circuits for various computational cooling protocols. In its most basic usage, QuL enables a novice user to easily produce cooling circuits with minimal input or knowledge required. The programming library, however, offers flexibility to more advanced users to finely tune the cooling protocol used to generate the quantum circuit. Finally, QuL offers methods to assess and compare various cooling protocols for users interested in studying optimal implementation of computational cooling in general, or on specific quantum backends. It is our hope that QuL will not only facilitate the execution of computational cooling on current quantum computers, but also serve as a tool to investigate open questions in the optimal implementation of computational cooling.",,"New York, NY, USA",Association for Computing Machinery,,,29,,,23,3,6,September 2025,
10.1145/3787109.3816050,inproceedings,"Advancing Quantum Workforce Development Through Hands-on Education in Circuit Design, Optimization, QML, and Security","Thapliyal, Himanshu and Bhowmik, Sounak and Bajpai, Rajnish and Onim, Md. Saif Hassan",2026,,Proceedings of the Great Lakes Symposium on VLSI 2026,10.1145/3787109.3816050,https://doi.org/10.1145/3787109.3816050,"quantum computing education, Qiskit, quantum adders, noisy simulation, learning outcomes, project-based learning, quantum machine learning, microelectronics education",,,"This educational paper presents a modular workshop framework for teaching quantum programming and hardware-oriented reasoning within microelectronics education. The framework integrates five connected instructional elements. They are Qiskit foundations laboratory on gates, measurement, and Bell-state entanglement; a noise-aware quantum arithmetic module featuring GHZ circuits, ripple-carry addition, and quantum carry-lookahead addition; a structured adder-analysis exercise focused on depth, ancilla, and reversible cleanup; a capstone project on noise-resilient and security-aware 4-bit quantum adders; and a bridge from classical machine learning workflows to quantum machine learning. The paper redefines these activities explicitly as learning modules with student learning outcomes, module learning outcomes, assessment options, and discussion prompts. The resulting sequence helps learners bridge from syntax and circuit building to architecture-level trade-offs, noise interpretation, approximate design, and research-oriented thinking, all of which are well-suited for the quantum workforce.",,"New York, NY, USA",Association for Computing Machinery,GLSVLSI '26,,5,617–621,9798400724312,,,,,
10.1145/3719027.3765213,inproceedings,Formal Security and Functional Verification of Cryptographic Protocol Implementations in Rust,"Bhargavan, Karthikeyan and Hansen, Lasse Letager and Kiefer, Franziskus and Schneider-Bensch, Jonas and Spitters, Bas",2025,,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3719027.3765213,https://doi.org/10.1145/3719027.3765213,"efficient implementation, f*, formal verification, proverif, rocq, ssprove, tls 1.3",,,"We present an effective methodology for the formal verification of practical cryptographic protocol implementations written in Rust. Within a single proof framework, we show how to develop machine-checked proofs of diverse properties like runtime safety, parsing correctness, and cryptographic protocol security. All analysis tasks are driven by the software developer who writes annotations in the Rust source code and chooses a backend prover for each task, ranging from a generic proof assistant like F* to dedicated crypto-oriented provers like ProVerif and SSProve Our main contribution is a demonstration of this methodology on Bert13, a portable, post-quantum implementation of TLS 1.3 written in Rust and verified both for security and functional correctness. To our knowledge, this is the first security verification result for a protocol implementation written in Rust, and the first verified post-quantum TLS 1.3 library.",,"New York, NY, USA",Association for Computing Machinery,CCS '25,"Taipei, Taiwan",15,2729–2743,9798400715259,,,,,
10.1145/3797248.3816056,inproceedings,Quantum-Enhanced Imitation Learning for Smart Grids Topology,"Xu, Jiarong and Chen, Qiwei and Nasiri, Adel and Zand, Ramtin",2026,,Proceedings of the 16th ACM International Green and Sustainable Computing Conference,10.1145/3797248.3816056,https://doi.org/10.1145/3797248.3816056,"Topology control, Power grid optimization, Combinatorial optimization, Quantum-inspired optimization, Quantum circuits",,,"In smart grids, topology control, which reconfigures network connectivity, is a key mechanism for maintaining system security, but involves a large combinatorial action space that makes real-time decision making challenging. Learning-based approaches, particularly imitation learning methods that leverage graph representations, have been proposed to address this challenge by training policies from expert demonstrations. However, generating such expert actions typically requires exhaustive evaluation over large action spaces, resulting in significant computational overhead. In this work, we focus on improving the efficiency of teacher-side action selection. We propose a unified framework that combines quantum-inspired shortlisting strategies inspired by quantum-inspired evolutionary optimization and combinatorial search methods and quantum circuit reranking. The shortlisting methods (QIGS, QRDS, and QHRS) reduce the candidate action space through structured grouping, probabilistic sampling guided by learned group-level scores, and risk-aware selection, while the quantum circuit reranking (QCR) module provides expressive nonlinear scoring of candidate actions. Experiments on the Grid2Op L2RPN benchmark show that the proposed methods achieve up to 121 \texttimes{} speedup in action selection while maintaining high decision quality. Incorporating quantum circuit reranking further improves ranking performance, reducing regret with moderate computational overhead. These results demonstrate that quantum-inspired and quantum-enhanced techniques provide a practical pathway for scalable decision making in large-scale combinatorial control problems.",,"New York, NY, USA",Association for Computing Machinery,IGSC '26,,6,126–131,9798400725203,,,,,
10.1145/3787109.3815306,inproceedings,Structure-Aware Quantum Circuit Partitioning via Reinforcement Learning for Efficient Re-Synthesis,"Charrwi, Mohammad Walid and Rasmussen, Christian and Younis, Ed and de Jong, Wibe Albert and Saeed, Samah Mohamed",2026,,Proceedings of the Great Lakes Symposium on VLSI 2026,10.1145/3787109.3815306,https://doi.org/10.1145/3787109.3815306,"Noisy Intermediate-Scale Quantum (NISQ), Quantum circuit partitioning, Reinforcement Learning, Quantum circuit re-synthesis.",,,"The advancement of quantum computing into the utility scale requires compilation frameworks that can effectively manage the discrepancy between high-level algorithmic intent and the low-level physical constraints of contemporary hardware. Quantum circuit partitioning is a pivotal stage in this compilation pipeline, particularly when leveraging high-performance synthesis tools that are computationally bounded by the number of qubits. Existing partitioning approaches, such as ScanPartitioner [19] and QuickPartitioner [21], while effective, do not leverage structural patterns in circuits, limiting their ability to make globally informed local partitioning decisions. To address this gap, we propose a novel structural-aware quantum circuit partitioning method using a reinforcement learning (RL) framework that harnesses global circuit knowledge to guide local partitioning decisions, enabling more optimization opportunities at the sub-circuit level. Experimental results on benchmark circuits transpiled to satisfy IBM quantum hardware constraints show that our approach reduces the native two-qubit gate count compared to existing quantum circuit partitioners (ScanPartitioner and QuickPartitioner) with an average two-qubit gate reduction of 18.55% over baselines. This research establishes a scalable and robust methodology for partitioning quantum circuits, bridging the gap between exact and approximate synthesis in the Noisy Intermediate-Scale Quantum (NISQ) era and beyond.",,"New York, NY, USA",Association for Computing Machinery,GLSVLSI '26,,6,570–575,9798400724312,,,,,
10.1145/3747521,article,A Haskell Adiabatic DSL: Solving Classical Optimization Problems on Quantum Hardware,"Li, Liyi and Young, David and Graves, James Bryan and Dissanayake, Chandeepa and Sabry, Amr",2025,Proc. ACM Program. Lang.,,10.1145/3747521,https://doi.org/10.1145/3747521,"Adiabatic Quantum Computation, Energy Constraint Computation, Functional Programming",August,,"In physics and chemistry, quantum systems are typically modeled using energy constraints formulated as Hamiltonians. Investigations into such systems often focus on the evolution of the Hamiltonians under various initial conditions, an approach summarized as Adiabatic Quantum Computing (AQC). Although this perspective may initially seem foreign to functional programmers, we demonstrate that conventional functional programming abstractions—specifically, the Traversable and Monad type classes—naturally capture the essence of AQC. To illustrate this connection, we introduce EnQ, a functional programming library designed to express diverse optimization problems as energy constraint computations (ECC). The library comprises three core components: generating the solution space, associating energy costs with potential solutions, and searching for optimal or near-optimal solutions. Because EnQ is implemented using standard Haskell, it can be executed directly through conventional classical Haskell compilers. More interestingly, we develop and implement a process to compile EnQ programs into circuits executable on quantum hardware. We validate EnQ’s effectiveness through a number of case studies, demonstrating its capacity to express and solve classical optimization problems on quantum hardware, including search problems, type inference, number partitioning, clique finding, and graph coloring.",,"New York, NY, USA",Association for Computing Machinery,,,31,,,252,ICFP,9,August 2025,
10.65109/PYJU2489,inproceedings,Imperfect-Information Games on Quantum Computers: A Case Study in Skat,"Armbr\""{u}ster, Ulrich and Edelkamp, Stefan and Maresch, Gabriel and Schulze, Erik",2026,,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/pyju2489,https://doi.org/10.65109/PYJU2489,"skat, quantum algorithms, imperfect-information games",,,"We demonstrate how quantum computing can provide a promising framework for addressing imperfect information games, using the popular German card game Skat as a case study. Our approach employs quantum registers to encode the game's hidden and public information, along with tailored quantum gates to model the game's progress while respecting its rules. To evaluate player decisions, we introduce a score operator that projects the quantum state onto the winning subspace, enabling the estimation of winning probabilities via quantum algorithms such as quantum counting. This allows the efficient exploration of alternative strategies and potential improvements in computational speed compared to classical methods. By maximizing the payoff function, our framework yields actionable recommendations for optimal play. As classical computation faces severe limitations due to the exponential complexity of the game tree, we discuss the specific structural properties of Skat that may give rise to a quantum advantage once the problem size surpasses classical feasibility.",,"Richland, SC",International Foundation for Autonomous Agents and Multiagent Systems,AAMAS '26,"Paphos, Cyprus",9,2509–2517,9798400723179,,,,,
10.1145/3711875.3737657,inproceedings,Computing Systems for Superconducting Qubits: Challenges and Opportunities,"Le, Vu and Vora, Neel and Brahmbhatt, Devanshu and Xu, Yilun and Huang, Gang and Nguyen, Phuc ""VP""",2025,,"Proceedings of the 23rd Annual International Conference on Mobile Systems, Applications and Services",10.1145/3711875.3737657,https://doi.org/10.1145/3711875.3737657,"quantum control systems, quantum computing, superconducting qubits, computing systems, machine learning",,,"Superconducting qubits have emerged as leading candidates for realizing quantum computers, which are particularly useful for solving computational problems that are beyond the capabilities of classical supercomputers. The performance of such systems critically depends on the precision and reliability of their control infrastructure. In this paper, we present an overview of state-of-the-art quantum control systems, including both closed- and open-source solutions, and discuss their respective advantages and limitations. While we review both categories, we focus more extensively on open-source control platforms and explore how their flexibility and programmability can support the research community and drive progress in the field. Lastly, we outline several promising research directions in quantum computing infrastructure, including scalable control, high-precision readout, and leakage suppression. We believe that these areas should be prioritized by the community, as they are critical to realizing fault-tolerant quantum computation.",,"New York, NY, USA",Association for Computing Machinery,MobiSys '25,"Hilton Anaheim, Anaheim, CA, USA",4,771–774,9798400714535,,,,,
10.1145/3762671,article,Variational Quantum Framework for Partial Differential Equation Constrained Optimization,"Surana, Amit and Gnanasekaran, Abeynaya",2025,ACM Transactions on Quantum Computing,,10.1145/3762671,https://doi.org/10.1145/3762671,"Variational quantum algorithm, differential equations, optimization",October,,"We present a novel variational quantum framework for linear partial differential equation (PDE) constrained optimization problems. Such problems arise in many scientific and engineering domains. For instance, in aerodynamics, the PDE constraints are the conservation laws such as momentum, mass and energy balance, the design variables are vehicle shape parameters and material properties, and the objective could be to minimize the effect of transient heat loads on the vehicle or to maximize the lift-to-drag ratio. The proposed framework utilizes the variational quantum linear solver (VQLS) algorithm and a black box optimizer as its two main building blocks. VQLS is used to solve the linear system, arising from the discretization of the PDE constraints for given design parameters, and evaluate the design cost/objective function. The black box optimizer is used to select next set of parameter values based on this evaluated cost, leading to nested bi-level optimization structure within a hybrid classical-quantum setting. We present detailed computational error and complexity analysis to highlight the potential advantages of our proposed framework over classical techniques. We implement our framework using the PennyLane library, apply it to a heat transfer optimization problem, and present simulation results using Bayesian optimization as the black box optimizer. We also demonstrate that by using an alternative tensor product decomposition which better exploits the sparsity and structure of linear systems arising from PDE discretizations, one can substantially overcome the key computational bottleneck in VQLS arising from commonly employed Pauli basis for the linear combination of unitary (LCU) decomposition step within VQLS.",,"New York, NY, USA",Association for Computing Machinery,,,36,,,1,1,7,March 2026,
10.1145/3548679,article,Quantum Software Components and Platforms: Overview and Quality Assessment,"Serrano, Manuel A. and Cruz-Lemus, Jos\'{e} A. and Perez-Castillo, Ricardo and Piattini, Mario",2022,ACM Comput. Surv.,,10.1145/3548679,https://doi.org/10.1145/3548679,"Quantum computing, quantum software, quantum platforms, Quantum Software Engineering",December,,"Quantum computing is the latest revolution in computing and will probably come to be seen as an advance as important as the steam engine or the information society. In the last few decades, our understanding of quantum computers has expanded and multiple efforts have been made to create languages, libraries, tools, and environments to facilitate their programming. Nonetheless, quantum computers are complex systems at the bottom of a stack of layers that programmers need to understand. Hence, efforts towards creating quantum programming languages and computing environments that can abstract low-level technology details have become crucial steps to achieve a useful quantum computing technology. However, most of these environments still lack many of the features that would be desirable, such as those outlined in The Talavera Manifesto for Quantum Software Engineering and Programming. For advancing quantum computing, we will need to develop quantum software engineering techniques and tools to ensure the feasibility of this new type of quantum software. To contribute to this goal, this paper provides a review of the main quantum software components and platforms. We also propose a set of quality requirements for the development of quantum software platforms and the conduct of their quality assessment.",0360-0300,"New York, NY, USA",Association for Computing Machinery,,,31,,,164,8,55,August 2023,
10.1145/3736273.3736304,inproceedings,Quick Start to Quantum Computing: Programming Variational Algorithms with CUDA-Q,"Kim, Jin-Sung and Juntao, Yang",2026,,ASEAN School on High-Performance Computing and Artificial Intelligence,10.1145/3736273.3736304,https://doi.org/10.1145/3736273.3736304,,,,"Dive into the fundamentals of quantum computing with a practical and interactive approach. Through a series of labs and coding exercises, you'll learn to employ multiple representations of quantum states and gates, recognize key terminology, and construct quantum kernels using CUDA-Q. You'll start by exploring quantum information and programming with one qubit, then move on to programming with multiple qubits and entangled systems. The labs will culminate in a hands-on project where you'll write your first hybrid variational program, using a discrete time quantum walk as a case study. You'll learn to define and visualize quantum walks, add variational gates to create a variational program, and use a classical optimizer to identify optimal parameters that generate a targeted probability distribution. By learning CUDA-Q, you'll also gain the ability to leverage the power of NVIDIA GPUs to accelerate your quantum computing workflows, enabling you to tackle complex problems and simulate large-scale quantum systems more efficiently. By the end of the workshop, you'll have a solid foundation in quantum computing concepts and hands-on experience with the CUDA-Q platform, enabling you to start exploring the exciting world of quantum computing and its applications",,"New York, NY, USA",Association for Computing Machinery,ACM ASEAN HPC&AI '25,Singapore,,,,30,,,,
10.1145/3632923,article,SimuQ: A Framework for Programming Quantum Hamiltonian Simulation with Analog Compilation,"Peng, Yuxiang and Young, Jacob and Liu, Pengyu and Wu, Xiaodi",2024,Proc. ACM Program. Lang.,,10.1145/3632923,https://doi.org/10.1145/3632923,"quantum simulation, analog quantum computing, pulse-level programming",January,,"Quantum Hamiltonian simulation, which simulates the evolution of quantum systems and probes quantum phenomena, is one of the most promising applications of quantum computing. Recent experimental results suggest that Hamiltonian-oriented analog quantum simulation would be advantageous over circuit-oriented digital quantum simulation in the Noisy Intermediate-Scale Quantum (NISQ) machine era. However, programming analog quantum simulators is much more challenging due to the lack of a unified interface between hardware and software. In this paper, we design and implement SimuQ, the first framework for quantum Hamiltonian simulation that supports Hamiltonian programming and pulse-level compilation to heterogeneous analog quantum simulators. Specifically, in SimuQ, front-end users specify the target quantum system with Hamiltonian Modeling Language, and the Hamiltonian-level programmability of analog quantum simulators is specified through a new abstraction called the abstract analog instruction set (AAIS) and programmed in AAIS Specification Language by hardware providers. Through a solver-based compilation, SimuQ generates executable pulse schedules for real devices to simulate the evolution of desired quantum systems, which is demonstrated on superconducting (IBM), neutral-atom (QuEra), and trapped-ion (IonQ) quantum devices. Moreover, we demonstrate the advantages of exposing the Hamiltonian-level programmability of devices with native operations or interaction-based gates and establish a small benchmark of quantum simulation to evaluate SimuQ’s compiler with the above analog quantum simulators.",,"New York, NY, USA",Association for Computing Machinery,,,31,,,81,POPL,8,January 2024,
