"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Novel Machine Learning and Quantum Computing for Audio Biometrics: Deep Audio Feature Analysis and Speech Patterns for Real-Time Authentication Systems","C. Anitha; P. Lavanya; W. A. Lenin Anselm; A. Rajalingam; L. V. Kumar; R. Dhanujasree","Department of CSE, Saveetha School of Engineering, SIMATS, Saveetha University, Chennai, India; Department of ECE, MNM Jain Engineering College Jyothi Nagar Thoraipakkam, Chennai; Department of Engineering and Technology, University of Technology and Applied Sciences, Shinas, Sultanate of Oman; Department of Engineering and Technology, University of Technology and Applied Sciences, Shinas, Sultanate of Oman; Department of IT, RMK Engineering College; Department of Management Studies, St. Joseph’s College of Engineering, Chennai, Tamil Nadu, India",2026 International Conference on Intelligent Computing (ICONIC),"19 May 2026","2026","","","1","5","Biometric authentication is essential for secure identity management in the age of digital services and ecosystems. Audio-based authentication outperforms other biometric methods due to its ease of use and compatibility with most devices. Most audio biometric systems have background noise, deception, and real-time use. A new quantum computing-ML architecture improves deep audio feature analysis and speech pattern recognition for real-time authentication systems. Deep learning and quantum physics provide accurate, high-dimensional speech data representations. Recurrent and convolutional neural networks identify audio patterns. We can adjust to various expressions since we can focus on one task. Quantum kernel estimation and variational quantum circuits trump basic machine learning. They protect the system from outside influences and threats, enabling its widespread acceptance. Edge computing lets lowresource devices learn and judge quickly, enabling real-time authentication. Quantum anomaly detection reduces replay attacks, vocal changes, and deepfake speech. Real and virtual acoustic testing have deeper accuracy, FAR, and FRR. A novel audio authentication biometrics solution uses machine learning and quantum computing. The findings show that query language and machine learning frameworks can overcome security, robustness, and scalability challenges. Voice interfaces and audio-driven technology are growing in consumer electronics, finance, and infrastructure. Safe, effective, and future-proof identity verification is achieved with this method.","","979-8-3195-2024-1","10.1109/ICONIC67661.2026.11517689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11517689","Deep Audio Feature Analysis;Real-Time Authentication;Anti-Spoofing Systems;Edge Computing;Audio Biometrics;Speech Pattern Recognition","Modeling;Machine learning;Biometrics;Timing;Accuracy;Artificial intelligence;Printing;Quantum computing;Real-time systems;Machining","","","","17","IEEE","19 May 2026","27-28 March 2026","27-28 March 2026","IEEE","IEEE Conferences"
"Quantum cryptography for the benefit of API keys safety","A. Ramadhan Ghilen; A. Mohamed Zahou; W. Abedelmonem Ben Khalifa","Computer Department, Applied College, Imam Abdulrahman Bin Faisal University, Dammam, KSA; Computer Department, Applied College, Imam Abdulrahman Bin Faisal University, Dammam, KSA; College of Arts, Imam Abdulrahman Bin Faisal University, Dammam, KSA","2022 IEEE 9th International Conference on Sciences of Electronics, Technologies of Information and Telecommunications (SETIT)","9 Sep 2022","2022","","","343","348","To cope with the unauthorized access to the cloud treasure of resources and services, several cloud service providers implement the API-based access control approach and grant thus a full authentication of any client application. Once called, each cloud API (Application Programming Interface) is required to authenticate through a secret access key, commonly termed API key. A plethora of security risks is associated with these keys whether during their generation, storage, or utilization. The hardware secure element-based proposal aims for an end-to-end security between a cloud service provider and a client application. To ensure a reliable and secure API key exchange, the concerned entities rely on Public Key Infrastructure (PKI). As soon as an adversary acquires an unbounded computing power, it would be easy to intercept the keys and then unlock the gate behind the valuables over the cloud. In this paper, we propose a revised scheme that discards the PKI and installs a quantum mechanism to mutually authenticate the secure element and the cloud service provider by establishing a set of shared keys. A pioneering absolute security of the presented approach is warranted by the principles of quantum physics. To analyze the security of the quantum technology, we establish a formal verification based on PRISM model checking tool. We outstandingly focus on satisfying two prominent properties: (i) both the parties engaged in the quantum protocol are able to detect any disallowed eavesdropping and (ii) the valid amount of information caught by an adversary on the installed key must be negligible.","","978-1-7281-8442-5","10.1109/SETIT54465.2022.9875712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9875712","API keys;Cloud API;Authentication;Quantum cryptography;PRISM","Protocols;Authentication;Public key;Stability analysis;Safety;Telecommunications;Security","","3","","28","IEEE","9 Sep 2022","28-30 May 2022","28-30 May 2022","IEEE","IEEE Conferences"
"Transforming Customer Relationship Management with Distributed Quantum Computing Opportunities and Challenges","M. Ileana; P. Petrov; V. Milev","Interdisciplinary Doctoral School, National University of Science and Technology POLITEHNICA Bucharest, Pitesti University Center, Pitesti, Romania; Department of Computer Systems and Technologies, “St. Cyril and St. Methodius” University of Veliko Tarnovo, Veliko Tarnovo, Bulgaria; Department of Computer Systems and Technologies, “St. Cyril and St. Methodius” University of Veliko Tarnovo, Veliko Tarnovo, Bulgaria",2025 9th International Symposium on Innovative Approaches in Smart Technologies (ISAS),"12 Aug 2025","2025","","","1","5","This paper explores the potential of distributed quantum computing (DQC) to transform customer relationship management (CRM) systems in the education sector. This study looks at how distributed quantum computing (DQC) could change customer relationship management (CRM) systems in education. It examines current research, suggests new ideas, and compares different ways to put these ideas into practice, presenting a mixed model that uses Quantum as a Service (QaaS) to add quantum features to regular CRM systems in a flexible way. The mixed model combines quantum algorithms with traditional data processing to improve the system’s performance. The mixed model combines quantum algorithms with classical data processing workflows to enhance overall system performance. The results demonstrate that DQC significantly improves analytical accuracy, data security, and system adaptability through the application of algorithms such as Grover’s search, quantum key distribution (QKD), and the quantum approximate optimization algorithm (QAOA). The proposed solution addresses critical requirements, including dynamic personalization, real-time data processing, and advanced data protection. Despite technological barriers, such as limited quantum hardware access and the need for specialized expertise, the analysis confirms a strong alignment between the operational needs of academic institutions and the functionalities offered by quantum resources. Practical guidelines for pilot implementation are outlined, and the paper discusses future prospects for developing next-generation intelligent learning platforms supported by distributed quantum infrastructures.","","979-8-3315-1482-2","10.1109/ISAS66241.2025.11101908","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11101908","distributed quantum computing (DQC);customer relationship management (CRM);quantum-as-a-service (QaaS);quantum key distribution (QKD);personalized learning","Adaptation models;Quantum computing;Quantum algorithm;Heuristic algorithms;Education;Customer relationship management;Data processing;Approximation algorithms;Data models;Quantum key distribution","","1","","32","IEEE","12 Aug 2025","27-28 June 2025","27-28 June 2025","IEEE","IEEE Conferences"
"Post-Quantum Cryptography Migration Framework for Real-Time Payment Gateways","V. T. Manne","The University of Texas at Dallas, Richardson, TX, USA","2026 Second International Conference on Intelligent Systems for Communication, IoT and Security (ICISCoIS)","27 Mar 2026","2026","","","1","7","Real time payment gateways handle authorization and clearing traffic for card and account based ecosystems under strict latency and availability targets. Most deployed gateways still rely on RSA and elliptic curve cryptography, which become vulnerable once large scale quantum computers can run Shor's algorithm. Simply swapping these algorithms for NIST standard post quantum schemes is not enough, because gateways must still meet service level agreements, maintain Payment Card Industry Data Security Standard (PCI DSS) compliance, and interoperate with acquirers and issuers that migrate at different speeds. This paper presents a Post Quantum Cryptography Migration Framework that gives an end to end architectural view of gateway, acquirer, and issuer communication paths. The framework introduces a crypto abstraction layer with pluggable algorithm providers, supports hybrid classical plus post quantum modes during transition, and uses policy driven selection of key encapsulation and signature schemes such as Kyber and Dilithium. It also defines a phased migration process from asset discovery and quantum risk assessment through controlled hybrid rollout to post quantum only operation. To validate the approach, we implement a gateway testbed that replays a PaySim transaction workload and measure the impact of post quantum schemes on authorization latency and derived throughput under classical only, hybrid, and PQC only modes. The experiments show that, with careful configuration and connection management, post quantum protection can be integrated into real time payment processing with performance overhead kept within operational limits.","","979-8-3315-4596-3","10.1109/ICISCoIS62701.2026.11447607","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11447607","post-quantum cryptography;payment gateways;real-time payment processing;crypto agility;hybrid classical-post-quantum schemes;Kyber;Dilithium;PCI DSS compliance","Authorization;Quantum computing;Logic gates;Throughput;Real-time systems;Risk management;Quantum cryptography;Protection;Standards;Service level agreements","","","","18","IEEE","27 Mar 2026","8-10 Jan. 2026","8-10 Jan. 2026","IEEE","IEEE Conferences"
"Encryption of Quantum-Resistant Algorithms for Cybersecurity: Enhancement of Post-Quantum Communication and Financial Systems","V. K. Pentela; P. Yalla","Site reliability engineer UBS Business solutions US LLC, 303 Sunderland dr, Mount Juliet, TN, USA; Department of CSE, Koneru Lakshmaiah Education Foundation (K L Demeed to be University), Green Fields, Vaddeswaram, Guntur, Andhra Pradesh, India",2025 10th International Conference on Smart Structures and Systems (ICSSS),"23 Jan 2026","2025","","","1","6","As quantum computing technologies advance rapidly, the foundational cryptographic algorithms currently securing global digital infrastructure are at imminent risk of obsolescence. Conventional encryption methods such as RSA, ECC, and Diffie-Hellman are particularly vulnerable to quantum attacks, notably through Shor’s algorithm, which can efficiently factor large integers and compute discrete logarithms. This emerging threat has accelerated the urgency for the development and implementation of quantum-resistant encryption algorithms, also referred to as post-quantum cryptography (PQC). This research focuses on the strategic deployment and optimization of quantum-resistant algorithms to enhance cybersecurity resilience in post-quantum communication and financial systems. The study examines a variety of quantum-resistant cryptographic schemes, including lattice-based, hash-based, code-based, multivariate polynomial, and isogeny-based algorithms. Through rigorous comparative analysis, the research evaluates these algorithms across multiple dimensions such as encryption/decryption speed, key and ciphertext sizes, computational overhead, integration complexity, and resistance to both quantum and classical attacks. The findings highlight lattice-based schemes like CRYSTALS-Kyber and CRYSTALS-Dilithium as promising candidates due to their balance between strong security guarantees and operational efficiency in real-world applications. A critical aspect of the study involves simulating the deployment of quantum-resistant encryption in communication protocols such as TLS/SSL and financial transaction platforms including blockchain-based ledgers, digital payment gateways, and banking APIs. The research assesses not only the cryptographic robustness but also the practical implications on latency, interoperability, and scalability within existing digital ecosystems. Moreover, the study explores hybrid encryption models that combine classical and quantum-resistant techniques as a transitional strategy to ensure backward compatibility and seamless migration during the post-quantum cryptographic shift. This work also delves into regulatory, standardization, and policy implications by evaluating the alignment of proposed algorithms with guidelines from global bodies such as NIST, ETSI, and ISO/IEC. Additionally, the research considers the economic and infrastructural impact on stakeholders, including governments, financial institutions, cloud service providers, and end-users, highlighting the necessity of early adoption and strategic preparedness.","","979-8-3315-6323-3","10.1109/ICSSS66939.2025.11346099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11346099","Quantum-resistant encryption;Quantum computing threats;Post-quantum cryptography;Lattice-based cryptography;CRYSTALS-Dilithium;CRYSTALS-Kyber;Hashbased encryption;Code-based algorithms","Wireless communication;Quantum computing;Polynomials;Encryption;Virtual private networks;Cryptography;Computer security;Standards;Optimization;Resilience","","","","15","IEEE","23 Jan 2026","12-13 Dec. 2025","12-13 Dec. 2025","IEEE","IEEE Conferences"
"Detection of DDoS Attacks in Fog Computing using Interpretable Quantum-based 2Q Learning Approach","S. J. Reddy K; B. K","Department of Computer Science and Engineering, Siddaganga Institute of Technology, Tumakuru, Karnataka, India; Department of Computer Science and Engineering, Siddaganga Institute of Technology, Tumakuru, Karnataka, India","2025 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)","14 Mar 2025","2025","","","1","5","It is seen that there is a rapid increase in Internet of Things (IoT) devices, and fog computing has emerged as an efficient and viable solution to reduce latency by performing computations closer to the edge. However, this nature of fog computing makes it vulnerable to Distributed Denial of Service (DDoS) attacks, which can disrupt services. DDoS causes major impact over the fog performance which include resource saturation, increased latency, reduced resource availability, decrease in processing capacity of the fog nodes, and many more. There have been various works proposed to detect DDoS attacks in fog computing, but they lack scalability and have high response times. In this paper, a novel Quantum-based-2QLearning (Q2QL) framework is designed to efficiently detect and mitigate DDoS attacks in fog computing. This framework using quantum-enhanced reinforcement learning reduces overestimation bias and improve speed of convergence. Q2QL framework also achieves high detection accuracy and reduces response time. The results show that the proposed framework performs well across critical metrics, including latency, attack detection time, and overall system performance.","","979-8-3315-1591-1","10.1109/IITCEE64140.2025.10915401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10915401","Distributed Denial of Service;Quantum computing;Fog computing;2Q learning;IoT","Performance evaluation;Quantum computing;Accuracy;Scalability;Denial-of-service attack;Time factors;Internet of Things;Computer crime;Edge computing;Convergence","","","","14","IEEE","14 Mar 2025","16-17 Jan. 2025","16-17 Jan. 2025","IEEE","IEEE Conferences"
"PQC Cloudization: Rapid Prototyping of Scalable NTT /INTT Architecture to Accelerate Kyber","M. Bisheh-Niasar; D. Lo; A. Parthasarathy; B. Pelton; B. Pillilli; B. Kelly",Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft,2023 IEEE Physical Assurance and Inspection of Electronics (PAINE),"20 Nov 2023","2023","","","1","7","The advent of quantum computers poses a serious challenge to the security of cloud infrastructures and services, as they can potentially break the existing public-key cryptosystems, such as Rivest-Shamir-Adleman (RSA) and Elliptic Curve Cryptography (ECC). Even though the gap between today's quantum computers and the threats they pose to current public-key cryptography is large, the cloud landscape should act proactively and initiate the transition to the post-quantum era as early as possible. To comply with that, the U.S. government issued a National Security Memorandum in May 2022 that mandated federal agencies to migrate to post-quantum cryptosystems (PQC) by 2035. To ensure the long-term security of cloud computing, it is imperative to develop and deploy PQC resistant to quantum attacks. A promising class of post-quantum cryptosystems is based on lattice problems, which require polynomial arithmetic. In this paper, we propose a scalable number-theoretic transform (NTT) architecture that significantly enhances the performance of polynomial multiplication. Our proposed design exploits multilevels of parallelism to accelerate the NTT computation on reconfigurable hardware. We use the high-level synthesis (HLS) method to implement our design, which allows us to describe the NTT algorithm in a high-level language and automatically generate optimized hardware code. HLS facilitates rapid prototyping and enables us to explore different design spaces and trade-offs on the hardware platforms. Our experimental results show that our design achieves 11× speedup compared to the state-of-the-art requiring only 14 clock cycles for an NTT computation over a polynomial of degree 256. To demonstrate the applicability of our design, we also present a coprocessor architecture for Kyber that utilizes our scalable NTT core.","","979-8-3503-3931-4","10.1109/PAINE58317.2023.10318029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10318029","cloud computing;cryptography;Kyber;NTT;post-quantum cryptography","Computers;Cloud computing;Quantum computing;Scalability;Computer architecture;Transforms;Rapid prototyping","","7","","22","IEEE","20 Nov 2023","24-26 Oct. 2023","24-26 Oct. 2023","IEEE","IEEE Conferences"
"Design of Cryptosystem Architecture Based on Quantum Key Distribution","W. Xue; C. Wang; J. Wang","China Telecom Research Institute, Shanghai, China; China Telecom Research Institute, Shanghai, China; China Telecom Research Institute, Shanghai, China",2023 IEEE 6th International Conference on Information Systems and Computer Aided Education (ICISCAE),"22 Jan 2024","2023","","","200","205","Quantum key distribution (QKD) is a promising technique for addressing quantum threats. To enable easy-to-use cryptographic services based on QKD, we designed a cryptosystem that integrates classical cryptographic systems with key generation and distribution using a QKD network. The proposed cryptosystem comprises a centrally deployed cryptography management service platform and distributed key management systems. The paper presents the functional modules, main processes, interface design, and security requirements of the cryptosystem. This cryptosystem provides a secure and efficient way to offer cryptographic services for various business applications, such as identity authentication, application authorization and point-to-point or group session key distribution. By integrating QKD with classical cryptosystems, this approach can improve the security of traditional cryptographic systems by using the random and unconditionally secure keys generated by QKD. Furthermore, combining QKD with classical cryptographic systems can enhance the scalability of QKD and provide more efficient and cost-effective solutions for large-scale cryptographic services.","2770-663X","979-8-3503-1344-4","10.1109/ICISCAE59047.2023.10393681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10393681","cryptosystem;quantum key distribution;cryptographic cervice;key management","Authorization;Scalability;Authentication;Computer architecture;Quantum key distribution;Cryptography;Business","","","","14","IEEE","22 Jan 2024","23-25 Sept. 2023","23-25 Sept. 2023","IEEE","IEEE Conferences"
"Secure Delegated Variational Quantum Algorithms","Q. Li; J. Quan; J. Shi; S. Zhang; X. Li","School of Computer Science, Xiangtan University, Xiangtan, China; School of Mathematics and Computational Science, Xiangtan University, Xiangtan, China; School of Electronic Information, Central South University, Changsha, China; Key Laboratory of MIMS, College of Computer Science and Technology, Guangxi Normal University, Guilin, China; School of Artificial Intelligence, Northwestern Polytechnical University, Xi’an, China",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"19 Sep 2024","2024","43","10","3129","3142","Variational quantum algorithms (VQAs) can train parameterized quantum circuits via classical optimizers to find approximate solutions to some important problems. They can overcome the limitations of existing quantum technologies only allowing for a few qubits and small circuit depth and are considered as one of the most promising methods for achieving quantum advantages in the noisy intermediate-scale quantum (NISQ) era. In this article, we propose secure delegated VQAs by utilizing quantum homomorphic encryption (QHE) for users with limited quantum power to delegate the task of running VQAs to remote quantum servers while still keeping the training data private. First, a client-friendly QHE scheme that allows quantum servers to perform calculation on encrypted data is proposed to be suitable for VQAs. Then, delegated VQAs based on the given QHE scheme are presented, where servers can train the ansatz circuit using the encrypted data. Finally, a delegated variational quantum classifier to identify handwritten digit images is given as a specific example of delegated VQAs and simulated on the cloud platform of Original Quantum to show the feasibility. Secure delegated VQAs will provide significant technical support for future quantum cloud services.","1937-4151","","10.1109/TCAD.2024.3391690","Science and Technology Innovation Program of Hunan Province(grant numbers:2022RC1187); National Natural Science Foundation of China(grant numbers:62271436,U1736113,62272483,61836016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10505905","Delegated quantum computation;image processing;quantum homomorphic encryption (QHE);variational quantum algorithms (VQAs)","Servers;Quantum computing;Design automation;Image processing;Homomorphic encryption;Quantum algorithm","","10","","38","IEEE","19 Apr 2024","Oct. 2024","","IEEE","IEEE Journals"
"ABACUS and AQME: Semiconductor Device and Quantum Mechanics Education on nanoHUB.org","G. Klimeck; D. Vasileska","Electrical and Computer Engineering, Network for Computational Nanotechnology and Birck Nanotechnology Center, Purdue University, West Lafayette, IN, USA; Electrical Engineering, Arizona State University, Tempe, AZ, USA",2009 13th International Workshop on Computational Electronics,"23 Jun 2009","2009","","","1","4","The ABACUS and AQME on-line tools and their associated wiki pages form one-stop shops for educators and students of existing university courses. They are geared towards courses like ""introduction to semiconductor devices"" and ""quantum mechanics for engineers"". The service is free to anyone and no software installation is required on the user's computer. All simulations, including advanced visualization are performed at a remote computer. The tools have been deployed on nanoHUB.org in August 2008 and haven already been used by over 700 users. This paper describes nanoHUB educational tool user requirements and the motivation for and some details about these new tools. Usage patterns and future planned assessment are discussed. The concepts of ""NCN supported"" and ""community supported"" tools are discussed.","","978-1-4244-3925-6","10.1109/IWCE.2009.5091083","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5091083","","Semiconductor devices;Quantum mechanics;Nanoscale devices;Quantum computing;Nanotechnology;Computer networks;Computational modeling;Atomic measurements;Semiconductor device doping;MOSFET circuits","","4","","10","IEEE","23 Jun 2009","27-29 May 2009","27-29 May 2009","IEEE","IEEE Conferences"
"Technology update II: Wire systems diagnostics & prognostics","C. Teal; B. Larsen","Eclypse International, Inc., Corona, CA, USA; Federal Aviation Administration, Moffett Field, CA, USA","Digital Avionics Systems Conference, 2003. DASC '03. The 22nd","24 Oct 2011","2003","2","","11.E.2","11.1-9 vol.2","The Aviation industry is gradually realizing some of the benefits from wire husbandry as they include it in their maintenance programs. Individual operators are also beginning to incorporate both zonal visual inspection procedures and advanced diagnostic tooling practices into their maintenance programs. Visual inspection, although only 25% effective is being used to check for wire contamination, combustibles and wire degradation from adverse human actions and operational environment. VSWReflectometry (VSWR) in conjunction with automatic test equipment (ATE) is 95% effective in finding, defining and locating wire system faults. Although this represents a quantum step forward in conducting maintenance on a per aircraft basis true value will not be realized until the full complement of software support programs are placed into service. To truly realize the benefit of advanced test equipment a database of fleet wide information must be established and used for future diagnostic, prognostic, verification and related purposes. Analytical software programs must be developed which brings prognostics as a decision-maker into the wire husbandry program based on fleet information. The obvious software programs such as useful remaining life, trend analysis and performance standards will at first be based on fleet averages of individual systems performance. Further programs will be developed based on individual needs of the particular operator. Both A.C. and D.C. software driven test patterns are used to define wire systems degradation with the sensed data available for downloading and processing. Single ended testing using VSWReflectometry is generally used on balanced circuits and can define fault, fault location and failed components at this time. It is usually used when a single system is being tested at any of the 3 levels o;The Aviation industry is gradually realizing some of the benefits from wire husbandry as they include it in their maintenance programs. Individual operators are also beginning to incorporate both zonal visual inspection procedures and advanced diagnostic tooling practices into their maintenance programs. Visual inspection, although only 25% effective is being used to check for wire contamination, combustibles and wire degradation from adverse human actions and operational environment. VSWReflectometry (VSWR) in conjunction with automatic test equipment (ATE) is 95% effective in finding, defining and locating wire system faults. Although this represents a quantum step forward in conducting maintenance on a per aircraft basis true value will not be realized until the full complement of software support programs are placed into service. To truly realize the benefit of advanced test equipment a database of fleet wide information must be established and used for future diagnostic, prognostic, verification and related purposes. Analytical software programs must be developed which brings prognostics as a decision-maker into the wire husbandry program based on fleet information. The obvious software programs such as useful remaining life, trend analysis and performance standards will at first be based on fleet averages of individual systems performance. Further programs will be developed based on individual needs of the particular operator. Both A.C. and D.C. software driven test patterns are used to define wire systems degradation with the sensed data available for downloading and processing. Single ended testing using VSWReflectometry is generally used on balanced circuits and can define fault, fault location and failed components at this time. It is usually used when a single system is being tested at any of the 3 levels of maintenance. ATE is a computerized high output multiple circuit testing device. ATE uses D.C. test patterns to performs two ended testing and can be used on any circuit and at any level of maintenance. ATE defines connectivity, conductivity, insulation breakdown strength and conformity to design of a wire system at this time. In both cases wire system data is collected and placed in the fleet database for future processing and analysis.","","0-7803-7844-X","10.1109/DASC.2003.1245948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5731192","","Wire;Aerospace electronics;Maintenance;Aircraft;Aircraft manufacture;Software;Inspection;Maintenance engineering;Monitoring;Wiring","","3","1","11","IEEE","24 Oct 2011","12-16 Oct. 2003","12-16 Oct. 2003","IEEE","IEEE Conferences"
"Cloud Service Selection Based on Chaos Quantum Immune Algorithm","C. Zhou; P. Pan; P. Yang; L. Huang","College of Computer Science and Technology, Guizhou University, Guiyang, China; College of Computer Science and Technology, Guizhou University, Guiyang, China; College of Big Data and Information Engineering, Guizhou University, Guiyang, China; College of Computer Science and Technology, Guizhou University, Guiyang, China","2018 10th International Conference on Modelling, Identification and Control (ICMIC)","11 Nov 2018","2018","","","1","6","The problem we are trying to solve in this paper is the selection of cloud service. Cloud service is a new kind of network service based on cloud computing platform. In the face of dynamic and diverse user demands, it is not only concerned to the quality of service (QoS), but also the search efficiency. First, this paper presents the model of cloud service selection based on QoS. Second, we propose the chaos quantum immune algorithm to address the problem so as to avoid the drawbacks in terms of selection inefficiency, algorithm instability and heavy time overhead. It can utilize the characteristics of quantum bit encoding and the quantum rotation gate to optimize the calculation of service selection. The results obtained in this research include the proposed method shows performance benefits compared with classic solutions by simulation experiment. It is not only theoretically but also practically feasible to realize the selection of cloud service.","","978-1-5386-5416-3","10.1109/ICMIC.2018.8529860","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8529860","Cloud service;QoS;Service selection;Chaos quantum immune algorithm","Cloud computing;Optimization;Chaos;Quality of service;Sociology;Statistics","","2","","22","IEEE","11 Nov 2018","2-4 July 2018","2-4 July 2018","IEEE","IEEE Conferences"
"QuCloudSim: A Customizable Discrete Event Simulator for Quantum Cloud Computing Enviroment","R. Zhou; Y. Gan; L. Shen; Y. Liu; M. Messel; C. Qian",University of California; University of California; University of California; University of California; University of California; University of California,"2025 International Conference on Quantum Communications, Networking, and Computing (QCNC)","15 May 2025","2025","","","58","65","Current quantum computing service providers operate in a cloud-based model, hosting expensive quantum computers in data centers for remote access. However, in the Noisy Intermediate-Scale Quantum (NISQ) era, quantum hardware is limited in terms of qubit count and connectivity. To address scalability challenges, future quantum cloud infrastructures will likely adopt a modular architecture where Quantum Processing Units (QPUs) are interconnected via quantum networks using various hardware technologies. In such systems, challenges like resource management, scheduling, and placement become critical, yet there is currently a gap in simulation tools capable of modeling quantum computers connected via quantum networks. To address this, we propose QuCloudSim, a quantum cloud simulator that adopts a modular design to model various hardware components within a quantum cloud environment. It employs discrete event simulation to replicate real-world scenarios with concurrent user requests, and our evaluation of different scheduling and placement methods demonstrates that QuCloudSim effectively models modular quantum cloud systems while providing valuable insights for developing scalable quantum cloud infrastructures.","","979-8-3315-3159-1","10.1109/QCNC64685.2025.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11000150","quantum network;quantum cloud","Computers;Cloud computing;Quantum computing;Processor scheduling;Computational modeling;Scalability;Hardware;Discrete event simulation;Quantum networks;Resource management","","1","","20","IEEE","15 May 2025","31 March-2 April 2025","31 March-2 April 2025","IEEE","IEEE Conferences"
"A Quantum-Enhanced Semantic Communication Framework for Securing Military Health IoT Data","A. Agrawal; R. Verma; A. Sinha","Department of Electronics and Communication Engineering, IIIT, Naya Raipur, India; Department of Electronics and Communication Engineering, IIIT, Naya Raipur, India; Department of Computer Science and Engineering, IIIT Naya Raipur, India",2025 10th International Conference on Signal Processing and Communication (ICSC),"24 Apr 2025","2025","","","16","21","The secure Medical Internet of Things (IoT) is revolutionizing patient monitoring and healthcare data man-agement in military environments, where real-time health as-sessments of soldiers are critical. However, the exchange of sensitive medical data in these interconnected systems raises concerns about data security and privacy, particularly in military operations. This paper proposes a Quantum-Enhanced Seman-tic Communication framework to secure medical IoTin such contexts. Combining quantum communication with semantic interoperability, the framework leverages quantum mechanics principles such as entanglement and superposition to enable encryption and decryption that are resistant to conventional and emerging cyber threats. This research comprehensively analyzes quantum key distribution protocols and semantic interoperability standards to create a robust solution for secure medical data exchange in military IoTnetworks. The framework is tested with health monitoring sensors that transmit semantically rich data, protected by quantum encryption, in a simulated military environment. As quantum computing evolves, this approach offers a path to safeguard sensitive medical information in military settings, improving data security and improving the efficiency of healthcare services for soldiers.","2643-444X","979-8-3315-1189-0","10.1109/ICSC64553.2025.10968853","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10968853","Semantic communication;IoT;Quantum communication;Data privacy","Data privacy;Military computing;Data security;Medical services;Semantic communication;Encryption;Internet of Things;Interoperability;Standards;Quantum communication","","2","","14","IEEE","24 Apr 2025","20-22 Feb. 2025","20-22 Feb. 2025","IEEE","IEEE Conferences"
