Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Property Checking of Quantum Circuits Using Quantum Multiple-Valued Decision Diagrams,Reversible Computation,,,,10.1007/978-3-642-36315-3_15,Julia SeiterMathias SoekenRobert WilleRolf Drechsler,2013,https://link.springer.com/chapter/10.1007/978-3-642-36315-3_15,Conference paper
ExaStamp: A Parallel Framework for Molecular Dynamics on Heterogeneous Clusters,Euro-Par 2014: Parallel Processing Workshops,,,,10.1007/978-3-319-14313-2_11,Emmanuel CierenLaurent ColombetSamuel PitoisetRaymond Namyst,2014,https://link.springer.com/chapter/10.1007/978-3-319-14313-2_11,Conference paper
Electronic Portfolio as a Knowledge Management Tool: A Comparative Analysis,The 8th International Conference on Knowledge Management in Organizations,,,,10.1007/978-94-007-7287-8_15,Wardah Zainal-AbidinLorna UdenRose Alinda Alias,2014,https://link.springer.com/chapter/10.1007/978-94-007-7287-8_15,Conference paper
Select the Appropriate Map Depending on Context in a Hilbert Space Model (SCOP),Quantum Interaction,,,,10.1007/978-3-642-54943-4_11,Juergen HahnAndrew U. Frank,2014,https://link.springer.com/chapter/10.1007/978-3-642-54943-4_11,Conference paper
Serious Game for Quantum Research,Serious Games Development and Applications,,,,10.1007/978-3-642-40790-1_17,Oliver T. BrownJohn TruesdaleSandy LouchartSuzanne McEndooSabrina ManiscalcoJudy RobertsonTheodore LimStephen Kilbride,2013,https://link.springer.com/chapter/10.1007/978-3-642-40790-1_17,Conference paper
A Security Framework for Multi-authority Based e-Sealed Bid Auction System,Recent Trends in Computer Networks and Distributed Systems Security,,,,10.1007/978-3-642-54525-2_3,Sourav SinhaMamata Jenamani,2014,https://link.springer.com/chapter/10.1007/978-3-642-54525-2_3,Conference paper
SNAP: Strong Scaling High Fidelity Molecular Dynamics Simulations on Leadership-Class Computing Platforms,Supercomputing,,,,10.1007/978-3-319-07518-1_2,Christian R. TrottSimon D. HammondAidan P. Thompson,2014,https://link.springer.com/chapter/10.1007/978-3-319-07518-1_2,Conference paper
"Joining Data and Maps in the Government Enterprise Architecture by a Semantic Approach: Methodology, Ontology and Case Study",Enterprise Information Systems,,,,10.1007/978-3-319-09492-2_30,Daniela GiordanoAlfredo TorreCarmelo SamperiSalvatore AlessiAlberto Faro,2014,https://link.springer.com/chapter/10.1007/978-3-319-09492-2_30,Conference paper
A Fuzzy VSM-Based Approach for Semantic Service Retrieval,Neural Information Processing,,,,10.1007/978-3-319-12643-2_82,Supannada ChotipantFarookh Khadeer HussainHai DongOmar Khadeer Hussain,2014,https://link.springer.com/chapter/10.1007/978-3-319-12643-2_82,Conference paper
Adaptive and Scalable High Availability for Infrastructure Clouds,Distributed Applications and Interoperable Systems,,,,10.1007/978-3-662-43352-2_2,Stefan BrennerBenjamin GarbersRüdiger Kapitza,2014,https://link.springer.com/chapter/10.1007/978-3-662-43352-2_2,Conference paper
Discovering Plain-Text-Described Services Based on Ontology Learning,Neural Information Processing,,,,10.1007/978-3-319-12643-2_81,Hai DongFarookh Khadeer HussainAthman Bouguettaya,2014,https://link.springer.com/chapter/10.1007/978-3-319-12643-2_81,Conference paper
A Framework to Evolutionary Path Planning for Autonomous Underwater Glider,Modern Advances in Applied Intelligence,,,,10.1007/978-3-319-07467-2_1,Shih Chien-ChouYang YihHorng Mong-FongPan Tien-SzuPan Jeng-Shyang,2014,https://link.springer.com/chapter/10.1007/978-3-319-07467-2_1,Conference paper
"Cyber-Physical System Architectures for Dynamic, Real-Time “Need-to-Know” Authorization",Applied Cyber-Physical Systems,,,,10.1007/978-1-4614-7336-7_6,James A. CrowderJohn N. Carbone,2014,https://link.springer.com/chapter/10.1007/978-1-4614-7336-7_6,Conference paper
Optimizing Top-k Retrieval: Submodularity Analysis and Search Strategies,Web-Age Information Management,,,,10.1007/978-3-319-08010-9_3,Chaofeng ShaKeqiang WangDell ZhangXiaoling WangAoying Zhou,2014,https://link.springer.com/chapter/10.1007/978-3-319-08010-9_3,Conference paper
Digital Drugs,"Information Systems and Global Assemblages. (Re)Configuring Actors, Artefacts, Organizations",,,,10.1007/978-3-662-45708-5_10,Tony CornfordValentina Lichtner,2014,https://link.springer.com/chapter/10.1007/978-3-662-45708-5_10,Conference paper
A Case Study of Energy Aware Scheduling on SuperMUC,Supercomputing,,,,10.1007/978-3-319-07518-1_25,Axel AuweterArndt BodeMatthias BrehmLuigi BrochardNicolay HammerHerbert HuberRaj PandaFrancois ThomasTorsten Wilde,2014,https://link.springer.com/chapter/10.1007/978-3-319-07518-1_25,Conference paper
Proactive Workload Dispatching on the EURORA Supercomputer,Principles and Practice of Constraint Programming,,,,10.1007/978-3-319-10428-7_55,Andrea BartoliniAndrea BorghesiThomas BridiMichele LombardiMichela Milano,2014,https://link.springer.com/chapter/10.1007/978-3-319-10428-7_55,Conference paper
Development of Domain-Specific Solutions Within the Polish Infrastructure for Advanced Scientific Research,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-642-55224-3_23,J. KitowskiK. WiatrP. BałaM. BorczA. CzyżewskiŁ. DutkaR. KluszczyńskiJ. KotusP. KustraN. MeyerA. MileninZ. MosurskaR. PająkŁ. RauchM. SterzelD. StokłosaT. Szepieniec,2014,https://link.springer.com/chapter/10.1007/978-3-642-55224-3_23,Conference paper
Sensing World Heritage,Computational Science and Its Applications – ICCSA 2014,,,,10.1007/978-3-319-09129-7_31,Vasco MonteiroRoberto HenriquesMarco PainhoEric Vaz,2014,https://link.springer.com/chapter/10.1007/978-3-319-09129-7_31,Conference paper
NNexus Reloaded,Intelligent Computer Mathematics,,,,10.1007/978-3-319-08434-3_31,Deyan GinevJoseph Corneli,2014,https://link.springer.com/chapter/10.1007/978-3-319-08434-3_31,Conference paper
How to Enable Multiple Skill Learning in a SLA Constrained Service System?,Service-Oriented Computing,,,,10.1007/978-3-662-45391-9_18,Sumit KalraShivali AgarwalGargi Dasgupta,2014,https://link.springer.com/chapter/10.1007/978-3-662-45391-9_18,Conference paper
Worst-Case Scheduling of Software Tasks,Principles and Practice of Constraint Programming,,,,10.1007/978-3-319-10428-7_58,Stefano Di AlesioShiva NejatiLionel BriandArnaud Gotlieb,2014,https://link.springer.com/chapter/10.1007/978-3-319-10428-7_58,Conference paper
Basic Module Theory over Non-commutative Rings with Computational Aspects of Operator Algebras,Algebraic and Algorithmic Aspects of Differential and Integral Operators,,,,10.1007/978-3-642-54479-8_2,José Gómez-Torrecillas,2014,https://link.springer.com/chapter/10.1007/978-3-642-54479-8_2,Conference paper
Multivariate Estimation of Resource Utilization Bounds of any Variable Schedule in a Computing System,"Beyond Databases, Architectures, and Structures",,,,10.1007/978-3-319-06932-6_30,Susmit Bagchi,2014,https://link.springer.com/chapter/10.1007/978-3-319-06932-6_30,Conference paper
Determining Cryptographic Distinguishers for eStream and SHA-3 Candidate Functions with Evolutionary Circuits,E-Business and Telecommunications,,,,10.1007/978-3-662-44788-8_17,Petr ŠvendaMartin UkropVashek Matyáš,2014,https://link.springer.com/chapter/10.1007/978-3-662-44788-8_17,Conference paper
Software-Defined Infrastructure and the SAVI Testbed,Testbeds and Research Infrastructure: Development of Networks and Communities,,,,10.1007/978-3-319-13326-3_1,Joon-Myung KangThomas LinHadi BannazadehAlberto Leon-Garcia,2014,https://link.springer.com/chapter/10.1007/978-3-319-13326-3_1,Conference paper
Generation of Routes with Points-of-Interest to Help Users in Their Trip,Computational Science and Its Applications – ICCSA 2014,,,,10.1007/978-3-319-09147-1_21,Ana María Magdalena SaldañaJose Giovanni GuzmánMarco Antonio MorenoMiguel TorresRolando QuinteroOleksiy Pogrebnyak,2014,https://link.springer.com/chapter/10.1007/978-3-319-09147-1_21,Conference paper
Efficient Diverse Rank of Hot-Topics-Discussion on Social Network,Web-Age Information Management,,,,10.1007/978-3-319-08010-9_58,Tao ZhuYumin LinJi ChengXiaoling Wang,2014,https://link.springer.com/chapter/10.1007/978-3-319-08010-9_58,Conference paper
DASH: Data Structures and Algorithms with Support for Hierarchical Locality,Euro-Par 2014: Parallel Processing Workshops,,,,10.1007/978-3-319-14313-2_46,Karl FürlingerColin GlassJose GraciaAndreas KnüpferJie TaoDenis HünichKamran IdreesMatthias MaiterthYousri MhedhebHuan Zhou,2014,https://link.springer.com/chapter/10.1007/978-3-319-14313-2_46,Conference paper
Design Implications of Digital Social Innovation: A Playful Approach to Analyse Cases Study Dataset,Cross-Cultural Design,,,,10.1007/978-3-319-07308-8_35,Francesca ValsecchiMiaosen Gong,2014,https://link.springer.com/chapter/10.1007/978-3-319-07308-8_35,Conference paper
HostoSink: A Collaborative Scheduling in Heterogeneous Environment,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-319-11197-1_17,Xiaofei LiaoXiaobao XiangHai JinWei ZhangFeng Lu,2014,https://link.springer.com/chapter/10.1007/978-3-319-11197-1_17,Conference paper
TPC State of the Council 2013,Performance Characterization and Benchmarking,,,,10.1007/978-3-319-04936-6_1,Raghunath NambiarMeikel PoessAndrew MaslandH. Reza TaheriAndrew BondForrest CarmanMichael Majdalany,2014,https://link.springer.com/chapter/10.1007/978-3-319-04936-6_1,Conference paper
Integration of Design Intent during the Product Lifecycle Management,Product Lifecycle Management for a Global Market,,,,10.1007/978-3-662-45937-9_11,Min-Jung YooJumyung UmIan StroudSoumaya El KadiriDimitris Kiritsis,2014,https://link.springer.com/chapter/10.1007/978-3-662-45937-9_11,Conference paper
Historical Map Registration via Independent Model Adjustment with Affine Transformations,Computational Science and Its Applications – ICCSA 2014,,,,10.1007/978-3-319-09147-1_4,Luigi BarazzettiRaffaella BrumanaDaniela OreniMattia Previtali,2014,https://link.springer.com/chapter/10.1007/978-3-319-09147-1_4,Conference paper
Maintaining Trust in Cloud Computing through SLA Monitoring,Neural Information Processing,,,,10.1007/978-3-319-12643-2_83,Walayat HussainFarookh Khadeer HussainOmar Khadeer Hussain,2014,https://link.springer.com/chapter/10.1007/978-3-319-12643-2_83,Conference paper
On Industrial Strength Bio-design Automation,"Information and Communication Technologies in Education, Research, and Industrial Applications",,,,10.1007/978-3-319-13206-8_14,Wolf-Ekkehard MatzkeChris P. BarnesEyck JentzschThorsten MascherMichael Stumpf,2014,https://link.springer.com/chapter/10.1007/978-3-319-13206-8_14,Conference paper
Towards Side-Channel Resistant Implementations of QC-MDPC McEliece Encryption on Constrained Devices,Post-Quantum Cryptography,,,,10.1007/978-3-319-11659-4_16,Ingo von MaurichTim Güneysu,2014,https://link.springer.com/chapter/10.1007/978-3-319-11659-4_16,Conference paper
Combining Distributional Semantics and Entity Linking for Context-Aware Content-Based Recommendation,"User Modeling, Adaptation, and Personalization",,,,10.1007/978-3-319-08786-3_34,Cataldo MustoGiovanni SemeraroPasquale LopsMarco de Gemmis,2014,https://link.springer.com/chapter/10.1007/978-3-319-08786-3_34,Conference paper
Panel Position Statements,Foundations of Health Information Engineering and Systems,,,,10.1007/978-3-642-53956-5_2,Kudakwashe DubeDeshendran MoodleyBill ThiesJane W. S. LiuJoseph CafazzoOleg Sokolsky,2014,https://link.springer.com/chapter/10.1007/978-3-642-53956-5_2,Conference paper
Cyber-Physical Approach to the Network-Centric Robot Control Problems,"Internet of Things, Smart Spaces, and Next Generation Networks and Systems",,,,10.1007/978-3-319-10353-2_57,Vladimir ZaborovskyMikhail GukVladimir MuliukhaAlexander Ilyashenko,2014,https://link.springer.com/chapter/10.1007/978-3-319-10353-2_57,Conference paper
The Time of Our Lives: Understanding Irreversible Complex User Experiences,ICT and Society,,,,10.1007/978-3-662-44208-1_5,David Kreps,2014,https://link.springer.com/chapter/10.1007/978-3-662-44208-1_5,Conference paper
Resource Redistribution after Large Scale Disasters: Case with Gradually Updated Information,AsiaSim 2014,,,,10.1007/978-3-662-45289-9_28,Vasily LubashevskiyTaro KannoKazuo Furuta,2014,https://link.springer.com/chapter/10.1007/978-3-662-45289-9_28,Conference paper
Based on Citation Diversity to Explore Influential Papers for Interdisciplinarity,Web Technologies and Applications,,,,10.1007/978-3-319-11116-2_30,Keqiang WangChaofeng ShaXiaoling WangAoying Zhou,2014,https://link.springer.com/chapter/10.1007/978-3-319-11116-2_30,Conference paper
From Agile Software Development to Mercury Business,Software Business. Towards Continuous Value Delivery,,,,10.1007/978-3-319-08738-2_5,Janne JärvinenTua HuomoTommi MikkonenPasi Tyrväinen,2014,https://link.springer.com/chapter/10.1007/978-3-319-08738-2_5,Conference paper
IIS: Implicit Image Steganography,Advances in Swarm Intelligence,,,,10.1007/978-3-319-11897-0_33,K. JitheshP. Babu Anto,2014,https://link.springer.com/chapter/10.1007/978-3-319-11897-0_33,Conference paper
Natural Interaction and Wearable Augmented Reality for the Enjoyment of the Cultural Heritage in Outdoor Conditions,Augmented and Virtual Reality,,,,10.1007/978-3-319-13969-2_20,Giuseppe CaggianesePietro NeroniLuigi Gallo,2014,https://link.springer.com/chapter/10.1007/978-3-319-13969-2_20,Conference paper
Lattice Based Identity Based Unidirectional Proxy Re-Encryption Scheme,"Security, Privacy, and Applied Cryptography Engineering",,,,10.1007/978-3-319-12060-7_6,Kunwar SinghC. Pandu RanganA. K. Banerjee,2014,https://link.springer.com/chapter/10.1007/978-3-319-12060-7_6,Conference paper
Content Visualization of Scientific Corpora Using an Extensible Relational Database Implementation,Theory and Practice of Digital Libraries -- TPDL 2013 Selected Workshops,,,,10.1007/978-3-319-08425-1_10,Theodoros GiannakopoulosEleftherios StamatogiannakisIoannis FoufoulasHarry DimitropoulosNatalia ManolaYannis Ioannidis,2014,https://link.springer.com/chapter/10.1007/978-3-319-08425-1_10,Conference paper
eGovernment Interventions: The Multiple Projects Evaluation Problem,E-Business and Telecommunications,,,,10.1007/978-3-662-44791-8_6,Fabrizio d’AmoreLuigi Laura,2014,https://link.springer.com/chapter/10.1007/978-3-662-44791-8_6,Conference paper
Automatic Building of Socio-semantic Networks for Requirements Analysis,"Knowledge Science, Engineering and Management",,,,10.1007/978-3-319-12096-6_4,Christophe ThovexFrancky Trichet,2014,https://link.springer.com/chapter/10.1007/978-3-319-12096-6_4,Conference paper
"Techno-Theoretical Paradigm: Performance, Fashion and Wearables","Design, User Experience, and Usability. Theories, Methods, and Tools for Designing the User Experience",,,,10.1007/978-3-319-07668-3_16,Valérie Lamontagne,2014,https://link.springer.com/chapter/10.1007/978-3-319-07668-3_16,Conference paper
Solving the Multiobjective Multiple Traveling Salesmen Problem Using Membrane Algorithm,Bio-Inspired Computing - Theories and Applications,,,,10.1007/978-3-662-45049-9_27,Juanjuan He,2014,https://link.springer.com/chapter/10.1007/978-3-662-45049-9_27,Conference paper
Numerical Computation of Multi-goal Security Strategies,Decision and Game Theory for Security,,,,10.1007/978-3-319-12601-2_7,Stefan RassBenjamin Rainer,2014,https://link.springer.com/chapter/10.1007/978-3-319-12601-2_7,Conference paper
Lightweight Cryptography for Embedded Systems – A Comparative Analysis,Data Privacy Management and Autonomous Spontaneous Security,,,,10.1007/978-3-642-54568-9_21,Charalampos ManifavasGeorge HatzivasilisKonstantinos FysarakisKonstantinos Rantos,2014,https://link.springer.com/chapter/10.1007/978-3-642-54568-9_21,Conference paper
Low-Rank Tensor Methods for Communicating Markov Processes,Quantitative Evaluation of Systems,,,,10.1007/978-3-319-10696-0_4,Daniel KressnerFrancisco Macedo,2014,https://link.springer.com/chapter/10.1007/978-3-319-10696-0_4,Conference paper
Better Authentication: Password Revolution by Evolution,Security Protocols XXII,,,,10.1007/978-3-319-12400-1_13,Daniel R. ThomasAlastair R. Beresford,2014,https://link.springer.com/chapter/10.1007/978-3-319-12400-1_13,Conference paper
Spatial Analysis of Location of Mother’s Choice for Delivery: A Case of Blantyre and Mwanza Districts in Malawi,e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-319-08368-1_15,Priscilla MaliwichiPatrick Albert Chikumba,2014,https://link.springer.com/chapter/10.1007/978-3-319-08368-1_15,Conference paper
Anomaly Detection for Mobile Device Comfort,Trust Management VIII,,,,10.1007/978-3-662-43813-8_7,Mehmet Vefa BicakciBabak EsfandiariStephen Marsh,2014,https://link.springer.com/chapter/10.1007/978-3-662-43813-8_7,Conference paper
Questioning Two Myths in Computer Science Education,Key Competencies in ICT and Informatics. Implications and Issues for Educational Professionals and Management,,,,10.1007/978-3-662-45770-2_4,Paolo Rocchi,2014,https://link.springer.com/chapter/10.1007/978-3-662-45770-2_4,Conference paper
Computational Physics on Graphics Processing Units,Applied Parallel and Scientific Computing,,,,10.1007/978-3-642-36803-5_1,Ari HarjuTopi SiroFilippo Federici CanovaSamuli HakalaTeemu Rantalaiho,2013,https://link.springer.com/chapter/10.1007/978-3-642-36803-5_1,Conference paper
Password-Based Authenticated Key Exchange without Centralized Trusted Setup,Applied Cryptography and Network Security,,,,10.1007/978-3-319-07536-5_2,Kazuki Yoneyama,2014,https://link.springer.com/chapter/10.1007/978-3-319-07536-5_2,Conference paper
Design of a Healthcare Sensor Managing System for Vital Sign Measuring Devices,"Simulation, Modeling, and Programming for Autonomous Robots",,,,10.1007/978-3-319-11900-7_44,Min Ho LeeHo Seok AhnKevin WangBruce A. MacDonald,2014,https://link.springer.com/chapter/10.1007/978-3-319-11900-7_44,Conference paper
Towards Brain-Inspired System Architectures,Brain-Inspired Computing,,,,10.1007/978-3-319-12084-3_13,Thomas SterlingMaciej BrodowiczTimur Gilmanov,2014,https://link.springer.com/chapter/10.1007/978-3-319-12084-3_13,Conference paper
Security Design in Human Computation Games,Security Protocols XVIII,,,,10.1007/978-3-662-45921-8_22,Su-Yang YuJeff Yan,2014,https://link.springer.com/chapter/10.1007/978-3-662-45921-8_22,Conference paper
Optimization of Polytopic System Eigenvalues by Swarm of Particles,"Artificial Intelligence: Methodology, Systems, and Applications",,,,10.1007/978-3-319-10554-3_17,Jacek KabzińskiJarosław Kacerka,2014,https://link.springer.com/chapter/10.1007/978-3-319-10554-3_17,Conference paper
Evolving Computational Intelligence System for Malware Detection,Advanced Information Systems Engineering Workshops,,,,10.1007/978-3-319-07869-4_30,Konstantinos DemertzisLazaros Iliadis,2014,https://link.springer.com/chapter/10.1007/978-3-319-07869-4_30,Conference paper
Decentralized Preemptive Scheduling Across Heterogeneous Multi-core Grid Resources,Job Scheduling Strategies for Parallel Processing,,,,10.1007/978-3-662-43779-7_2,Arun BalasubramanianAlan SussmanNorman Sadeh,2014,https://link.springer.com/chapter/10.1007/978-3-662-43779-7_2,Conference paper
Collaborative Re-orderings in Humanitarian Aid Networks,Information Systems for Crisis Response and Management in Mediterranean Countries,,,,10.1007/978-3-319-11818-5_11,Simeon Vidolov,2014,https://link.springer.com/chapter/10.1007/978-3-319-11818-5_11,Conference paper
Private Message Transmission Using Disjoint Paths,Applied Cryptography and Network Security,,,,10.1007/978-3-319-07536-5_8,Hadi AhmadiReihaneh Safavi-Naini,2014,https://link.springer.com/chapter/10.1007/978-3-319-07536-5_8,Conference paper
Fawkescoin,Security Protocols XXII,,,,10.1007/978-3-319-12400-1_35,Joseph BonneauAndrew Miller,2014,https://link.springer.com/chapter/10.1007/978-3-319-12400-1_35,Conference paper
Efficient Biometric Palm-Print Matching on Smart-Cards,Computational Science and Its Applications – ICCSA 2014,,,,10.1007/978-3-319-09153-2_18,Rafael Soares WyantNadia NedjahLuiza de Macedo Mourelle,2014,https://link.springer.com/chapter/10.1007/978-3-319-09153-2_18,Conference paper
A Method of Optimizing Multi-tenant Database Query Access,Web Information Systems Engineering – WISE 2013 Workshops,,,,10.1007/978-3-642-54370-8_17,Haitham YaishMadhu GoyalGeorge Feuerlicht,2014,https://link.springer.com/chapter/10.1007/978-3-642-54370-8_17,Conference paper
A Comparison of the Homomorphic Encryption Schemes FV and YASHE,Progress in Cryptology – AFRICACRYPT 2014,,,,10.1007/978-3-319-06734-6_20,Tancrède LepointMichael Naehrig,2014,https://link.springer.com/chapter/10.1007/978-3-319-06734-6_20,Conference paper
Risk Assessment and Management to Estimate and Improve Hospital Credibility Score of Patient Health Care Quality,Applied Cyber-Physical Systems,,,,10.1007/978-1-4614-7336-7_13,Mehmet SahinogluKenneth Wool,2014,https://link.springer.com/chapter/10.1007/978-1-4614-7336-7_13,Conference paper
A Cross-Layer Key Establishment Scheme in Wireless Mesh Networks,Computer Security - ESORICS 2014,,,,10.1007/978-3-319-11203-9_30,Yuexin ZhangYang XiangXinyi HuangLi Xu,2014,https://link.springer.com/chapter/10.1007/978-3-319-11203-9_30,Conference paper
ELITE: zEro Links Identity managemenT systEm,Data and Applications Security and Privacy XXVIII,,,,10.1007/978-3-662-43936-4_13,Tarik MoatazNora Cuppens-BoulahiaFrédéric CuppensIndrajit RayIndrakshi Ray,2014,https://link.springer.com/chapter/10.1007/978-3-662-43936-4_13,Conference paper
Deferred Retrieval of IoT Information Using QLM Messaging Interface,Trends in Mobile Web Information Systems,,,,10.1007/978-3-319-03737-0_7,Sylvain KublerManik MadhikermiKary Främling,2013,https://link.springer.com/chapter/10.1007/978-3-319-03737-0_7,Conference paper
INDECT Security Architecture,"Multimedia Communications, Services and Security",,,,10.1007/978-3-642-38559-9_24,Manuel UrueñaPetr MachníkMarcin NiemiecNikolai Stoianov,2013,https://link.springer.com/chapter/10.1007/978-3-642-38559-9_24,Conference paper
Multi-tenant Network Monitoring Based on Software Defined Networking,On the Move to Meaningful Internet Systems: OTM 2013 Conferences,,,,10.1007/978-3-642-41030-7_24,Aryan TaheriMonfaredChunming Rong,2013,https://link.springer.com/chapter/10.1007/978-3-642-41030-7_24,Conference paper
CamTalk: A Bidirectional Light Communications Framework for Secure Communications on Smartphones,Security and Privacy in Communication Networks,,,,10.1007/978-3-319-04283-1_3,Mengjun XieLiang HaoKenji YoshigoeJiang Bian,2013,https://link.springer.com/chapter/10.1007/978-3-319-04283-1_3,Conference paper
Open the Way to Future Networks – A Viewpoint Framework from ITU-T,The Future Internet,,,,10.1007/978-3-642-38082-2_3,Daisuke MatsubaraTakashi EgawaNozomu NishinagaMyung-Ki ShinVed P. KafleAlex Galis,2013,https://link.springer.com/chapter/10.1007/978-3-642-38082-2_3,Conference paper
Towards Developing an Integrated Quality Map Production Environment in Commercial Cartography,Computational Science and Its Applications – ICCSA 2013,,,,10.1007/978-3-642-39649-6_16,Hartmut AscheSilvija StankuteMarkus MuellerFranz Pietruska,2013,https://link.springer.com/chapter/10.1007/978-3-642-39649-6_16,Conference paper
"Dense Array, Low Field Magnetic Resonance Imaging Devices for Combat Casualty Care",HCI International 2013 - Posters’ Extended Abstracts,,,,10.1007/978-3-642-39476-8_31,Joseph V. CohnMasoud RadparvarDavid J. CombsAntonio AngleroBrian R. JohnsonDavid RozovskiStephen EgganBrennan CoxKirsten CarlsonMs. Elizabeth O’Neill,2013,https://link.springer.com/chapter/10.1007/978-3-642-39476-8_31,Conference paper
Requirements Analysis and Definition for Eco-factories: The Case of EMC2,Advances in Production Management Systems. Competitive Manufacturing for Innovative Products and Services,,,,10.1007/978-3-642-40352-1_15,Marco TaischBojan Stahl,2013,https://link.springer.com/chapter/10.1007/978-3-642-40352-1_15,Conference paper
"Proximity: A Real-Time, Location Aware Social Web Application Built with Node.js and AngularJS",Mobile Web Information Systems,,,,10.1007/978-3-642-40276-0_23,Ioannis K. ChaniotisKyriakos-Ioannis D. KyriakouNikolaos D. Tselikas,2013,https://link.springer.com/chapter/10.1007/978-3-642-40276-0_23,Conference paper
S-Theory: A Unified Theory of Multi-paradigm Software Development,Grid and Pervasive Computing,,,,10.1007/978-3-642-38027-3_78,Danny HughesNelly BencomoBrice MorinChristophe HuygensZhun ShenKa Lok Man,2013,https://link.springer.com/chapter/10.1007/978-3-642-38027-3_78,Conference paper
Conversation Quantization as a Foundation of Conversational Intelligence,Databases in Networked Information Systems,,,,10.1007/978-3-642-37134-9_18,Toyoaki Nishida,2013,https://link.springer.com/chapter/10.1007/978-3-642-37134-9_18,Conference paper
On the Origin of Yet another Channel,Security Protocols XXI,,,,10.1007/978-3-642-41717-7_26,Petr ŠvendaVáclav Matyáš,2013,https://link.springer.com/chapter/10.1007/978-3-642-41717-7_26,Conference paper
BLESS: Formal Specification and Verification of Behaviors for Embedded Systems with Software,NASA Formal Methods,,,,10.1007/978-3-642-38088-4_19,Brian R. LarsonPatrice ChalinJohn Hatcliff,2013,https://link.springer.com/chapter/10.1007/978-3-642-38088-4_19,Conference paper
One-Way Reversible and Quantum Finite Automata with Advice,Language and Automata Theory and Applications,,,,10.1007/978-3-642-28332-1_45,Tomoyuki Yamakami,2012,https://link.springer.com/chapter/10.1007/978-3-642-28332-1_45,Conference paper
Dark Knowledge and Graph Grammars in Automated Software Design,Software Language Engineering,,,,10.1007/978-3-319-02654-1_1,Don BatoryRui GonçalvesBryan MarkerJanet Siegmund,2013,https://link.springer.com/chapter/10.1007/978-3-319-02654-1_1,Conference paper
